7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1628117220, +3.05, +26.541, +120.46546, +1087.000, +51.000, +231.000
1628117280, +3.05, +26.714, +120.98568, +1039.000, +28.000, +294.000
1628117340, +3.05, +26.855, +117.94793, +1003.000, +19.000, +300.000
1628117400, +3.05, +26.971, +119.71918, +1115.000,  +8.000, +175.000
1628117460, +3.05, +27.103, +89.61110, +1001.000,  +3.000, +262.000
1628117520, +3.05, +27.185, +24.43731, +883.000, -104.000, +159.000
1628117580, +3.05, +27.268, +947.86017, +1100.000, +48.000, +164.000
1628117640, +3.05, +27.317, +843.21733, +1102.000, +51.000, +160.000
1628117700, +3.05, +27.334, +743.47328, +1084.000, +40.000, +220.000
1628117760, +3.05, +27.383, +829.14955, +1080.000, +39.000, +230.000
1628117820, +3.05, +27.375, +862.64529, +1072.000, +35.000, +248.000
1628117880, +3.05, +27.391, +922.10589, +1113.000, +24.000, +144.000
1628117940, +3.05, +27.391, +826.22018, +1088.000, +44.000, +206.000
1628118000, +3.05, +27.383, +676.06065, +1084.000, +39.000, +224.000
1628118060, +3.05, +27.383, +737.92730, +1088.000, +40.000, +206.000
1628118120, +3.05, +27.391, +771.39517, +1112.000, +49.000, +142.000
1628118180, +3.05, +27.375, +647.15714, +1112.000, +44.000, +136.000
1628118240, +3.05, +27.391, +598.49434, +1116.000, +24.000, +143.000
1628118300, +3.05, +27.367, +477.07111, +1088.000, +44.000, +200.000
1628118360, +3.05, +27.383, +472.34882, +1103.000, +52.000, +160.000
1628118420, +3.05, +27.342, +523.17923, +1080.000, +40.000, +224.000
1628118480, +3.05, +27.375, +551.47272, +1100.000, +51.000, +160.000
1628118540, +3.05, +27.367, +664.64355, +1102.000, +54.000, +160.000
1628118600, +3.05, +27.359, +907.97927, +1112.000, +48.000, +136.000
1628118660, +3.05, +27.359, +1096.31967, +1112.000, +35.000, +140.000
1628118720, +3.05, +27.367, +1426.86757, +1087.000, +40.000, +209.000
1628118780, +3.05, +27.359, +1516.11730, +1113.000, +40.000, +136.000
1628118840, +3.05, +27.359, +1387.92494, +1112.000, +16.000, +144.000
1628118900, +3.05, +27.350, +1272.08175, +1096.000, +50.000, +176.000
1628118960, +3.05, +27.326, +1125.18912, +1112.000, +48.000, +134.000
1628119020, +3.05, +27.367, +1269.51778, +1103.000, +51.000, +158.000
1628119080, +3.05, +27.342, +1289.63628, +1084.000, +40.000, +224.000
1628119140, +3.05, +27.367, +1309.60615, +1086.000, +40.000, +208.000
1628119200, +3.05, +27.359, +1271.97337, +1096.000, +48.000, +177.000
1628119260, +3.05, +27.367, +1174.04082, +1087.000, +44.000, +204.000
1628119320, +3.05, +27.391, +1086.58092, +1104.000, +52.000, +156.000
1628119380, +3.05, +27.391, +967.92603, +1095.000, +48.000, +192.000
1628119440, +3.05, +27.400, +784.27696, +1112.000, +44.000, +135.000
1628119500, +3.04, +27.416, +551.71735, +1100.000, +51.000, +172.000
1628119560, +3.05, +27.408, +416.73108, +1102.000, +49.000, +167.000
1628119620, +3.05, +27.416, +371.83062, +1075.000, +36.000, +240.000
1628119680, +3.05, +27.424, +352.39337, +1087.000, +44.000, +211.000
1628119740, +3.05, +27.441, +399.92902, +1094.000, +48.000, +188.000
1628119800, +3.05, +27.433, +460.55083, +1088.000, +44.000, +204.000
1628119860, +3.05, +27.441, +579.09734, +1080.000, +40.000, +224.000
1628119920, +3.04, +27.441, +621.90451, +1080.000, +40.000, +230.000
1628119980, +3.05, +27.433, +667.13320, +1112.000, +40.000, +134.000
1628120040, +3.04, +27.457, +766.12788, +1004.000, +12.000, +307.000
1628120100, +3.05, +27.433, +856.46451, +1112.000, +48.000, +135.000
1628120160, +3.05, +27.433, +896.62100, +1091.000, +44.000, +200.000
1628120220, +3.04, +27.433, +880.33298, +1087.000, +44.000, +208.000
1628120280, +3.04, +27.433, +799.25513, +1091.000, +48.000, +193.000
1628120340, +3.04, +27.408, +874.21722, +1007.000, +12.000, +305.000
1628120400, +3.04, +27.433, +809.50482, +1086.000, +40.000, +216.000
1628120460, +3.05, +27.424, +806.99040, +1107.000, +51.000, +147.000
1628120520, +3.04, +27.441, +837.07680, +1099.000, +48.000, +176.000
1628120580, +3.04, +27.433, +887.79884, +1084.000, +40.000, +216.000
1628120640, +3.04, +27.408, +915.44514, +1096.000, +48.000, +184.000
1628120700, +3.04, +27.433, +930.51001, +1080.000, +40.000, +224.000
1628120760, +3.04, +27.424, +965.77391, +1087.000, +40.000, +212.000
1628120820, +3.04, +27.441, +1047.72808, +1102.000, +51.000, +164.000
1628120880, +3.04, +27.424, +1006.11310, +1115.000, +18.000, +152.000
1628120940, +3.04, +27.408, +1098.19001, +1100.000, +48.000, +172.000
1628121000, +3.04, +27.441, +1056.95590, +1088.000, +44.000, +206.000
1628121060, +3.04, +27.424, +957.84665, +1112.000, +48.000, +136.000
1628121120, +3.04, +27.457, +1009.59056, +1019.000, +14.000, +310.000
1628121180, +3.04, +27.441, +1052.80958, +1100.000, +51.000, +176.000
1628121240, +3.04, +27.433, +1023.23721, +1092.000, +48.000, +192.000
1628121300, +3.04, +27.424, +1140.50482, +1075.000, +35.000, +240.000
1628121360, +3.04, +27.449, +1265.54486, +1072.000, +35.000, +248.000
1628121420, +3.04, +27.441, +1283.41215, +1088.000, +44.000, +206.000
1628121480, +3.04, +27.433, +1229.12904, +1080.000, +40.000, +224.000
1628121540, +3.04, +27.457, +1216.36492, +1004.000, +12.000, +305.000
1628121600, +3.04, +27.466, +1219.80213, +1086.000, +44.000, +206.000
1628121660, +3.04, +27.449, +1317.41573, +1084.000, +40.000, +216.000
1628121720, +3.04, +27.482, +1255.40974, +1008.000,  +8.000, +312.000
1628121780, +3.05, +27.466, +1230.54108, +1081.000, +44.000, +216.000
1628121840, +3.04, +27.482, +1256.95804, +1086.000, +40.000, +220.000
1628121900, +3.04, +27.490, +1287.41603, +1014.000, +12.000, +310.000
1628121960, +3.05, +27.490, +1707.49545, +1113.000, +32.000, +140.000
1628122020, +3.04, +27.490, +1817.65021, +1084.000, +39.000, +220.000
1628122080, +3.05, +27.499, +1571.03211, +1078.000, +36.000, +240.000
1628122140, +3.04, +27.507, +1305.14707, +1078.000, +38.000, +236.000
1628122200, +3.04, +27.507, +1154.62524, +1084.000, +44.000, +211.000
1628122260, +3.05, +27.515, +1146.66393, +1008.000, +12.000, +310.000
1628122320, +3.05, +27.523, +1102.95565, +1080.000, +36.000, +230.000
1628122380, +3.05, +27.548, +1076.21975, +1073.000, +34.000, +246.000
1628122440, +3.05, +27.556, +1053.00466, +1088.000, +40.000, +208.000
1628122500, +3.05, +27.565, +1028.61287, +1095.000, +48.000, +184.000
1628122560, +3.04, +27.565, +1005.74461, +1086.000, +40.000, +208.000
1628122620, +3.05, +27.556, +975.86258, +1080.000, +40.000, +227.000
1628122680, +3.04, +27.581, +950.11448, +1095.000, +48.000, +184.000
1628122740, +3.04, +27.573, +918.74919, +1070.000, +32.000, +257.000
1628122800, +3.04, +27.606, +886.46111, +1076.000, +36.000, +238.000
1628122860, +3.04, +27.556, +884.69297, +1054.000, +28.000, +280.000
1628122920, +3.04, +27.589, +896.27419, +1080.000, +36.000, +228.000
1628122980, +3.04, +27.597, +901.81707, +1075.000, +38.000, +240.000
1628123040, +3.04, +27.565, +911.38551, +1068.000, +32.000, +260.000
1628123100, +3.04, +27.597, +906.00675, +1084.000, +38.000, +224.000
1628123160, +3.04, +27.581, +876.54895, +1020.000, +14.000, +310.000
1628123220, +3.04, +27.589, +871.48604, +1072.000, +32.000, +256.000
1628123280, +3.04, +27.589, +886.12668, +1072.000, +32.000, +252.000
1628123340, +3.04, +27.581, +905.82095, +1075.000, +38.000, +240.000
1628123400, +3.04, +27.589, +914.57190, +1060.000, +28.000, +272.000
1628123460, +3.04, +27.581, +920.42754, +1068.000, +32.000, +259.000
1628123520, +3.04, +27.573, +923.93597, +1080.000, +35.000, +240.000
1628123580, +3.04, +27.589, +918.74609, +1078.000, +38.000, +230.000
1628123640, +3.04, +27.581, +919.44282, +1014.000, +12.000, +308.000
1628123700, +3.04, +27.581, +905.18925, +1080.000, +40.000, +224.000
1628123760, +3.04, +27.556, +909.34177, +1087.000, +41.000, +208.000
1628123820, +3.04, +27.565, +893.31076, +1073.000, +35.000, +248.000
1628123880, +3.04, +27.565, +822.62814, +1056.000, +24.000, +280.000
1628123940, +3.04, +27.548, +803.48197, +1080.000, +40.000, +216.000
1628124000, +3.04, +27.556, +758.30901, +1072.000, +35.000, +244.000
1628124060, +3.04, +27.548, +737.43184, +1068.000, +32.000, +256.000
1628124120, +3.04, +27.556, +758.60938, +1080.000, +35.000, +231.000
1628124180, +3.04, +27.556, +783.89917, +1072.000, +36.000, +246.000
1628124240, +3.04, +27.548, +812.15550, +1046.000, +24.000, +294.000
1628124300, +3.04, +27.548, +829.00091, +1079.000, +40.000, +232.000
1628124360, +3.04, +27.548, +828.15864, +1081.000, +39.000, +224.000
1628124420, +3.04, +27.540, +795.76838, +1080.000, +38.000, +231.000
1628124480, +3.04, +27.532, +781.35378, +1008.000, +12.000, +312.000
1628124540, +3.04, +27.515, +768.23356, +1079.000, +38.000, +233.000
1628124600, +3.04, +27.490, +753.18416, +1084.000, +40.000, +220.000
1628124660, +3.04, +27.482, +738.59306, +1031.000, +16.000, +308.000
1628124720, +3.04, +27.466, +750.78121, +1084.000, +40.000, +224.000
1628124780, +3.04, +27.466, +749.58903, +1112.000, +40.000, +136.000
1628124840, +3.04, +27.474, +752.48124, +1070.000, +32.000, +262.000
1628124900, +3.04, +27.474, +765.19891, +1087.000, +44.000, +200.000
1628124960, +3.04, +27.457, +769.11299, +1112.000, +12.000, +161.000
1628125020, +3.04, +27.449, +781.41262, +1088.000, +44.000, +207.000
