"","date","Serial","TempInSitu","E_Conductivity","Sp_Conductance","Salinity"
"1",2021-05-16 13:48:00,"CT_339",29.48,41064.7,52945.1,34.9112
"2",2021-05-16 13:48:30,"CT_339",29.48,41109.9,53003.5,34.9545
"3",2021-05-16 13:49:00,"CT_339",29.51,41167.4,53048.1,34.9877
"4",2021-05-16 13:49:30,"CT_339",29.48,40978.7,52834,34.8288
"5",2021-05-16 13:50:00,"CT_339",29.5,41093.4,52962.5,34.9241
"6",2021-05-16 13:50:30,"CT_339",29.48,41007.3,52871,34.8562
"7",2021-05-16 13:51:00,"CT_339",29.45,41027.8,52927.1,34.8978
"8",2021-05-16 13:51:30,"CT_339",29.45,41081.1,52995.9,34.9489
"9",2021-05-16 13:52:00,"CT_339",29.5,41204.5,53105.9,35.0305
"10",2021-05-16 13:52:30,"CT_339",29.48,41109.9,53003.5,34.9545
"11",2021-05-16 13:53:00,"CT_339",29.5,41221.1,53127.4,35.0465
"12",2021-05-16 13:53:30,"CT_339",29.49,41155.1,53052,34.9905
"13",2021-05-16 13:54:00,"CT_339",29.48,41151,53056.6,34.9939
"14",2021-05-16 13:54:30,"CT_339",29.48,41122.2,53019.4,34.9663
"15",2021-05-16 13:55:00,"CT_339",29.45,40970.5,52853,34.8429
"16",2021-05-16 13:55:30,"CT_339",29.46,41019.6,52906.6,34.8827
"17",2021-05-16 13:56:00,"CT_339",29.49,41060.6,52930,34.9
"18",2021-05-16 13:56:30,"CT_339",29.49,41077,52951.1,34.9157
"19",2021-05-16 13:57:00,"CT_339",29.49,41072.9,52945.9,34.9118
"20",2021-05-16 13:57:30,"CT_339",29.5,41040.1,52893.6,34.873
"21",2021-05-16 13:58:00,"CT_339",29.5,41072.9,52936,34.9045
"22",2021-05-16 13:58:30,"CT_339",29.52,41089.3,52937.4,34.9055
"23",2021-05-16 13:59:00,"CT_339",29.55,41155.1,52992.8,34.9466
"24",2021-05-16 13:59:30,"CT_339",29.54,41122.2,52960.2,34.9224
"25",2021-05-16 14:00:00,"CT_339",29.57,41155.1,52973,34.9319
"26",2021-05-16 14:00:30,"CT_339",29.51,41031.9,52873.2,34.8579
"27",2021-05-16 14:01:00,"CT_339",29.5,40982.8,52819.7,34.8182
"28",2021-05-16 14:01:30,"CT_339",29.48,40880.8,52707.6,34.7351
"29",2021-05-16 14:02:00,"CT_339",29.5,40893,52703.7,34.7322
"30",2021-05-16 14:02:30,"CT_339",29.51,40950.1,52767.6,34.7796
"31",2021-05-16 14:03:00,"CT_339",29.55,40962.4,52744.2,34.7622
"32",2021-05-16 14:03:30,"CT_339",29.54,40937.9,52722.4,34.7461
"33",2021-05-16 14:04:00,"CT_339",29.57,40925.6,52677.1,34.7125
