"","date","Serial","TempInSitu","E_Conductivity","Sp_Conductance","Salinity","Salinity_off"
"58",2021-05-16 18:28:30,"CT_331",28.97,33276.2,44723.2,28.8981,28.9958147540984
"59",2021-05-16 18:29:00,"CT_331",28.97,33224.3,44653.4,28.8477,28.9454147540984
"60",2021-05-16 18:29:30,"CT_331",28.97,33233,44665.1,28.8561,28.9538147540984
"61",2021-05-16 18:30:00,"CT_331",28.97,33235.8,44668.9,28.8589,28.9566147540984
"62",2021-05-16 18:30:30,"CT_331",28.97,33224.3,44653.4,28.8477,28.9454147540984
"63",2021-05-16 18:31:00,"CT_331",28.97,33241.6,44676.7,28.8645,28.9622147540984
"64",2021-05-16 18:31:30,"CT_331",28.97,33302.1,44758.1,28.9232,29.0209147540984
"65",2021-05-16 18:32:00,"CT_331",28.97,33450,44957.2,29.0668,29.1645147540984
"66",2021-05-16 18:32:30,"CT_331",28.97,33403.5,44894.6,29.0216,29.1193147540984
"67",2021-05-16 18:33:00,"CT_331",28.97,33397.7,44886.8,29.016,29.1137147540984
"68",2021-05-16 18:33:30,"CT_331",28.97,33386,44871,29.0046,29.1023147540984
"69",2021-05-16 18:34:00,"CT_331",28.97,33450,44957.2,29.0668,29.1645147540984
"70",2021-05-16 18:34:30,"CT_331",28.97,33447.1,44953.3,29.0639,29.1616147540984
"71",2021-05-16 18:35:00,"CT_331",28.97,33420.9,44918,29.0385,29.1362147540984
"72",2021-05-16 18:35:30,"CT_331",28.97,33383.1,44867.1,29.0018,29.0995147540984
"73",2021-05-16 18:36:00,"CT_331",28.97,33409.3,44902.4,29.0272,29.1249147540984
"74",2021-05-16 18:36:30,"CT_331",28.97,33342.6,44812.6,28.9625,29.0602147540984
"75",2021-05-16 18:37:00,"CT_331",28.97,33166.9,44576.1,28.792,28.8897147540984
"76",2021-05-16 18:37:30,"CT_331",28.97,33227.2,44657.3,28.8505,28.9482147540984
"77",2021-05-16 18:38:00,"CT_331",28.97,33227.2,44657.3,28.8505,28.9482147540984
"78",2021-05-16 18:38:30,"CT_331",28.97,33204.2,44626.3,28.8282,28.9259147540984
"79",2021-05-16 18:39:00,"CT_331",28.97,33241.6,44676.7,28.8645,28.9622147540984
"80",2021-05-16 18:39:30,"CT_331",28.97,33187,44603.2,28.8115,28.9092147540984
"81",2021-05-16 18:40:00,"CT_331",28.97,33192.7,44610.9,28.8171,28.9148147540984
"82",2021-05-16 18:40:30,"CT_331",28.97,33267.5,44711.5,28.8896,28.9873147540984
"83",2021-05-16 18:41:00,"CT_331",28.97,33276.2,44723.2,28.8981,28.9958147540984
"84",2021-05-16 18:41:30,"CT_331",28.97,32998.7,44349.8,28.629,28.7267147540984
"85",2021-05-16 18:42:00,"CT_331",28.97,34897.4,46905.4,30.4772,30.5749147540984
"86",2021-05-16 18:42:30,"CT_331",28.96,34847.1,46846.5,30.4344,30.5321147540984
"87",2021-05-16 18:43:00,"CT_331",28.96,34840.8,46838,30.4283,30.5260147540984
"88",2021-05-16 18:43:30,"CT_331",28.96,34828.3,46821.2,30.416,30.5137147540984
"89",2021-05-16 18:44:00,"CT_331",28.96,34828.3,46821.2,30.416,30.5137147540984
"90",2021-05-16 18:44:30,"CT_331",28.96,34796.9,46778.9,30.3853,30.4830147540984
"91",2021-05-16 18:45:00,"CT_331",28.96,34809.5,46795.9,30.3977,30.4954147540984
"92",2021-05-16 18:45:30,"CT_331",28.95,34771.9,46754.1,30.3673,30.4650147540984
"93",2021-05-16 18:46:00,"CT_331",28.95,34784.4,46770.9,30.3795,30.4772147540984
"94",2021-05-16 18:46:30,"CT_331",28.95,34768.8,46749.9,30.3643,30.4620147540984
"95",2021-05-16 18:47:00,"CT_331",28.95,34771.9,46754.1,30.3673,30.4650147540984
"96",2021-05-16 18:47:30,"CT_331",28.95,34721.9,46686.7,30.3184,30.4161147540984
"97",2021-05-16 18:48:00,"CT_331",28.95,34775,46758.3,30.3703,30.4680147540984
