"","date","Serial","TempInSitu","E_Conductivity","Sp_Conductance","Salinity"
"1",2021-05-16 13:48:00,"CT_738",28.17,0,0,0.0123
"2",2021-05-16 13:48:30,"CT_738",29.57,42865.1,55280.9,36.6508
"3",2021-05-16 13:49:00,"CT_738",29.93,42415.5,54335.8,35.9453
"4",2021-05-16 13:49:30,"CT_738",29.84,41927.1,53798.5,35.5452
"5",2021-05-16 13:50:00,"CT_738",29.93,41847.4,53606.5,35.4024
"6",2021-05-16 13:50:30,"CT_738",29.8,41542.3,53343.3,35.2068
"7",2021-05-16 13:51:00,"CT_738",29.86,41379.8,53075.1,35.0077
"8",2021-05-16 13:51:30,"CT_738",29.88,41547.9,53271.4,35.1534
"9",2021-05-16 13:52:00,"CT_738",29.89,41413.3,53088.6,35.0177
"10",2021-05-16 13:52:30,"CT_738",29.89,41435.7,53117.4,35.0391
"11",2021-05-16 13:53:00,"CT_738",29.9,41486.1,53172.3,35.0798
"12",2021-05-16 13:53:30,"CT_738",29.94,41402.1,53025.1,34.9706
"13",2021-05-16 13:54:00,"CT_738",29.92,41463.7,53123.8,35.0438
"14",2021-05-16 13:54:30,"CT_738",29.87,41296.1,52957.7,34.9206
"15",2021-05-16 13:55:00,"CT_738",29.89,41296.1,52938.1,34.906
"16",2021-05-16 13:55:30,"CT_738",29.85,41107.3,52734.7,34.7552
"17",2021-05-16 13:56:00,"CT_738",29.88,41146.1,52755.2,34.7704
"18",2021-05-16 13:56:30,"CT_738",29.9,41002.4,52551.1,34.6191
"19",2021-05-16 13:57:00,"CT_738",29.85,40991.4,52585.7,34.6448
"20",2021-05-16 13:57:30,"CT_738",29.86,41007.9,52597.1,34.6533
"21",2021-05-16 13:58:00,"CT_738",29.88,41123.9,52726.7,34.7492
"22",2021-05-16 13:58:30,"CT_738",29.89,41196,52809.5,34.8107
"23",2021-05-16 13:59:00,"CT_738",29.89,41212.6,52830.8,34.8265
"24",2021-05-16 13:59:30,"CT_738",29.9,41218.2,52828.2,34.8245
"25",2021-05-16 14:00:00,"CT_738",29.94,41368.6,52982.1,34.9387
"26",2021-05-16 14:00:30,"CT_738",29.8,40980.4,52620.3,34.6704
"27",2021-05-16 14:01:00,"CT_738",29.88,41123.9,52726.7,34.7492
"28",2021-05-16 14:01:30,"CT_738",29.89,41140.5,52738.2,34.7578
"29",2021-05-16 14:02:00,"CT_738",29.87,41068.6,52665.4,34.7038
"30",2021-05-16 14:02:30,"CT_738",29.8,40679.1,52232.7,34.3834
"31",2021-05-16 14:03:00,"CT_738",29.94,41268.2,52853.3,34.8431
"32",2021-05-16 14:03:30,"CT_738",29.97,41223.8,52767,34.7791
"33",2021-05-16 14:04:00,"CT_738",29.96,41057.6,52563.5,34.6283
"34",2021-05-16 14:04:30,"CT_738",30.01,41074.1,52536,34.608
"35",2021-05-16 14:05:00,"CT_738",30.05,41063.1,52483.1,34.5688
"36",2021-05-16 14:05:30,"CT_738",30.07,41030,52421.3,34.523
"37",2021-05-16 14:06:00,"CT_738",29.99,40985.9,52442.4,34.5386
"38",2021-05-16 14:06:30,"CT_738",30.01,41057.6,52514.9,34.5923
"39",2021-05-16 14:07:00,"CT_738",29.99,40930.8,52371.8,34.4863
"40",2021-05-16 14:07:30,"CT_738",30.02,41123.9,52590.1,34.6481
"41",2021-05-16 14:08:00,"CT_738",30.06,41296.1,52771.8,34.7827
"42",2021-05-16 14:08:30,"CT_738",30.05,41135,52575.2,34.637
"43",2021-05-16 14:09:00,"CT_738",29.89,40914.3,52447.7,34.5425
"44",2021-05-16 14:09:30,"CT_738",29.96,40996.9,52485.7,34.5707
"45",2021-05-16 14:10:00,"CT_738",29.95,40930.8,52410.6,34.5151
"46",2021-05-16 14:10:30,"CT_738",29.92,40930.8,52439.7,34.5366
"47",2021-05-16 14:11:00,"CT_738",29.92,40881.4,52376.3,34.4897
"48",2021-05-16 14:11:30,"CT_738",29.96,40936.3,52407.9,34.5131
"49",2021-05-16 14:12:00,"CT_738",29.97,40963.8,52433.5,34.532
"50",2021-05-16 14:12:30,"CT_738",29.95,40771.9,52206.7,34.3642
"51",2021-05-16 14:13:00,"CT_738",30.07,40936.3,52301.4,34.4342
"52",2021-05-16 14:13:30,"CT_738",30.29,40974.8,52138.4,34.3136
"53",2021-05-16 14:14:00,"CT_738",30.23,40919.8,52125.9,34.3044
"54",2021-05-16 14:14:30,"CT_738",30.47,40969.3,51958.9,34.1809
"55",2021-05-16 14:15:00,"CT_738",30.38,40881.4,51933.1,34.1618
"56",2021-05-16 14:15:30,"CT_738",30.34,40864.9,51950.4,34.1746
"57",2021-05-16 14:16:00,"CT_738",30.36,40958.3,52050.2,34.2484
"58",2021-05-16 14:16:30,"CT_738",30.32,40864.9,51969.5,34.1887
"59",2021-05-16 14:17:00,"CT_738",30.34,41079.7,52224,34.377
"60",2021-05-16 14:17:30,"CT_738",30.36,40980.4,52078.3,34.2692
"61",2021-05-16 14:18:00,"CT_738",30.26,40799.2,51943.2,34.1693
"62",2021-05-16 14:18:30,"CT_738",30.21,40821.1,52019.1,34.2254
"63",2021-05-16 14:19:00,"CT_738",30.21,40870.4,52082.1,34.272
"64",2021-05-16 14:19:30,"CT_738",30.23,40832,52013.9,34.2215
"65",2021-05-16 14:20:00,"CT_738",30.26,40941.8,52125.2,34.3038
"66",2021-05-16 14:20:30,"CT_738",30.29,41013.4,52187.6,34.3501
"67",2021-05-16 14:21:00,"CT_738",30.3,40963.8,52114.8,34.2962
"68",2021-05-16 14:21:30,"CT_738",30.31,40914.3,52042.1,34.2424
"69",2021-05-16 14:22:00,"CT_738",30.15,40777.3,52020.8,34.2267
"70",2021-05-16 14:22:30,"CT_738",30.21,40777.3,51963.2,34.1841
"71",2021-05-16 14:23:00,"CT_738",30.19,40744.5,51940.5,34.1673
"72",2021-05-16 14:23:30,"CT_738",30.22,40788.3,51967.7,34.1874
"73",2021-05-16 14:24:00,"CT_738",30.13,40575.8,51782.3,34.0504
"74",2021-05-16 14:24:30,"CT_738",30.16,40662.8,51864.9,34.1114
"75",2021-05-16 14:25:00,"CT_738",30.19,40755.5,51954.5,34.1777
"76",2021-05-16 14:25:30,"CT_738",30.17,40810.1,52043.5,34.2434
"77",2021-05-16 14:26:00,"CT_738",30.17,40804.7,52036.6,34.2383
"78",2021-05-16 14:26:30,"CT_738",30.14,40679.1,51904.9,34.1409
"79",2021-05-16 14:27:00,"CT_738",30.17,40760.9,51980.6,34.1969
"80",2021-05-16 14:27:30,"CT_738",30.17,40771.9,51994.7,34.2073
"81",2021-05-16 14:28:00,"CT_738",30.17,40793.7,52022.6,34.2279
"82",2021-05-16 14:28:30,"CT_738",30.19,40875.9,52108.4,34.2914
"83",2021-05-16 14:29:00,"CT_738",30.15,40728.2,51958,34.1802
"84",2021-05-16 14:29:30,"CT_738",30.14,40788.3,52044.5,34.2442
"85",2021-05-16 14:30:00,"CT_738",30.14,40755.5,52002.5,34.2131
"86",2021-05-16 18:00:00,"CT_738",29.06,41830.4,54460.1,36.0379
"87",2021-05-16 18:00:30,"CT_738",29.06,41904.3,54556.4,36.1098
"88",2021-05-16 18:01:00,"CT_738",29.06,41921.4,54578.7,36.1264
"89",2021-05-16 18:01:30,"CT_738",29.06,41910,54563.9,36.1153
"90",2021-05-16 18:02:00,"CT_738",29.05,41927.1,54596.4,36.1396
"91",2021-05-16 18:02:30,"CT_738",29.05,41938.5,54611.3,36.1507
"92",2021-05-16 18:03:00,"CT_738",29.05,41887.2,54544.4,36.1008
"93",2021-05-16 18:03:30,"CT_738",29.05,41830.4,54470.3,36.0455
"94",2021-05-16 18:04:00,"CT_738",29.05,41921.4,54589,36.134
"95",2021-05-16 18:04:30,"CT_738",29.03,41938.5,54631.7,36.166
"96",2021-05-16 18:05:00,"CT_738",29.03,41927.1,54616.9,36.1549
"97",2021-05-16 18:05:30,"CT_738",29.03,41898.6,54579.7,36.1271
"98",2021-05-16 18:06:00,"CT_738",29.03,41853.1,54520.3,36.0828
"99",2021-05-16 18:06:30,"CT_738",29.03,41904.3,54587.1,36.1327
"100",2021-05-16 18:07:00,"CT_738",29.03,41904.3,54587.1,36.1327
"101",2021-05-16 18:07:30,"CT_738",29.03,41887.2,54564.8,36.116
"102",2021-05-16 18:08:00,"CT_738",29.03,41864.5,54535.2,36.0939
