DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),pH,pH (mV),Turbidity (FNU),TSS (mg/L),ODO (% Sat),ODO (mg/L)
5/23/2021,12:37:22 PM,<None>,,-17.49061 °,-149.82623 °,756.5,60255.9,55813.6,36.93,55325.8,36279,84.5,23.5,23.5,7.79,-91.1,0.53,0,110.7,6.92
5/23/2021,12:37:25 PM,<None>,,-17.49061 °,-149.82623 °,756.6,60256.5,55817.5,36.93,55330.1,36281,84.5,23.5,23.5,7.79,-91.1,0.54,0,110.7,6.92
5/23/2021,12:37:28 PM,<None>,,-17.49061 °,-149.82623 °,756.6,60257.2,55820,36.93,55332.8,36283,84.5,23.5,23.5,7.79,-91.1,0.52,0,110.7,6.92
5/23/2021,12:37:31 PM,<None>,,-17.49060 °,-149.82625 °,756.5,60257.8,55820.4,36.93,55333.2,36283,84.5,23.5,23.5,7.79,-91.1,0.5,0,110.7,6.92
5/23/2021,12:37:34 PM,<None>,,-17.49061 °,-149.82625 °,756.7,60258.2,55819.7,36.93,55332.3,36283,84.5,23.5,23.5,7.79,-91.1,0.51,0,110.7,6.92
5/23/2021,12:37:37 PM,<None>,,-17.49061 °,-149.82625 °,756.7,60258.2,55818.5,36.93,55331.1,36282,84.5,23.5,23.5,7.79,-91.1,0.49,0,110.7,6.92
5/23/2021,12:37:40 PM,<None>,,-17.49062 °,-149.82625 °,756.7,60258.7,55819,36.93,55331.6,36282,84.5,23.5,23.5,7.79,-91.1,0.49,0,110.7,6.92
5/23/2021,12:37:43 PM,<None>,,-17.49062 °,-149.82626 °,756.6,60258.6,55819.8,36.93,55332.4,36283,84.5,23.5,23.5,7.79,-91.1,0.5,0,110.7,6.92
5/23/2021,12:37:46 PM,<None>,,-17.49062 °,-149.82626 °,756.7,60257.9,55820.6,36.93,55333.4,36283,84.5,23.5,23.5,7.79,-91.1,0.5,0,110.6,6.92
5/23/2021,12:37:49 PM,<None>,,-17.49062 °,-149.82626 °,756.7,60256.9,55822.1,36.93,55335.2,36284,84.5,23.5,23.5,7.8,-91.1,0.51,0,110.6,6.92
5/23/2021,12:37:52 PM,<None>,,-17.49063 °,-149.82626 °,756.7,60256.6,55823.4,36.94,55336.7,36285,84.5,23.5,23.5,7.8,-91.1,0.53,0,110.6,6.92
5/23/2021,12:37:55 PM,<None>,,-17.49063 °,-149.82625 °,756.7,60255.4,55821.5,36.93,55334.7,36284,84.5,23.5,23.5,7.8,-91.1,0.54,0,110.6,6.92
5/23/2021,12:37:58 PM,<None>,,-17.49063 °,-149.82625 °,756.7,60254.5,55821,36.93,55334.3,36284,84.5,23.5,23.5,7.8,-91.2,0.56,0,110.6,6.92
5/23/2021,12:38:01 PM,<None>,,-17.49063 °,-149.82626 °,756.7,60254.3,55821.5,36.93,55334.8,36284,84.5,23.5,23.5,7.8,-91.2,0.61,0,110.7,6.92
5/23/2021,12:38:04 PM,<None>,,-17.49064 °,-149.82626 °,756.7,60254.9,55821.6,36.93,55334.9,36284,84.5,23.5,23.5,7.8,-91.2,0.65,0,110.7,6.92
5/23/2021,12:38:07 PM,<None>,,-17.49064 °,-149.82628 °,756.7,60254.7,55823.5,36.94,55337,36285,84.5,23.5,23.5,7.8,-91.3,0.67,0,110.7,6.92
5/23/2021,12:38:10 PM,<None>,,-17.49065 °,-149.82628 °,756.7,60253.1,55825.5,36.94,55339.4,36287,84.5,23.5,23.5,7.8,-91.3,0.69,0,110.7,6.92
5/23/2021,12:38:13 PM,<None>,,-17.49064 °,-149.82626 °,756.7,60250.3,55825.5,36.94,55339.7,36287,84.5,23.5,23.5,7.8,-91.4,0.7,0,110.6,6.92
5/23/2021,12:38:16 PM,<None>,,-17.49064 °,-149.82626 °,756.6,60251.6,55826.1,36.94,55340.3,36287,84.5,23.5,23.5,7.8,-91.4,0.67,0,110.5,6.91
5/23/2021,12:38:19 PM,<None>,,-17.49064 °,-149.82626 °,756.7,60251,55826.6,36.94,55340.9,36287,84.5,23.5,23.5,7.8,-91.5,0.64,0,110.5,6.91
5/23/2021,12:38:22 PM,<None>,,-17.49063 °,-149.82626 °,756.7,60253.4,55830,36.94,55344.4,36289,84.5,23.5,23.5,7.8,-91.5,0.64,0,110.4,6.91
5/23/2021,12:38:25 PM,<None>,,-17.49063 °,-149.82626 °,756.6,60256,55831.8,36.94,55346.1,36291,84.5,23.5,23.5,7.81,-91.6,0.62,0,110.4,6.91
5/23/2021,12:38:28 PM,<None>,,-17.49063 °,-149.82626 °,756.7,60257,55833.1,36.94,55347.4,36292,84.5,23.5,23.5,7.81,-91.6,0.56,0,110.4,6.9
5/23/2021,12:38:31 PM,<None>,,-17.49063 °,-149.82625 °,756.6,60255.9,55835.7,36.95,55350.4,36293,84.5,23.5,23.5,7.81,-91.6,0.55,0,110.3,6.9
5/23/2021,12:38:34 PM,<None>,,-17.49063 °,-149.82625 °,756.6,60254.8,55835.4,36.94,55350.2,36293,84.5,23.5,23.5,7.81,-91.6,0.52,0,110.3,6.9
5/23/2021,12:38:37 PM,<None>,,-17.49062 °,-149.82625 °,756.6,60254.1,55835,36.94,55349.9,36293,84.5,23.5,23.5,7.81,-91.6,0.48,0,110.2,6.9
5/23/2021,12:38:40 PM,<None>,,-17.49062 °,-149.82625 °,756.7,60254.2,55834.2,36.94,55349,36292,84.5,23.5,23.5,7.81,-91.6,0.47,0,110.2,6.89
5/23/2021,12:38:43 PM,<None>,,-17.49062 °,-149.82625 °,756.6,60254.1,55830.1,36.94,55344.4,36290,84.5,23.5,23.5,7.81,-91.6,0.52,0,110.2,6.9
5/23/2021,12:38:46 PM,<None>,,-17.49062 °,-149.82625 °,756.7,60254.2,55825.3,36.94,55339.1,36286,84.5,23.5,23.5,7.81,-91.6,0.52,0,110.3,6.9
5/23/2021,12:38:49 PM,<None>,,-17.49062 °,-149.82623 °,756.6,60254,55820.4,36.93,55333.6,36283,84.5,23.5,23.5,7.81,-91.6,0.5,0,110.5,6.91
5/23/2021,12:38:52 PM,<None>,,-17.49062 °,-149.82623 °,756.6,60253.4,55816.8,36.93,55329.6,36281,84.5,23.5,23.5,7.81,-91.6,0.51,0,110.6,6.92
