KorDSS MEASUREMENT DATA FILE EXPORT

FILE CREATED:,5/28/2021 3:29:38 AM


DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Temp (°C),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),pH,pH (mV),ODO (% Sat),ODO (mg/L),Turbidity (FNU),TSS (mg/L)
5/24/2021,12:20:02 PM,<None>,,-17.51638 °,-149.91248 °,757.8,29.3,59981.3,55460.2,36.66,54963.1,36049,16.7,23.2,23.2,10.03,-181.0,3.93,0,113.6,7.10
5/24/2021,12:20:12 PM,<None>,,-17.51635 °,-149.91249 °,757.7,29.1,59874.9,55481.3,36.68,54999.0,36063,16.7,23.3,23.3,9.91,-176.1,11.09,0,114.6,7.18
5/24/2021,12:20:22 PM,<None>,,-17.51633 °,-149.91251 °,757.9,29.2,59878.2,55478.1,36.68,54995.1,36061,16.7,23.3,23.3,9.53,-160.9,8.15,0,114.9,7.20
5/24/2021,12:20:32 PM,<None>,,-17.51631 °,-149.91252 °,757.9,29.2,59896.7,55457.0,36.66,54969.4,36047,16.7,23.2,23.2,9.42,-156.5,4.08,0,113.8,7.13
5/24/2021,12:20:42 PM,<None>,,-17.51629 °,-149.91254 °,757.8,29.2,59891.6,55419.9,36.63,54928.5,36023,16.7,23.2,23.2,9.10,-143.7,5.08,0,112.3,7.03
5/24/2021,12:20:52 PM,<None>,,-17.51628 °,-149.91255 °,757.9,29.2,59878.4,55435.7,36.64,54947.7,36033,16.7,23.2,23.2,9.01,-140.2,3.48,0,109.8,6.87
5/24/2021,12:21:02 PM,<None>,,-17.51626 °,-149.91257 °,757.8,29.2,59866.8,55458.1,36.66,54974.0,36048,16.7,23.3,23.3,8.94,-137.3,6.27,0,106.9,6.70
5/24/2021,12:21:12 PM,<None>,,-17.51624 °,-149.91258 °,757.8,29.2,59865.3,55462.2,36.67,54978.8,36050,16.7,23.3,23.3,8.81,-131.9,7.36,0,105.4,6.60
5/24/2021,12:21:22 PM,<None>,,-17.51623 °,-149.91258 °,757.8,29.2,59850.1,55453.6,36.66,54971.0,36045,16.7,23.3,23.3,8.71,-127.8,6.56,0,104.2,6.53
5/24/2021,12:21:32 PM,<None>,,-17.51621 °,-149.91260 °,757.9,29.2,59836.7,55436.1,36.65,54952.9,36033,16.7,23.3,23.3,8.62,-124.3,2.56,0,102.6,6.43
5/24/2021,12:21:42 PM,<None>,,-17.51620 °,-149.91261 °,757.9,29.2,59818.8,55392.2,36.61,54906.0,36005,16.7,23.2,23.2,8.53,-120.9,2.47,0,99.4,6.23
5/24/2021,12:21:52 PM,<None>,,-17.51620 °,-149.91260 °,757.9,29.2,59786.3,55364.5,36.59,54878.9,35987,16.7,23.2,23.2,8.06,-101.7,2.43,0,96.8,6.06
5/24/2021,12:22:02 PM,<None>,,-17.51624 °,-149.91258 °,757.9,29.2,59795.5,55352.0,36.58,54863.8,35979,16.7,23.2,23.2,8.01,-99.8,2.61,0,96.4,6.04
5/24/2021,12:22:12 PM,<None>,,-17.51626 °,-149.91258 °,757.9,29.2,59837.3,55420.3,36.63,54935.3,36023,16.7,23.2,23.2,7.97,-98.2,2.42,0,101.7,6.37
5/24/2021,12:22:22 PM,<None>,,-17.51629 °,-149.91257 °,757.8,29.1,59835.0,55468.3,36.67,54989.1,36054,16.7,23.3,23.3,7.94,-96.9,1.85,0,103.4,6.48
5/24/2021,12:22:32 PM,<None>,,-17.51632 °,-149.91257 °,757.9,29.1,59839.3,55495.8,36.69,55019.3,36072,16.7,23.3,23.3,7.92,-96.1,1.85,0,106.2,6.66
5/24/2021,12:22:42 PM,<None>,,-17.51636 °,-149.91255 °,757.8,29.1,59850.8,55536.4,36.72,55063.2,36099,16.7,23.3,23.3,7.90,-95.5,4.39,0,113.8,7.14
5/24/2021,12:23:22 PM,<None>,,-17.51642 °,-149.91251 °,757.8,29.0,59827.8,55587.7,36.76,55123.2,36132,16.7,23.4,23.4,7.87,-94.2,2.79,0,120.7,7.58
5/24/2021,12:23:22 PM,<None>,,-17.51642 °,-149.91251 °,757.8,29.0,59828.4,55585.4,36.76,55120.5,36131,16.7,23.4,23.4,7.87,-94.2,2.87,0,120.7,7.58
5/24/2021,12:23:32 PM,<None>,,-17.51641 °,-149.91251 °,757.9,29.0,59837.4,55550.3,36.74,55080.4,36108,16.7,23.4,23.4,7.87,-94.3,4.60,0,120.1,7.54
5/24/2021,12:23:42 PM,<None>,,-17.51640 °,-149.91249 °,757.7,29.1,59843.1,55544.7,36.73,55073.4,36104,16.7,23.3,23.3,7.87,-94.3,3.98,0,119.8,7.51
5/24/2021,12:23:52 PM,<None>,,-17.51640 °,-149.91248 °,757.9,29.1,59832.6,55527.4,36.72,55055.3,36093,16.7,23.3,23.3,7.87,-94.2,4.85,0,119.0,7.46
5/24/2021,12:24:02 PM,<None>,,-17.51639 °,-149.91243 °,757.9,29.1,1356.4,1259.0,0.62,1248.3,818,737.2,-3.6,-3.6,7.86,-93.8,7.32,0,102.7,7.87
5/24/2021,12:24:12 PM,<None>,,-17.51638 °,-149.91234 °,757.6,27.0,1405.6,1354.1,0.67,1348.6,880,711.4,-3.0,-3.0,7.43,-76.1,19.25,0,99.9,7.94
5/24/2021,12:24:22 PM,<None>,,-17.51638 °,-149.91228 °,757.6,26.8,1426.8,1379.9,0.69,1375.0,897,700.9,-2.9,-2.9,7.12,-64.0,25.53,0,100.0,7.96
