KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,5/28/21 3:26,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Temp (°C),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),pH,pH (mV),ODO (% Sat),ODO (mg/L),Turbidity (FNU),TSS (mg/L)
5/25/21,6:00:05 PM,<None>,,-17.51641 °,-149.91252 °,758.4,28.3,58132.5,54705.7,36.13,54333.9,35559,17.2,23.2,23.2,9.93,-498.6,114.5,7.3,3.09,0
5/27/21,1:32:30 PM,<None>,,-17.51663 °,-149.91248 °,757.7,29.4,59523.9,54893,36.23,54382.8,35680,16.8,22.8,22.8,9.11,-472.5,139,8.69,6.2,0
5/27/21,1:32:32 PM,<None>,,-17.51663 °,-149.91248 °,757.6,29.4,59525.3,54894.3,36.23,54384.2,35681,16.8,22.8,22.8,9.08,-471.7,139.3,8.71,6.26,0
5/27/21,1:45:24 PM,<None>,,-17.51583 °,-149.91182 °,757.6,25.1,1748.9,1746.2,0.88,1745.9,1135,571.8,-2.3,-2.3,11.38,-543.7,55.9,4.59,2.78,0
,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Temp (°C),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),pH,pH (mV),Turbidity (FNU),TSS (mg/L),ODO (% Sat),ODO (mg/L)
5/23/21,12:37:22 PM,<None>,,-17.49061 °,-149.82623 °,756.5,29.2,60255.9,55813.6,36.93,55325.8,36279,16.6,23.5,23.5,7.79,-91.1,0.53,0,110.7,6.92
5/23/21,12:37:25 PM,<None>,,-17.49061 °,-149.82623 °,756.6,29.2,60256.5,55817.5,36.93,55330.1,36281,16.6,23.5,23.5,7.79,-91.1,0.54,0,110.7,6.92
5/23/21,12:37:28 PM,<None>,,-17.49061 °,-149.82623 °,756.6,29.2,60257.2,55820,36.93,55332.8,36283,16.6,23.5,23.5,7.79,-91.1,0.52,0,110.7,6.92
5/23/21,12:37:31 PM,<None>,,-17.49060 °,-149.82625 °,756.5,29.2,60257.8,55820.4,36.93,55333.2,36283,16.6,23.5,23.5,7.79,-91.1,0.5,0,110.7,6.92
