"","date","Serial","TempInSitu","E_Conductivity","EC_Cal.1","EC_Cal.2","Salinity"
"1",2021-05-13 08:48:50,"CT_738_051321",24.95,0,-591.67232529611,NA,NA
"2",2021-05-13 08:49:00,"CT_738_051321",25.02,0,-591.67232529611,NA,NA
"3",2021-05-13 08:49:10,"CT_738_051321",25.12,0,-591.67232529611,NA,NA
"4",2021-05-13 08:49:20,"CT_738_051321",25.2,0,-591.67232529611,NA,NA
"5",2021-05-13 08:49:30,"CT_738_051321",25.21,0,-591.67232529611,NA,NA
"6",2021-05-13 08:49:40,"CT_738_051321",25.21,0,-591.67232529611,NA,NA
"7",2021-05-13 08:49:50,"CT_738_051321",25.24,0,-591.67232529611,NA,NA
"8",2021-05-13 08:50:00,"CT_738_051321",25.23,0,-591.67232529611,NA,NA
"9",2021-05-13 08:50:10,"CT_738_051321",25.23,0,-591.67232529611,NA,NA
"10",2021-05-13 08:50:20,"CT_738_051321",25.36,0,-591.67232529611,NA,NA
"11",2021-05-13 08:50:30,"CT_738_051321",25.71,0,-591.67232529611,NA,NA
"12",2021-05-13 08:50:40,"CT_738_051321",25.58,0,-591.67232529611,NA,NA
"13",2021-05-13 08:50:50,"CT_738_051321",25.57,0,-591.67232529611,NA,NA
"14",2021-05-13 08:51:00,"CT_738_051321",25.54,0,-591.67232529611,NA,NA
"15",2021-05-13 08:51:10,"CT_738_051321",25.55,0,-591.67232529611,NA,NA
"16",2021-05-13 08:51:20,"CT_738_051321",25.55,0,-591.67232529611,NA,NA
"17",2021-05-13 08:51:30,"CT_738_051321",25.57,0,-591.67232529611,NA,NA
"18",2021-05-13 08:51:40,"CT_738_051321",25.62,0,-591.67232529611,NA,NA
"19",2021-05-13 08:51:50,"CT_738_051321",25.58,0,-591.67232529611,NA,NA
"20",2021-05-13 08:52:00,"CT_738_051321",25.63,0,-591.67232529611,NA,NA
"21",2021-05-13 08:52:10,"CT_738_051321",25.64,0,-591.67232529611,NA,NA
"22",2021-05-13 08:52:20,"CT_738_051321",25.74,0,-591.67232529611,NA,NA
"23",2021-05-13 08:52:30,"CT_738_051321",25.81,0,-591.67232529611,NA,NA
"24",2021-05-13 08:52:40,"CT_738_051321",25.76,0,-591.67232529611,NA,NA
"25",2021-05-13 08:52:50,"CT_738_051321",25.74,0,-591.67232529611,NA,NA
"26",2021-05-13 08:53:00,"CT_738_051321",25.75,0,-591.67232529611,NA,NA
"27",2021-05-13 08:53:10,"CT_738_051321",25.76,0,-591.67232529611,NA,NA
"28",2021-05-13 08:53:20,"CT_738_051321",25.78,0,-591.67232529611,NA,NA
"29",2021-05-13 08:53:30,"CT_738_051321",25.8,0,-591.67232529611,NA,NA
"30",2021-05-13 08:53:40,"CT_738_051321",25.82,0,-591.67232529611,NA,NA
"31",2021-05-13 08:53:50,"CT_738_051321",25.84,0,-591.67232529611,NA,NA
"32",2021-05-13 08:54:00,"CT_738_051321",25.85,0,-591.67232529611,NA,NA
"33",2021-05-13 08:54:10,"CT_738_051321",25.86,0,-591.67232529611,NA,NA
"34",2021-05-13 08:54:20,"CT_738_051321",25.9,0,-591.67232529611,NA,NA
"35",2021-05-13 08:54:30,"CT_738_051321",26.02,0,-591.67232529611,NA,NA
"36",2021-05-13 08:54:40,"CT_738_051321",26.11,0,-591.67232529611,NA,NA
"37",2021-05-13 08:54:50,"CT_738_051321",26.18,0,-591.67232529611,NA,NA
"38",2021-05-13 08:55:00,"CT_738_051321",26.17,0,-591.67232529611,NA,NA
"39",2021-05-13 08:55:10,"CT_738_051321",26.21,0,-591.67232529611,NA,NA
"40",2021-05-13 08:55:20,"CT_738_051321",26.21,0,-591.67232529611,NA,NA
"41",2021-05-13 08:55:30,"CT_738_051321",26.26,0,-591.67232529611,NA,NA
"42",2021-05-13 08:55:40,"CT_738_051321",26.36,0,-591.67232529611,NA,NA
"43",2021-05-13 08:55:50,"CT_738_051321",26.43,0,-591.67232529611,NA,NA
"44",2021-05-13 08:56:00,"CT_738_051321",26.47,0,-591.67232529611,NA,NA
"45",2021-05-13 08:56:10,"CT_738_051321",26.46,0,-591.67232529611,NA,NA
"46",2021-05-13 08:56:20,"CT_738_051321",26.45,0,-591.67232529611,NA,NA
"47",2021-05-13 08:56:30,"CT_738_051321",26.54,0,-591.67232529611,NA,NA
"48",2021-05-13 08:56:40,"CT_738_051321",26.59,0,-591.67232529611,NA,NA
"49",2021-05-13 08:56:50,"CT_738_051321",26.63,0,-591.67232529611,NA,NA
"50",2021-05-13 08:57:00,"CT_738_051321",26.65,0,-591.67232529611,NA,NA
"51",2021-05-13 08:57:10,"CT_738_051321",26.66,0,-591.67232529611,NA,NA
