"Plot Title: CT_346_Varari"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739346, SEN S/N: 20739346)","Temp, °F (LGR S/N: 20739346, SEN S/N: 20739346)"
1,03/18/22 07:00:00 AM,35214.6,80.46
2,03/18/22 07:20:00 AM,35214.6,80.78
3,03/18/22 07:40:00 AM,35290.9,80.87
4,03/18/22 08:00:00 AM,38651.2,82.62
5,03/18/22 08:20:00 AM,38679.2,82.72
6,03/18/22 08:40:00 AM,38768.9,82.98
7,03/18/22 09:00:00 AM,38844.8,83.28
8,03/18/22 09:20:00 AM,1267.8,82.71
9,03/18/22 09:40:00 AM,144.8,84.24
10,03/18/22 10:00:00 AM,38833.6,84.52
11,03/18/22 10:20:00 AM,38991.7,84.78
12,03/18/22 10:40:00 AM,39039.8,84.70
13,03/18/22 11:00:00 AM,39096.6,84.87
14,03/18/22 11:20:00 AM,39079.6,84.92
15,03/18/22 11:40:00 AM,39139.3,84.99
16,03/18/22 12:00:00 PM,39054.0,84.96
17,03/18/22 12:20:00 PM,39088.1,85.01
18,03/18/22 12:40:00 PM,39073.9,85.06
19,03/18/22 01:00:00 PM,39068.2,85.03
20,03/18/22 01:20:00 PM,39039.8,85.10
21,03/18/22 01:40:00 PM,39037.0,85.28
22,03/18/22 02:00:00 PM,39028.5,85.55
23,03/18/22 02:20:00 PM,39039.8,85.68
24,03/18/22 02:40:00 PM,39031.3,85.66
25,03/18/22 03:00:00 PM,39000.2,85.78
26,03/18/22 03:20:00 PM,39034.2,86.16
27,03/18/22 03:40:00 PM,39008.7,85.96
28,03/18/22 04:00:00 PM,39005.8,86.05
29,03/18/22 04:20:00 PM,38994.5,86.11
30,03/18/22 04:40:00 PM,38969.0,86.02
31,03/18/22 05:00:00 PM,38960.5,86.11
32,03/18/22 05:20:00 PM,38946.4,86.07
33,03/18/22 05:40:00 PM,38926.6,85.96
34,03/18/22 06:00:00 PM,38921.0,85.86
35,03/18/22 06:20:00 PM,38881.5,85.77
36,03/18/22 06:40:00 PM,38892.7,85.73
37,03/18/22 07:00:00 PM,38822.3,85.66
38,03/18/22 07:20:00 PM,38850.5,85.69
39,03/18/22 07:40:00 PM,38847.6,85.73
40,03/18/22 08:00:00 PM,38771.7,85.69
41,03/18/22 08:20:00 PM,38805.4,85.68
42,03/18/22 08:40:00 PM,38788.6,85.66
43,03/18/22 09:00:00 PM,38799.8,85.59
44,03/18/22 09:20:00 PM,38797.0,85.57
45,03/18/22 09:40:00 PM,38782.9,85.55
46,03/18/22 10:00:00 PM,38791.4,85.53
47,03/18/22 10:20:00 PM,38782.9,85.41
48,03/18/22 10:40:00 PM,38805.4,85.39
49,03/18/22 11:00:00 PM,38763.3,85.37
50,03/18/22 11:20:00 PM,38768.9,85.35
51,03/18/22 11:40:00 PM,38780.1,85.28
52,03/19/22 12:00:00 AM,38746.4,85.26
53,03/19/22 12:20:00 AM,38746.4,85.17
54,03/19/22 12:40:00 AM,38757.7,85.10
55,03/19/22 01:00:00 AM,38777.3,85.03
56,03/19/22 01:20:00 AM,38743.6,84.99
57,03/19/22 01:40:00 AM,38732.4,84.96
58,03/19/22 02:00:00 AM,38746.4,84.90
59,03/19/22 02:20:00 AM,38754.9,84.92
60,03/19/22 02:40:00 AM,38757.7,84.88
61,03/19/22 03:00:00 AM,38724.0,84.78
62,03/19/22 03:20:00 AM,38738.0,84.69
63,03/19/22 03:40:00 AM,38698.8,84.63
64,03/19/22 04:00:00 AM,38687.6,84.58
65,03/19/22 04:20:00 AM,38673.6,84.49
66,03/19/22 04:40:00 AM,38676.4,84.38
67,03/19/22 05:00:00 AM,38684.8,84.29
68,03/19/22 05:20:00 AM,38662.4,84.16
69,03/19/22 05:40:00 AM,38640.0,84.13
70,03/19/22 06:00:00 AM,38637.2,84.04
71,03/19/22 06:20:00 AM,38670.8,84.00
72,03/19/22 06:40:00 AM,38545.2,83.88
73,03/19/22 07:00:00 AM,38514.6,83.84
74,03/19/22 07:20:00 AM,38550.7,83.88
75,03/19/22 07:40:00 AM,38600.9,83.97
76,03/19/22 08:00:00 AM,38559.1,84.00
77,03/19/22 08:20:00 AM,38592.6,84.15
78,03/19/22 08:40:00 AM,38617.7,84.24
79,03/19/22 09:00:00 AM,38648.4,84.40
80,03/19/22 09:20:00 AM,38684.8,84.51
81,03/19/22 09:40:00 AM,38682.0,84.67
82,03/19/22 10:00:00 AM,38693.2,84.70
83,03/19/22 10:20:00 AM,38704.4,84.90
84,03/19/22 10:40:00 AM,38746.4,85.06
85,03/19/22 11:00:00 AM,38777.3,85.12
86,03/19/22 11:20:00 AM,38757.7,85.19
87,03/19/22 11:40:00 AM,38771.7,85.33
88,03/19/22 12:00:00 PM,38743.6,85.48
89,03/19/22 12:20:00 PM,38797.0,85.57
90,03/19/22 12:40:00 PM,38752.1,85.62
91,03/19/22 01:00:00 PM,38794.2,85.86
92,03/19/22 01:20:00 PM,38782.9,85.95
93,03/19/22 01:40:00 PM,38777.3,85.91
94,03/19/22 02:00:00 PM,38811.1,86.16
95,03/19/22 02:20:00 PM,38850.5,86.14
96,03/19/22 02:40:00 PM,38819.5,86.13
97,03/19/22 03:00:00 PM,38827.9,86.31
98,03/19/22 03:20:00 PM,38844.8,86.16
99,03/19/22 03:40:00 PM,38813.9,86.07
100,03/19/22 04:00:00 PM,38791.4,86.04
101,03/19/22 04:20:00 PM,38830.7,86.07
102,03/19/22 04:40:00 PM,38856.1,86.13
103,03/19/22 05:00:00 PM,38858.9,86.07
104,03/19/22 05:20:00 PM,38856.1,86.02
105,03/19/22 05:40:00 PM,38853.3,86.02
106,03/19/22 06:00:00 PM,38889.9,85.91
107,03/19/22 06:20:00 PM,38858.9,85.78
108,03/19/22 06:40:00 PM,38861.7,85.73
109,03/19/22 07:00:00 PM,38861.7,85.62
110,03/19/22 07:20:00 PM,38830.7,85.57
111,03/19/22 07:40:00 PM,38819.5,85.48
112,03/19/22 08:00:00 PM,38780.1,85.37
113,03/19/22 08:20:00 PM,38780.1,85.30
114,03/19/22 08:40:00 PM,38771.7,85.21
115,03/19/22 09:00:00 PM,38771.7,85.12
116,03/19/22 09:20:00 PM,38771.7,85.06
117,03/19/22 09:40:00 PM,38760.5,84.99
118,03/19/22 10:00:00 PM,38766.1,84.96
119,03/19/22 10:20:00 PM,38749.2,84.92
120,03/19/22 10:40:00 PM,38805.4,84.88
121,03/19/22 11:00:00 PM,38771.7,84.83
122,03/19/22 11:20:00 PM,38746.4,84.79
123,03/19/22 11:40:00 PM,38780.1,84.72
124,03/20/22 12:00:00 AM,38726.8,84.63
125,03/20/22 12:20:00 AM,38768.9,84.58
126,03/20/22 12:40:00 AM,38763.3,84.54
127,03/20/22 01:00:00 AM,38805.4,84.52
128,03/20/22 01:20:00 AM,38746.4,84.45
129,03/20/22 01:40:00 AM,38780.1,84.49
130,03/20/22 02:00:00 AM,38752.1,84.45
131,03/20/22 02:20:00 AM,38760.5,84.43
132,03/20/22 02:40:00 AM,38760.5,84.43
133,03/20/22 03:00:00 AM,38721.2,84.40
134,03/20/22 03:20:00 AM,38746.4,84.38
135,03/20/22 03:40:00 AM,38766.1,84.34
136,03/20/22 04:00:00 AM,38766.1,84.42
137,03/20/22 04:20:00 AM,38771.7,84.43
138,03/20/22 04:40:00 AM,38740.8,84.38
139,03/20/22 05:00:00 AM,38785.8,84.40
140,03/20/22 05:20:00 AM,38788.6,84.38
141,03/20/22 05:40:00 AM,38768.9,84.34
142,03/20/22 06:00:00 AM,38774.5,84.34
143,03/20/22 06:20:00 AM,38780.1,84.38
144,03/20/22 06:40:00 AM,38746.4,84.40
145,03/20/22 07:00:00 AM,38715.6,84.40
146,03/20/22 07:20:00 AM,38743.6,84.43
147,03/20/22 07:40:00 AM,38724.0,84.51
148,03/20/22 08:00:00 AM,38757.7,84.58
149,03/20/22 08:20:00 AM,38768.9,84.67
150,03/20/22 08:40:00 AM,38763.3,84.72
151,03/20/22 09:00:00 AM,38794.2,84.87
152,03/20/22 09:20:00 AM,38819.5,85.01
153,03/20/22 09:40:00 AM,38799.8,84.99
154,03/20/22 10:00:00 AM,38816.7,85.08
155,03/20/22 10:20:00 AM,38839.2,85.17
156,03/20/22 10:40:00 AM,38825.1,85.24
157,03/20/22 11:00:00 AM,38867.4,85.41
158,03/20/22 11:20:00 AM,38856.1,85.46
159,03/20/22 11:40:00 AM,38867.4,85.46
160,03/20/22 12:00:00 PM,38856.1,85.62
161,03/20/22 12:20:00 PM,38873.0,85.69
162,03/20/22 12:40:00 PM,38898.4,86.02
163,03/20/22 01:00:00 PM,38887.1,86.13
164,03/20/22 01:20:00 PM,38875.8,86.27
165,03/20/22 01:40:00 PM,38887.1,86.31
