Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius]
208,1/17/2021 10:10,21,1,17,10,10,0,5.6,30.5,7,134,0,2.834468,255,11,1,N/A,Sniff,0,6.3,0,0.8,29.5
209,1/17/2021 10:16,21,1,17,10,16,1,5.5,31.1,7,134,0.7117945,3.436847,255,11,2,0,Sniff,1.6,7.7,0.21,0.99,29.6
210,1/17/2021 10:22,21,1,17,10,22,5,5.5,31.4,6,134,2.847178,4.60683,255,11,3,0,Sniff,10,10,1.1,1.7,29.8
211,1/17/2021 10:28,21,1,17,10,28,5,5.5,31.7,6,134,1.423589,3.889317,255,11,4,0,Sniff,2.3,8.8,0.4,1.5,29.6
212,1/17/2021 10:34,21,1,17,10,34,4,5.5,32,6,134,2.135384,4.270767,255,11,5,0,Sniff,4.8,9.6,0.8,1.6,29.5
213,1/17/2021 10:40,21,1,17,10,40,5,5.5,32.3,6,134,2.135384,4.270767,255,11,6,0.333,Sniff,4.8,9.6,0.8,1.6,29.8
214,1/17/2021 10:46,21,1,17,10,46,63,5.5,33.2,6,134,38.78475,12.08963,255,11,7,0.0373,Sniff,86,27,14.4,4.5,30
215,1/17/2021 10:52,21,1,17,10,52,113,5.5,34.2,6,134,74.31457,16.15878,255,11,8,0.0296,Sniff,165,36,27.2,5.9,29.9
216,1/17/2021 10:58,21,1,17,10,58,100,5.5,34.5,6,134,66.37806,15.3588,255,11,9,0.0435,Sniff,147,34,24.2,5.6,29.5
217,1/17/2021 11:04,21,1,17,11,4,59,5.5,34.5,6,134,30.16592,10.85605,255,11,10,0.309,Sniff,67,24,11.1,4,29.5
218,1/17/2021 11:10,21,1,17,11,10,44,5.5,34.2,6,134,20.02002,9.130796,255,11,11,0.536,Sniff,40,20,7.5,3.4,29.5
219,1/17/2021 11:16,21,1,17,11,16,35,5.5,34.2,6,134,8.580008,6.585946,255,11,12,1.83,Sniff,19,15,3.2,2.5,29.5
220,1/17/2021 11:22,21,1,17,11,22,16,5.5,34.2,6,134,2.847178,4.60683,255,11,13,3,Sniff,10,10,1.1,1.7,29.5
221,1/17/2021 11:28,21,1,17,11,28,32,5.5,34.5,6,134,2.145002,4.290004,255,11,14,9.31,Sniff,4.8,9.6,0.8,1.6,29.5
222,1/17/2021 11:34,21,1,17,11,34,26,5.5,34.5,6,134,0,2.860003,255,11,15,N/A,Sniff,0,6.4,0,1.1,29.5
223,1/17/2021 11:40,21,1,17,11,40,26,5.5,34.8,6,134,2.145002,4.290004,255,11,16,7.63,Sniff,4.8,9.6,0.8,1.6,29.5
224,1/17/2021 11:46,21,1,17,11,46,23,5.5,35.1,5,134,2.145002,4.290004,255,11,17,6.31,Sniff,3.9,9.6,0.7,1.6,29.6
225,1/17/2021 11:52,21,1,17,11,52,25,5.5,35.4,5,134,2.145002,4.290004,255,11,18,7.33,Sniff,4.8,9.6,0.8,1.6,30
226,1/17/2021 11:58,21,1,17,11,58,14,5.5,35.7,6,134,0.7117945,3.436847,255,11,19,12.9,Sniff,1.6,7.7,0.3,1.3,30
227,1/17/2021 12:04,21,1,17,12,4,24,5.5,36,6,134,0.7150008,3.452329,255,11,20,21.8,Sniff,1.6,7.7,0.3,1.3,30
228,1/17/2021 12:10,21,1,17,12,10,20,5.5,36,5,134,2.135384,4.270767,255,11,21,5,Sniff,4.8,9.6,0.8,1.6,30
229,1/17/2021 12:16,21,1,17,12,16,17,5.5,36.6,6,134,2.145002,4.290004,255,11,22,4.66,Sniff,4.8,9.6,0.8,1.6,30
230,1/17/2021 12:22,21,1,17,12,22,13,5.5,36.6,5,134,0.7117945,3.436847,255,11,23,9.99,Sniff,1.6,7.7,0.3,1.3,30
231,1/17/2021 12:28,21,1,17,12,28,15,5.5,36.9,5,134,0,2.847178,255,11,24,N/A,Sniff,0,6.4,0,1.1,30
232,1/17/2021 12:34,21,1,17,12,34,19,5.5,36.9,6,134,0.7117945,3.436847,255,11,25,15.9,Sniff,1.6,7.7,0.3,1.3,30.2
233,1/17/2021 12:40,21,1,17,12,40,11,5.5,37.2,6,134,0.7117945,3.436847,255,11,26,8.99,Sniff,1.6,7.7,0.3,1.3,30.4
234,1/17/2021 12:46,21,1,17,12,46,11,5.5,37.5,6,134,0.7117945,3.436847,255,11,27,8.99,Sniff,1.6,7.7,0.3,1.3,30.1
235,1/17/2021 12:52,21,1,17,12,52,8,5.5,37.5,6,134,0.7117945,3.436847,255,11,28,5,Sniff,1.6,7.7,0.3,1.3,30
236,1/17/2021 12:58,21,1,17,12,58,15,5.5,37.5,6,134,0.7117945,3.436847,255,11,29,13.9,Sniff,1.6,7.7,0.3,1.3,30
237,1/17/2021 13:04,21,1,17,13,4,7,5.5,37.2,6,134,2.135384,4.270767,255,11,30,1,Sniff,4.8,9.6,0.8,1.6,30.5
238,1/17/2021 13:10,21,1,17,13,10,4,5.5,37.5,5,134,0.7117945,3.436847,255,11,31,3,Sniff,1.6,7.7,0.3,1.3,30.7
239,1/17/2021 13:12,21,1,17,13,12,3,1.6,37.8,6,134,2.369107,11.43906,255,11,32,2,Sniff,6,27,0.9,4.3,30.8
