Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius]
67,1/12/2021 10:09,21,1,12,10,9,0,5.6,30.2,7,198,0,2.834468,255,6,1,N/A,Sniff,0,6.3,0,0.84,29.5
68,1/12/2021 10:15,21,1,12,10,15,3,5.5,30.8,7,198,2.135384,4.270767,255,6,2,0,Sniff,4.8,9.6,0.7,1.3,29.3
69,1/12/2021 10:21,21,1,12,10,21,0,5.5,31.4,7,198,0,2.847178,255,6,3,N/A,Sniff,0,6.4,0,1.1,29
70,1/12/2021 10:27,21,1,12,10,27,1,5.5,32,7,198,0.7117945,3.436847,255,6,4,0,Sniff,1.6,7.7,0.3,1.3,29.8
71,1/12/2021 10:33,21,1,12,10,33,2,5.5,32.6,6,198,0.7117945,3.436847,255,6,5,1,Sniff,1.6,7.7,0.3,1.3,29.8
72,1/12/2021 10:39,21,1,12,10,39,3,5.5,32.9,6,198,2.135384,4.270767,255,6,6,0,Sniff,4.8,9.6,0.8,1.6,30
73,1/12/2021 10:45,21,1,12,10,45,4,5.5,33.2,6,198,2.847178,4.60683,255,6,7,0,Sniff,10,10,1.1,1.7,30
74,1/12/2021 10:51,21,1,12,10,51,8,5.5,33.8,6,198,4.982562,5.450107,255,6,8,0,Sniff,11,12,1.8,2,30.3
75,1/12/2021 10:57,21,1,12,10,57,4,5.5,34.2,6,198,1.423589,3.889317,255,6,9,0.5,Sniff,3.2,8.8,0.5,1.4,29.5
76,1/12/2021 11:03,21,1,12,11,3,5,5.5,34.8,6,198,1.423589,3.889317,255,6,10,0.5,Sniff,2.3,8.8,0.4,1.4,29.9
77,1/12/2021 11:09,21,1,12,11,9,5,5.5,35.1,6,198,0.7117945,3.436847,255,6,11,4,Sniff,1.6,7.7,0.3,1.3,31.2
78,1/12/2021 11:15,21,1,12,11,15,3,5.5,35.7,6,198,0.7117945,3.436847,255,6,12,1,Sniff,1.6,7.7,0.3,1.3,31.9
79,1/12/2021 11:21,21,1,12,11,21,1,5.5,35.7,6,198,0,2.847178,255,6,13,N/A,Sniff,0,6.4,0,1,30.5
80,1/12/2021 11:27,21,1,12,11,27,8,5.5,36,6,198,2.135384,4.270767,255,6,14,0.667,Sniff,4.8,9.6,0.8,1.5,30.4
81,1/12/2021 11:33,21,1,12,11,33,3,5.5,36.6,6,198,0.7117945,3.436847,255,6,15,2,Sniff,1.6,7.7,0.3,1.3,30
82,1/12/2021 11:39,21,1,12,11,39,4,5.5,37.2,6,198,1.423589,3.889317,255,6,16,0,Sniff,3.2,8.8,0.5,1.4,29.9
83,1/12/2021 11:45,21,1,12,11,45,3,5.5,38.1,6,198,0.7117945,3.436847,255,6,17,2,Sniff,1.6,7.7,0.3,1.3,30
84,1/12/2021 11:51,21,1,12,11,51,4,5.5,39,6,198,0.7117945,3.436847,255,6,18,3,Sniff,1.6,7.7,0.3,1.3,30
85,1/12/2021 11:57,21,1,12,11,57,1,5.5,39.3,6,198,0.7117945,3.436847,255,6,19,0,Sniff,1.6,7.7,0.3,1.3,30
86,1/12/2021 12:03,21,1,12,12,3,1,5.5,39.3,6,198,0,2.847178,255,6,20,N/A,Sniff,0,6.4,0,1.1,29.8
87,1/12/2021 12:09,21,1,12,12,9,1,5.5,39.3,6,198,0,2.847178,255,6,21,N/A,Sniff,0,6.4,0,1.1,29.5
88,1/12/2021 12:15,21,1,12,12,15,3,5.5,39.3,6,198,0,2.847178,255,6,22,N/A,Sniff,0,6.4,0,1.1,29.5
89,1/12/2021 12:21,21,1,12,12,21,4,5.5,39.6,6,198,0.7117945,3.436847,255,6,23,2,Sniff,1.6,7.7,0.3,1.3,29.5
90,1/12/2021 12:27,21,1,12,12,27,3,5.5,39.9,6,198,0,2.847178,255,6,24,N/A,Sniff,0,6.4,0,1.1,29.5
91,1/12/2021 12:33,21,1,12,12,33,0,5.5,39.6,6,198,0,2.847178,255,6,25,N/A,Sniff,0,6.4,0,1.1,29.5
92,1/12/2021 12:39,21,1,12,12,39,3,5.5,39.6,6,198,1.423589,3.889317,255,6,26,0,Sniff,3.2,8.8,0.5,1.5,29.5
93,1/12/2021 12:45,21,1,12,12,45,2,5.5,39.3,5,198,0,2.847178,255,6,27,N/A,Sniff,0,6.4,0,1.1,29.8
94,1/12/2021 12:51,21,1,12,12,51,0,5.5,39.3,6,198,0,2.847178,255,6,28,N/A,Sniff,0,6.4,0,1.1,30
95,1/12/2021 12:57,21,1,12,12,57,1,5.5,39.3,6,198,0,2.847178,255,6,29,N/A,Sniff,0,6.4,0,1.1,30
96,1/12/2021 13:03,21,1,12,13,3,5,5.5,39.6,6,198,0.7117945,3.436847,255,6,30,4,Sniff,1.6,7.7,0.3,1.3,30.3
97,1/12/2021 13:09,21,1,12,13,9,3,5.5,39.9,6,70,1.023035,2.046071,255,6,31,2,Normal,2.3,4.6,0.38,0.76,30.7
98,1/12/2021 13:15,21,1,12,13,15,5,5.5,39.9,6,70,1.364047,2.207075,255,6,32,1,Normal,3.1,5,0.5,0.81,30.7
99,1/12/2021 13:21,21,1,12,13,21,0,5.5,39.6,6,70,0,1.364047,255,6,33,N/A,Normal,0,3.1,0,0.5,31.6
100,1/12/2021 13:27,21,1,12,13,27,5,5.5,39.6,6,70,1.364047,2.207075,255,6,34,3,Normal,3.1,5,0.5,0.8,31.7
101,1/12/2021 13:34,21,1,12,13,34,3,5.5,39.3,6,70,1.023035,2.046071,255,6,35,2,Normal,2.3,4.6,0.36,0.73,31.2
102,1/12/2021 13:40,21,1,12,13,40,2,5.5,39,6,70,0.6820237,1.863323,255,6,36,1,Normal,1.5,4.2,0.24,0.66,31
103,1/12/2021 13:46,21,1,12,13,46,2,5.5,39,6,70,0.6820237,1.863323,255,6,37,1,Normal,1.5,4.2,0.25,0.67,31.4
104,1/12/2021 13:52,21,1,12,13,52,3,5.5,38.7,6,70,1.023035,2.046071,255,6,38,2,Normal,2.3,4.6,0.37,0.74,31.4
105,1/12/2021 13:58,21,1,12,13,58,3,5.5,38.4,6,70,0.3410118,1.646551,255,6,39,N/A,Normal,0.8,3.7,0.12,0.59,32
106,1/12/2021 14:04,21,1,12,14,4,4,5.5,38.4,5,70,1.023035,2.046071,255,6,40,0.5,Normal,2.3,4.6,0.37,0.73,31.9
107,1/12/2021 14:10,21,1,12,14,10,4,5.5,38.4,6,70,1.023035,2.046071,255,6,41,0.5,Normal,1.9,4.6,0.29,0.72,31.1
108,1/12/2021 14:16,21,1,12,14,16,6,5.5,38.1,6,70,2.046071,2.486488,255,6,42,2,Normal,4.6,5.6,0.72,0.88,31.2
109,1/12/2021 14:19,21,1,12,14,19,1,2.9,38.1,6,70,0.6499627,3.138297,255,6,43,N/A,Normal,1.5,7,0.2,1.1,31.2
