Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius]
183,1/16/2021 9:42,21,1,16,9,42,0,5.6,29.9,7,134,0,2.834468,255,9,1,N/A,Sniff,0,6.3,0,0.82,31.2
184,1/16/2021 9:48,21,1,16,9,48,3,5.5,31.1,7,134,1.423589,3.889317,255,9,2,0,Sniff,3.2,8.8,0.4,1.1,29.6
185,1/16/2021 9:54,21,1,16,9,54,3,5.5,32,6,134,2.135384,4.270767,255,9,3,0,Sniff,4.8,9.6,0.8,1.5,29.3
186,1/16/2021 10:00,21,1,16,10,0,0,5.5,33.2,6,134,0,2.847178,255,9,4,N/A,Sniff,0,6.4,0,1.1,29.3
187,1/16/2021 10:06,21,1,16,10,6,5,5.5,33.8,6,134,2.847178,4.60683,255,9,5,0,Sniff,10,10,1.1,1.7,29.9
188,1/16/2021 10:12,21,1,16,10,12,5,5.5,34.8,6,134,2.135384,4.270767,255,9,6,0.667,Sniff,4.8,9.6,0.8,1.6,30.7
189,1/16/2021 10:18,21,1,16,10,18,7,5.5,35.1,6,134,2.135384,4.270767,255,9,7,1,Sniff,4.8,9.6,0.8,1.6,31
190,1/16/2021 10:24,21,1,16,10,24,2,5.5,35.7,6,134,0.7117945,3.436847,255,9,8,1,Sniff,1.6,7.7,0.3,1.3,31
191,1/16/2021 10:30,21,1,16,10,30,0,5.5,35.7,6,134,0,2.847178,255,9,9,N/A,Sniff,0,6.4,0,1,31.3
192,1/16/2021 10:36,21,1,16,10,36,0,5.5,35.7,6,134,0,2.847178,255,9,10,N/A,Sniff,0,6.4,0,1,30.3
193,1/16/2021 10:42,21,1,16,10,42,6,5.5,35.4,6,134,0.7117945,3.436847,255,9,11,4.99,Sniff,1.6,7.7,0.3,1.2,30.6
194,1/16/2021 10:48,21,1,16,10,48,0,5.5,35.4,6,134,0,2.847178,255,9,12,N/A,Sniff,0,6.4,0,1,31.1
195,1/16/2021 10:54,21,1,16,10,54,3,5.5,35.7,6,134,0.7117945,3.436847,255,9,13,2,Sniff,1.6,7.7,0.3,1.3,31.5
196,1/16/2021 11:00,21,1,16,11,0,1,5.5,36,6,134,0,2.847178,255,9,14,N/A,Sniff,0,6.4,0,1,31.7
197,1/16/2021 11:06,21,1,16,11,6,1,5.5,36.6,6,134,0.7117945,3.436847,255,9,15,0,Sniff,1.6,7.7,0.3,1.2,31.5
198,1/16/2021 11:12,21,1,16,11,12,6,5.5,37.2,6,134,1.423589,3.889317,255,9,16,2,Sniff,3.2,8.8,0.5,1.4,31.2
199,1/16/2021 11:19,21,1,16,11,19,3,5.5,37.8,6,134,0.7117945,3.436847,255,9,17,2,Sniff,1.6,7.7,0.3,1.2,31
200,1/16/2021 11:25,21,1,16,11,25,3,5.5,38.4,6,134,1.423589,3.889317,255,9,18,0.499,Sniff,3.2,8.8,0.5,1.4,29.8
201,1/16/2021 11:31,21,1,16,11,31,3,5.5,39,6,134,1.423589,3.889317,255,9,19,0.499,Sniff,3.2,8.8,0.5,1.4,29.8
202,1/16/2021 11:37,21,1,16,11,37,3,5.5,39,6,134,0.7117945,3.436847,255,9,20,2,Sniff,1.6,7.7,0.3,1.3,30.4
203,1/16/2021 11:43,21,1,16,11,43,12,5.5,39.3,6,134,4.290004,5.21343,255,9,21,0.666,Sniff,10,12,1.6,1.9,30.2
204,1/16/2021 11:49,21,1,16,11,49,10,5.5,39.9,5,134,5.720007,5.720007,255,9,22,0.25,Sniff,13,13,2.1,2.1,30.3
205,1/16/2021 11:55,21,1,16,11,55,9,5.5,42.1,6,134,5.005006,5.474656,255,9,23,0.143,Sniff,11,12,1.8,2,30.5
