Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius]
143,1/15/2021 10:02,21,1,15,10,2,1,5.6,28.1,7,134,0.7054673,3.406297,255,8,1,0,Sniff,1.6,7.6,0.2,1.1,30.6
144,1/15/2021 10:08,21,1,15,10,8,5,5.5,28.7,7,134,2.847178,4.60683,255,8,2,0,Sniff,10,10,0.9,1.5,30.5
145,1/15/2021 10:14,21,1,15,10,14,3,5.5,29.6,7,134,1.423589,3.889317,255,8,3,0,Sniff,3.2,8.8,0.5,1.4,30.4
146,1/15/2021 10:20,21,1,15,10,20,4,5.5,30.2,7,134,2.847178,4.60683,255,8,4,0,Sniff,10,10,1,1.7,29.9
147,1/15/2021 10:26,21,1,15,10,26,0,5.5,30.8,7,134,0,2.847178,255,8,5,N/A,Sniff,0,6.4,0,1,30
148,1/15/2021 10:32,21,1,15,10,32,3,5.5,31.4,6,134,1.423589,3.889317,255,8,6,0,Sniff,3.2,8.8,0.5,1.4,30.3
149,1/15/2021 10:38,21,1,15,10,38,12,5.5,32.3,6,134,7.117945,6.1451,255,8,7,0.0996,Sniff,16,14,2.6,2.3,30.3
150,1/15/2021 10:44,21,1,15,10,44,26,5.5,32.9,6,134,15.01502,8.137303,255,8,8,0.238,Sniff,34,18,5.5,3,30.3
151,1/15/2021 10:50,21,1,15,10,50,36,5.5,33.2,6,134,22.88003,9.644733,255,8,9,0.0315,Sniff,51,22,8.4,3.5,30.2
152,1/15/2021 10:56,21,1,15,10,56,43,5.5,32.9,6,134,28.60003,10.58648,255,8,10,0,Sniff,64,24,10.5,3.9,30.1
153,1/15/2021 11:02,21,1,15,11,2,42,5.5,32.9,6,134,26.45503,10.24512,255,8,11,0.135,Sniff,59,23,9.7,3.8,30.3
154,1/15/2021 11:08,21,1,15,11,8,44,5.5,33.2,6,134,21.45002,9.391913,255,8,12,0.367,Sniff,48,21,7.9,3.5,30.1
155,1/15/2021 11:14,21,1,15,11,14,43,5.5,33.2,6,134,21.45002,9.391913,255,8,13,0.299,Sniff,48,21,7.8,3.4,30
156,1/15/2021 11:20,21,1,15,11,20,50,5.5,33.5,6,134,22.16502,9.519311,255,8,14,0.581,Sniff,50,21,8.1,3.5,30.1
157,1/15/2021 11:26,21,1,15,11,26,37,5.5,33.5,6,134,20.73502,9.262441,255,8,15,0.172,Sniff,46,21,7.6,3.4,30
158,1/15/2021 11:32,21,1,15,11,32,46,5.5,33.5,6,134,19.30502,8.996856,255,8,16,0.666,Sniff,40,20,7.1,3.3,30
159,1/15/2021 11:38,21,1,15,11,38,44,5.5,33.2,6,134,15.73001,8.288047,255,8,17,1,Sniff,35,19,5.8,3.1,30
160,1/15/2021 11:44,21,1,15,11,44,41,5.5,33.2,5,134,14.30002,7.983091,255,8,18,1,Sniff,32,18,5.3,2.9,30.2
161,1/15/2021 11:50,21,1,15,11,50,29,5.5,33.2,6,134,10.01001,6.968372,255,8,19,1,Sniff,22,16,3.7,2.6,30.4
162,1/15/2021 11:56,21,1,15,11,56,46,5.5,33.2,6,134,12.15501,7.496984,255,8,20,1.59,Sniff,27,17,4.5,2.7,30.5
163,1/15/2021 12:02,21,1,15,12,2,38,5.5,33.5,6,134,7.865007,6.383672,255,8,21,2.36,Sniff,18,14,2.9,2.3,30.5
164,1/15/2021 12:08,21,1,15,12,8,35,5.5,33.8,5,134,7.865007,6.585946,255,8,22,1.58,Sniff,18,15,3,2.4,30.6
165,1/15/2021 12:14,21,1,15,12,14,37,5.5,33.8,6,134,15.01502,8.137303,255,8,23,0.762,Sniff,34,18,5.5,3,30.6
166,1/15/2021 12:20,21,1,15,12,20,30,5.5,34.2,6,134,7.865007,6.383672,255,8,24,1.45,Sniff,18,14,2.9,2.3,30.8
167,1/15/2021 12:26,21,1,15,12,26,32,5.5,34.5,6,134,9.295009,6.780578,255,8,25,1.39,Sniff,21,15,3.4,2.5,31
168,1/15/2021 12:32,21,1,15,12,32,44,5.5,34.8,5,134,12.87001,7.663235,255,8,26,1.39,Sniff,29,17,4.6,2.8,30.9
169,1/15/2021 12:38,21,1,15,12,38,41,5.5,35.1,5,134,9.295009,6.780578,255,8,27,1.92,Sniff,21,15,3.3,2.4,31
170,1/15/2021 12:44,21,1,15,12,44,35,5.5,35.1,5,134,10.01001,6.968372,255,8,28,1.43,Sniff,22,16,3.5,2.5,31.1
171,1/15/2021 12:50,21,1,15,12,50,41,5.5,35.7,6,134,10.01001,6.968372,255,8,29,1.71,Sniff,22,16,3.6,2.5,31.1
172,1/15/2021 12:56,21,1,15,12,56,23,5.5,36.3,6,134,4.290004,5.21343,255,8,30,2.83,Sniff,10,12,1.5,1.9,31.2
173,1/15/2021 13:02,21,1,15,13,2,35,5.5,36.9,6,134,8.580008,6.585946,255,8,31,1.83,Sniff,19,15,3.1,2.4,31
174,1/15/2021 13:08,21,1,15,13,8,31,5.5,37.2,6,134,9.295009,6.780578,255,8,32,1.39,Sniff,21,15,3.3,2.4,30.9
175,1/15/2021 13:14,21,1,15,13,14,29,5.5,37.5,6,134,5.005006,5.720007,255,8,33,2.25,Sniff,12,13,1.9,2.1,30.7
176,1/15/2021 13:20,21,1,15,13,20,22,5.5,37.8,6,134,7.150008,6.172781,255,8,34,1.2,Sniff,16,14,2.6,2.2,31.1
177,1/15/2021 13:26,21,1,15,13,26,30,5.5,38.4,6,134,5.005006,5.474656,255,8,35,3.29,Sniff,11,12,1.8,2,31
