Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius]
7,1/10/2021 15:27,21,1,10,15,27,0,5.6,33.8,24,198,0,2.821869,255,3,1,N/A,Sniff,0,6.3,0,0.94,35.2
8,1/10/2021 15:33,21,1,10,15,33,1,5.5,33.5,27,198,0,2.847178,255,3,2,N/A,Sniff,0,6.4,0,0.96,31.4
9,1/10/2021 15:39,21,1,10,15,39,0,5.5,33.2,28,198,0,2.847178,255,3,3,N/A,Sniff,0,6.4,0,0.94,30.8
10,1/10/2021 15:45,21,1,10,15,45,0,5.5,32.9,28,198,0,2.847178,255,3,4,N/A,Sniff,0,6.4,0,1,31.3
11,1/10/2021 15:51,21,1,10,15,51,1,5.5,32.9,28,198,0.7117945,3.436847,255,3,5,0,Sniff,1.6,7.7,0.3,1.2,31.2
12,1/10/2021 15:57,21,1,10,15,57,3,5.5,32.9,28,198,2.135384,4.270767,255,3,6,0,Sniff,4.8,9.6,0.8,1.5,31
13,1/10/2021 16:03,21,1,10,16,3,2,5.5,33.2,29,198,1.423589,3.889317,255,3,7,0,Sniff,3.2,8.8,0.5,1.4,31
14,1/10/2021 16:09,21,1,10,16,9,3,5.5,33.5,29,198,1.423589,3.889317,255,3,8,0,Sniff,3.2,8.8,0.5,1.4,31
15,1/10/2021 16:15,21,1,10,16,15,1,5.5,33.5,29,198,0,2.847178,255,3,9,N/A,Sniff,0,6.4,0,1,31.1
16,1/10/2021 16:21,21,1,10,16,21,1,5.5,33.8,29,198,0,2.847178,255,3,10,N/A,Sniff,0,6.4,0,1,31.5
17,1/10/2021 16:27,21,1,10,16,27,0,5.5,33.8,30,198,0,2.847178,255,3,11,N/A,Sniff,0,6.4,0,1,31.5
18,1/10/2021 16:33,21,1,10,16,33,3,5.5,34.2,32,198,1.423589,3.889317,255,3,12,0.499,Sniff,3.2,8.8,0.5,1.4,31.5
19,1/10/2021 16:40,21,1,10,16,40,0,5.5,34.2,32,198,0,2.847178,255,3,13,N/A,Sniff,0,6.4,0,1,30.8
20,1/10/2021 16:46,21,1,10,16,46,2,5.5,34.2,32,198,1.423589,3.889317,255,3,14,0,Sniff,3.2,8.8,0.5,1.4,30.6
21,1/10/2021 16:52,21,1,10,16,52,1,5.5,34.2,32,198,0.7117945,3.436847,255,3,15,0,Sniff,1.6,7.7,0.3,1.2,31
22,1/10/2021 16:58,21,1,10,16,58,2,5.5,34.2,32,198,0.7117945,3.436847,255,3,16,1,Sniff,1.6,7.7,0.3,1.3,30.9
23,1/10/2021 17:04,21,1,10,17,4,3,5.5,33.8,32,198,0.7117945,3.436847,255,3,17,2,Sniff,1.6,7.7,0.3,1.2,30.6
24,1/10/2021 17:09,21,1,10,17,9,1,5.2,33.5,33,198,0,3.037898,255,3,18,N/A,Sniff,0,6.8,0,1.1,30.7
