date,DO_mg_L,Temperature
2021-08-11T15:01:00Z,9.543,27.62
2021-08-11T15:02:00Z,9.519,27.612
2021-08-11T15:03:00Z,9.509,27.62
2021-08-11T15:04:00Z,9.498,27.603
2021-08-11T15:05:00Z,9.498,27.603
2021-08-11T15:06:00Z,9.509,27.603
2021-08-11T15:07:00Z,9.458,27.586
2021-08-11T15:08:00Z,9.46,27.595
2021-08-11T15:09:00Z,9.45,27.586
2021-08-11T15:10:00Z,9.414,27.595
2021-08-11T15:11:00Z,9.421,27.603
2021-08-11T15:12:00Z,9.455,27.586
2021-08-11T15:13:00Z,9.468,27.595
2021-08-11T15:14:00Z,9.444,27.595
2021-08-11T15:15:00Z,9.475,27.62
2021-08-11T15:16:00Z,9.503,27.629
2021-08-11T15:17:00Z,9.519,27.637
2021-08-11T15:18:00Z,9.509,27.654
2021-08-11T15:19:00Z,9.521,27.654
2021-08-11T15:20:00Z,9.555,27.663
2021-08-11T15:21:00Z,9.545,27.68
2021-08-11T15:22:00Z,9.548,27.697
2021-08-11T15:23:00Z,9.516,27.722
2021-08-11T15:24:00Z,9.528,27.731
2021-08-11T15:25:00Z,9.509,27.765
2021-08-11T15:26:00Z,9.54,27.756
2021-08-11T15:27:00Z,9.527,27.79
2021-08-11T15:28:00Z,9.536,27.79
2021-08-11T15:29:00Z,9.545,27.807
2021-08-11T15:30:00Z,9.519,27.799
2021-08-11T15:31:00Z,9.53,27.79
2021-08-11T15:32:00Z,9.477,27.807
2021-08-11T15:33:00Z,9.492,27.816
2021-08-11T15:34:00Z,9.526,27.816
2021-08-11T15:35:00Z,9.513,27.824
2021-08-11T15:36:00Z,9.533,27.833
2021-08-11T15:37:00Z,9.508,27.833
2021-08-11T15:38:00Z,9.51,27.833
2021-08-11T15:39:00Z,9.521,27.824
2021-08-11T15:40:00Z,9.53,27.824
2021-08-11T15:41:00Z,9.514,27.824
2021-08-11T15:42:00Z,9.56,27.807
2021-08-11T15:43:00Z,9.56,27.807
2021-08-11T15:44:00Z,9.571,27.807
2021-08-11T15:45:00Z,9.524,27.799
2021-08-11T15:46:00Z,9.483,27.782
2021-08-11T15:47:00Z,9.505,27.782
2021-08-11T15:48:00Z,9.494,27.79
2021-08-11T15:49:00Z,9.503,27.773
2021-08-11T15:50:00Z,9.497,27.756
2021-08-11T15:51:00Z,9.533,27.765
2021-08-11T15:52:00Z,9.495,27.765
2021-08-11T15:53:00Z,9.516,27.739
2021-08-11T15:54:00Z,9.553,27.756
2021-08-11T15:55:00Z,9.474,27.714
2021-08-11T15:56:00Z,9.426,27.714
2021-08-11T15:57:00Z,9.434,27.714
2021-08-11T15:58:00Z,9.541,27.697
2021-08-11T15:59:00Z,9.548,27.714
2021-08-11T16:00:00Z,9.501,27.697
2021-08-11T16:01:00Z,9.529,27.705
2021-08-11T16:02:00Z,9.557,27.68
2021-08-11T16:03:00Z,9.47,27.688
2021-08-11T16:04:00Z,9.439,27.671
2021-08-11T16:05:00Z,9.407,27.671
2021-08-11T16:06:00Z,9.442,27.688
2021-08-11T16:07:00Z,9.437,27.671
2021-08-11T16:08:00Z,9.326,27.663
2021-08-11T16:09:00Z,9.404,27.654
2021-08-11T16:10:00Z,9.399,27.646
2021-08-11T16:11:00Z,9.377,27.646
2021-08-11T16:12:00Z,9.388,27.646
2021-08-11T16:13:00Z,9.457,27.646
2021-08-11T16:14:00Z,9.37,27.654
2021-08-11T16:15:00Z,9.386,27.637
2021-08-11T16:16:00Z,9.388,27.629
2021-08-11T16:17:00Z,9.363,27.646
2021-08-11T16:18:00Z,9.371,27.62
2021-08-11T16:19:00Z,9.399,27.629
2021-08-11T16:20:00Z,9.327,27.629
2021-08-11T16:21:00Z,9.407,27.612
2021-08-11T16:22:00Z,9.301,27.603
2021-08-11T16:23:00Z,9.314,27.603
2021-08-11T16:24:00Z,9.305,27.595
2021-08-11T16:25:00Z,9.245,27.595
2021-08-11T16:26:00Z,9.321,27.586
2021-08-11T16:27:00Z,9.388,27.595
2021-08-11T16:28:00Z,9.345,27.595
2021-08-11T16:29:00Z,9.3,27.586
2021-08-11T16:30:00Z,9.306,27.578
2021-08-11T16:31:00Z,9.358,27.569
2021-08-11T16:32:00Z,9.319,27.561
2021-08-11T16:33:00Z,9.292,27.544
2021-08-11T16:34:00Z,9.313,27.544
2021-08-11T16:35:00Z,9.288,27.535
2021-08-11T16:36:00Z,9.223,27.527
2021-08-11T16:37:00Z,9.229,27.51
2021-08-11T16:38:00Z,9.312,27.527
2021-08-11T16:39:00Z,9.248,27.51
2021-08-11T16:40:00Z,9.19,27.476
2021-08-11T16:41:00Z,9.15,27.467
2021-08-11T16:42:00Z,9.139,27.45
2021-08-11T16:43:00Z,9.17,27.476
2021-08-11T16:44:00Z,9.206,27.442
2021-08-11T16:45:00Z,9.17,27.459
2021-08-11T16:46:00Z,9.139,27.416
2021-08-11T16:47:00Z,9.115,27.399
2021-08-11T16:48:00Z,9.102,27.408
2021-08-11T16:49:00Z,9.181,27.408
2021-08-11T16:50:00Z,9.134,27.408
2021-08-11T16:51:00Z,9.136,27.408
2021-08-11T16:52:00Z,9.086,27.382
2021-08-11T16:53:00Z,9.155,27.399
2021-08-11T16:54:00Z,9.106,27.382
2021-08-11T16:55:00Z,9.068,27.365
2021-08-11T16:56:00Z,9.05,27.365
2021-08-11T16:57:00Z,9.118,27.374
2021-08-11T16:58:00Z,9.014,27.348
2021-08-11T16:59:00Z,9.015,27.357
2021-08-11T17:00:00Z,8.962,27.34
2021-08-11T17:01:00Z,8.953,27.323
2021-08-11T17:02:00Z,8.922,27.306
2021-08-11T17:03:00Z,8.896,27.314
2021-08-11T17:04:00Z,9.118,27.34
2021-08-11T17:05:00Z,9.009,27.323
2021-08-11T17:06:00Z,8.873,27.306
2021-08-11T17:07:00Z,8.85,27.289
2021-08-11T17:08:00Z,8.78,27.272
2021-08-11T17:09:00Z,8.94,27.306
2021-08-11T17:10:00Z,8.847,27.246
2021-08-11T17:11:00Z,8.79,27.246
2021-08-11T17:12:00Z,8.694,27.221
2021-08-11T17:13:00Z,8.67,27.204
2021-08-11T17:14:00Z,8.559,27.195
2021-08-11T17:15:00Z,8.673,27.212
2021-08-11T17:16:00Z,8.722,27.187
2021-08-11T17:17:00Z,8.808,27.195
2021-08-11T17:18:00Z,8.817,27.212
2021-08-11T17:19:00Z,8.443,27.17
2021-08-11T17:20:00Z,8.557,27.153
2021-08-11T17:21:00Z,8.545,27.153
2021-08-11T17:22:00Z,8.74,27.161
2021-08-11T17:23:00Z,8.479,27.153
2021-08-11T17:24:00Z,8.684,27.153
2021-08-11T17:25:00Z,8.653,27.17
2021-08-11T17:26:00Z,8.491,27.128
2021-08-11T17:27:00Z,8.792,27.17
2021-08-11T17:28:00Z,8.682,27.204
2021-08-11T17:29:00Z,8.508,27.144
2021-08-11T17:30:00Z,8.693,27.161
2021-08-11T17:31:00Z,8.802,27.195
2021-08-11T17:32:00Z,8.865,27.212
2021-08-11T17:33:00Z,8.307,27.178
2021-08-11T17:34:00Z,7.873,27.085
2021-08-11T17:35:00Z,8.203,27.077
2021-08-11T17:36:00Z,8.334,27.051
2021-08-11T17:37:00Z,8.541,27.111
2021-08-11T17:38:00Z,8.142,27.094
2021-08-11T17:39:00Z,8.312,27.043
2021-08-11T17:40:00Z,8.345,27.043
2021-08-11T17:41:00Z,8.602,27.068
2021-08-11T17:42:00Z,8.425,27.077
2021-08-11T17:43:00Z,8.373,27.06
2021-08-11T17:44:00Z,8.346,27.077
2021-08-11T17:45:00Z,8.057,27.034
2021-08-11T17:46:00Z,8.383,27.068
2021-08-11T17:47:00Z,8.373,27.094
2021-08-11T17:48:00Z,8.52,27.119
2021-08-11T17:49:00Z,8.438,27.111
2021-08-11T17:50:00Z,8.537,27.144
2021-08-11T17:51:00Z,8.442,27.102
2021-08-11T17:52:00Z,8.396,27.094
2021-08-11T17:53:00Z,8.365,27.094
2021-08-11T17:54:00Z,8.379,27.085
2021-08-11T17:55:00Z,8.438,27.102
2021-08-11T17:56:00Z,8.461,27.094
2021-08-11T17:57:00Z,8.445,27.094
2021-08-11T17:58:00Z,8.4,27.085
2021-08-11T17:59:00Z,8.273,27.094
2021-08-11T18:00:00Z,8.43,27.102
2021-08-11T18:01:00Z,8.335,27.085
2021-08-11T18:02:00Z,8.332,27.077
2021-08-11T18:03:00Z,8.544,27.102
2021-08-11T18:04:00Z,8.353,27.077
2021-08-11T18:05:00Z,8.317,27.085
2021-08-11T18:06:00Z,8.282,27.094
2021-08-11T18:07:00Z,8.272,27.068
2021-08-11T18:08:00Z,8.296,27.068
2021-08-11T18:09:00Z,8.235,27.06
2021-08-11T18:10:00Z,8.189,27.06
2021-08-11T18:11:00Z,8.229,27.043
2021-08-11T18:12:00Z,8.114,27.026
2021-08-11T18:13:00Z,8.026,27.009
2021-08-11T18:14:00Z,8.051,27.009
2021-08-11T18:15:00Z,8.111,27
2021-08-11T18:16:00Z,8.289,27.026
2021-08-11T18:17:00Z,8.287,27.043
2021-08-11T18:18:00Z,8.225,27.043
2021-08-11T18:19:00Z,8.055,27.026
2021-08-11T18:20:00Z,8.071,26.992
2021-08-11T18:21:00Z,8.019,26.992
2021-08-11T18:22:00Z,8.04,26.992
2021-08-11T18:23:00Z,8.126,27
2021-08-11T18:24:00Z,8.172,27.009
2021-08-11T18:25:00Z,8.148,27
2021-08-11T18:26:00Z,8.192,27.017
2021-08-11T18:27:00Z,8.235,27.026
2021-08-11T18:28:00Z,8.171,27.043
2021-08-11T18:29:00Z,8.057,27.043
2021-08-11T18:30:00Z,8.007,27.009
2021-08-11T18:31:00Z,8.011,27.009
2021-08-11T18:32:00Z,7.926,26.992
2021-08-11T18:33:00Z,7.913,27.017
2021-08-11T18:34:00Z,8.074,27.009
2021-08-11T18:35:00Z,8.093,27.017
2021-08-11T18:36:00Z,8.127,27
2021-08-11T18:37:00Z,8.097,27
2021-08-11T18:38:00Z,8.102,27.043
2021-08-11T18:39:00Z,7.977,27.009
2021-08-11T18:40:00Z,8.003,27
