date,TempInSitu,AbsPressure,Depth,WL_Serial
2023-02-08T16:50:00Z,26.585,101.15,-0.008,WL_876
2023-02-08T16:52:00Z,27.862,101.166,-0.007,WL_876
2023-02-08T16:54:00Z,27.075,101.163,-0.007,WL_876
2023-02-08T16:56:00Z,26.488,101.165,-0.007,WL_876
2023-02-08T16:58:00Z,26,101.17,-0.006,WL_876
2023-02-08T17:00:00Z,25.61,101.16,-0.007,WL_876
2023-02-08T17:02:00Z,25.222,101.167,-0.006,WL_876
2023-02-08T17:04:00Z,24.931,101.143,-0.009,WL_876
2023-02-08T17:06:00Z,24.641,101.153,-0.008,WL_876
2023-02-08T17:08:00Z,24.448,101.148,-0.008,WL_876
2023-02-08T17:10:00Z,24.255,101.16,-0.007,WL_876
2023-02-08T17:12:00Z,24.255,101.16,-0.007,WL_876
2023-02-08T17:14:00Z,24.062,101.138,-0.009,WL_876
2023-02-08T17:16:00Z,23.869,101.133,-0.01,WL_876
2023-02-08T17:18:00Z,23.773,101.114,-0.012,WL_876
2023-02-08T17:20:00Z,23.677,101.128,-0.01,WL_876
2023-02-08T17:22:00Z,23.966,101.153,-0.008,WL_876
2023-02-08T17:24:00Z,24.255,101.143,-0.009,WL_876
2023-02-08T17:26:00Z,24.158,101.14,-0.009,WL_876
2023-02-08T17:28:00Z,24.158,101.14,-0.009,WL_876
2023-02-08T17:30:00Z,23.966,101.136,-0.01,WL_876
2023-02-08T17:32:00Z,23.869,101.133,-0.01,WL_876
2023-02-08T17:34:00Z,23.869,101.133,-0.01,WL_876
2023-02-08T17:36:00Z,23.869,101.15,-0.008,WL_876
2023-02-08T17:38:00Z,23.773,101.148,-0.008,WL_876
2023-02-08T17:40:00Z,23.677,101.145,-0.009,WL_876
2023-02-08T17:42:00Z,23.581,101.143,-0.009,WL_876
2023-02-08T17:44:00Z,23.581,101.143,-0.009,WL_876
2023-02-08T17:46:00Z,23.484,101.141,-0.009,WL_876
2023-02-08T17:48:00Z,23.388,101.155,-0.008,WL_876
2023-02-08T17:50:00Z,23.388,101.155,-0.008,WL_876
2023-02-08T17:52:00Z,23.292,101.136,-0.01,WL_876
2023-02-08T17:54:00Z,23.196,101.151,-0.008,WL_876
2023-02-08T17:56:00Z,23.196,101.133,-0.01,WL_876
2023-02-08T17:58:00Z,23.196,101.151,-0.008,WL_876
2023-02-08T18:00:00Z,23.196,101.133,-0.01,WL_876
2023-02-08T18:02:00Z,23.1,101.148,-0.008,WL_876
2023-02-08T18:04:00Z,23.1,101.131,-0.01,WL_876
2023-02-08T18:06:00Z,23.1,101.148,-0.008,WL_876
2023-02-08T18:08:00Z,23.004,101.146,-0.009,WL_876
2023-02-08T18:10:00Z,23.004,101.163,-0.007,WL_876
2023-02-08T18:12:00Z,23.004,101.146,-0.009,WL_876
2023-02-08T18:14:00Z,23.004,101.146,-0.009,WL_876
2023-02-08T18:16:00Z,22.908,101.143,-0.009,WL_876
2023-02-08T18:18:00Z,22.908,101.143,-0.009,WL_876
2023-02-08T18:20:00Z,22.908,101.161,-0.007,WL_876
2023-02-08T18:22:00Z,22.908,101.161,-0.007,WL_876
2023-02-08T18:24:00Z,22.908,101.161,-0.007,WL_876
2023-02-08T18:26:00Z,22.908,101.161,-0.007,WL_876
2023-02-08T18:28:00Z,22.908,101.178,-0.005,WL_876
2023-02-08T18:30:00Z,22.908,101.178,-0.005,WL_876
2023-02-08T18:32:00Z,22.908,101.161,-0.007,WL_876
2023-02-08T18:34:00Z,22.812,101.158,-0.007,WL_876
2023-02-08T18:36:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T18:38:00Z,22.812,101.158,-0.007,WL_876
2023-02-08T18:40:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T18:42:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T18:44:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T18:46:00Z,22.812,101.193,-0.004,WL_876
2023-02-08T18:48:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T18:50:00Z,22.812,101.158,-0.007,WL_876
2023-02-08T18:52:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T18:54:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T18:56:00Z,22.812,101.193,-0.004,WL_876
2023-02-08T18:58:00Z,22.812,101.193,-0.004,WL_876
2023-02-08T19:00:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T19:02:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T19:04:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T19:06:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T19:08:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T19:10:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T19:12:00Z,22.812,101.175,-0.006,WL_876
2023-02-08T19:14:00Z,22.812,101.193,-0.004,WL_876
2023-02-08T19:16:00Z,22.812,101.193,-0.004,WL_876
2023-02-08T19:18:00Z,22.908,101.212,-0.002,WL_876
2023-02-08T19:20:00Z,22.812,101.193,-0.004,WL_876
2023-02-08T19:22:00Z,22.812,101.21,-0.002,WL_876
2023-02-08T19:24:00Z,22.812,101.21,-0.002,WL_876
2023-02-08T19:26:00Z,22.908,101.229,-0,WL_876
2023-02-08T19:28:00Z,22.812,101.21,-0.002,WL_876
2023-02-08T19:30:00Z,22.812,101.21,-0.002,WL_876
2023-02-08T19:32:00Z,22.908,101.212,-0.002,WL_876
2023-02-08T19:34:00Z,22.908,101.212,-0.002,WL_876
2023-02-08T19:36:00Z,22.812,101.21,-0.002,WL_876
2023-02-08T19:38:00Z,22.812,101.21,-0.002,WL_876
2023-02-08T19:40:00Z,22.812,101.227,-0,WL_876
2023-02-08T19:42:00Z,22.908,101.229,-0,WL_876
2023-02-08T19:44:00Z,22.908,101.212,-0.002,WL_876
2023-02-08T19:46:00Z,22.812,101.21,-0.002,WL_876
2023-02-08T19:48:00Z,22.812,101.21,-0.002,WL_876
2023-02-08T19:50:00Z,22.908,101.212,-0.002,WL_876
2023-02-08T19:52:00Z,22.908,101.212,-0.002,WL_876
2023-02-08T19:54:00Z,22.812,101.21,-0.002,WL_876
2023-02-08T19:56:00Z,22.812,101.227,-0,WL_876
2023-02-08T19:58:00Z,22.908,101.229,-0,WL_876
2023-02-08T20:00:00Z,22.908,101.229,-0,WL_876
2023-02-08T20:02:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:04:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:06:00Z,22.908,101.229,-0,WL_876
2023-02-08T20:08:00Z,22.908,101.229,-0,WL_876
2023-02-08T20:10:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:12:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:14:00Z,22.908,101.229,-0,WL_876
2023-02-08T20:16:00Z,22.812,101.21,-0.002,WL_876
2023-02-08T20:18:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:20:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:22:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:24:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:26:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:28:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:30:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:32:00Z,22.812,101.21,-0.002,WL_876
2023-02-08T20:34:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:36:00Z,22.812,101.21,-0.002,WL_876
2023-02-08T20:38:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:40:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:42:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:44:00Z,22.812,101.244,0.001,WL_876
2023-02-08T20:46:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:48:00Z,22.812,101.21,-0.002,WL_876
2023-02-08T20:50:00Z,22.812,101.244,0.001,WL_876
2023-02-08T20:52:00Z,22.812,101.244,0.001,WL_876
2023-02-08T20:54:00Z,22.812,101.227,-0,WL_876
2023-02-08T20:56:00Z,22.812,101.244,0.001,WL_876
2023-02-08T20:58:00Z,22.908,101.229,-0,WL_876
2023-02-08T21:00:00Z,22.908,101.229,-0,WL_876
2023-02-08T21:02:00Z,22.908,101.229,-0,WL_876
2023-02-08T21:04:00Z,22.908,101.229,-0,WL_876
2023-02-08T21:06:00Z,22.908,101.246,0.001,WL_876
2023-02-08T21:08:00Z,22.908,101.229,-0,WL_876
2023-02-08T21:10:00Z,22.908,101.229,-0,WL_876
2023-02-08T21:12:00Z,22.908,101.246,0.001,WL_876
2023-02-08T21:14:00Z,22.908,101.229,-0,WL_876
2023-02-08T21:16:00Z,22.908,101.246,0.001,WL_876
2023-02-08T21:18:00Z,22.908,101.229,-0,WL_876
2023-02-08T21:20:00Z,22.908,101.229,-0,WL_876
