"","DateTime","Northing","Easting","Alongshore","Cross_shore","Pressure","Temperature","Heading","Pitch","Roll","Direction","Speed"
"1",2022-03-25 15:36:00,0.0457669172730215,-0.090740310314267,0.10031157213507,-0.016309602337142,1.194,30.95,108.1,0.4,-0.1,-63.2348788681444,0.10162880808415
"2",2022-03-25 15:38:00,0.122921606821874,-0.0759628194578396,0.13370671956002,0.0547958438948979,1.22,30.78,108,0.4,-0.1,-31.7151432041724,0.14449938187984
"3",2022-03-25 15:40:00,0.0749080345268433,-0.135880185053058,0.153959216879831,-0.0192664959055183,1.216,30.64,108,0.4,-0.1,-61.1329286907363,0.155160041011622
"4",2022-03-25 15:42:00,0.0892894980855317,-0.101201521343993,0.134356800783162,0.0127519596148432,1.207,30.58,108.1,0.4,-0.1,-48.578232257991,0.134960595696318
"5",2022-03-25 15:44:00,0.0707925344603271,-0.099700969089921,0.122270586077584,-0.00133039581704462,1.203,30.54,108.2,0.4,-0.1,-54.6233965167244,0.122277823716265
"6",2022-03-25 15:46:00,0.0944358600544362,-0.160362283962888,0.185243818810311,-0.01785836987487,1.225,30.47,108,0.4,-0.2,-59.5065639122979,0.186102643135488
"7",2022-03-25 15:48:00,0.0116847230716419,-0.092908655303876,0.0820327889639925,-0.0451571978584198,1.194,30.44,108,0.4,-0.2,-82.831790687767,0.0936405413463389
"8",2022-03-25 15:50:00,0.108053014483859,-0.137473889785951,0.17473068149902,0.00661160001942114,1.217,30.41,108.3,0.4,-0.2,-51.8330300358669,0.174855724275555
"9",2022-03-25 15:52:00,0.0854320535068263,-0.144964243233053,0.167494237476617,-0.0160918611307553,1.198,30.37,108.1,0.4,-0.3,-59.487798281998,0.168265467587753
"10",2022-03-25 15:54:00,0.0474658290273926,-0.0880873162357165,0.0991638501137122,-0.0133757630621212,1.187,30.35,108.2,0.4,-0.3,-61.6820033420506,0.100061881887504
"11",2022-03-25 15:56:00,0.077911274540116,-0.135174678438942,0.155153710228263,-0.0164221373134214,1.205,30.31,108.2,0.4,-0.3,-60.0419365868038,0.156020384538485
"12",2022-03-25 15:58:00,0.135223223395306,-0.140596568932779,0.193227230096639,0.026757296019353,1.211,30.29,108.1,0.4,-0.3,-46.116058711598,0.195071052032552
"13",2022-03-25 16:00:00,0.0437714146525628,-0.141051538324486,0.139841283591994,-0.0474961957185437,1.217,30.26,108.1,0.4,-0.4,-72.7597265233108,0.147687078664285
"14",2022-03-25 16:02:00,0.0738995015784775,-0.132460255896356,0.150599635278999,-0.0180722322779384,1.199,30.24,108.1,0.4,-0.4,-60.8428769431546,0.151680109855167
"15",2022-03-25 16:04:00,0.12249314908682,-0.116376259374291,0.166150038115684,0.0306947903285692,1.194,30.23,108.1,0.4,-0.4,-43.5331089946244,0.168961549824681
"16",2022-03-25 16:06:00,0.0880896254437972,-0.167770408932751,0.187506894695662,-0.0273469681295928,1.288,30.2,108,0.4,-0.4,-62.2978070011713,0.18949061249648
"17",2022-03-25 16:08:00,0.0558218766485187,-0.0982829296400464,0.112323836185044,-0.0126084097279644,1.207,30.18,108,0.4,-0.4,-60.4046711940899,0.113029271302582
"18",2022-03-25 16:10:00,0.0691217786925122,-0.0978167427792326,0.119764169370485,-0.00157454518925263,1.202,30.17,108,0.4,-0.4,-54.7532269232867,0.119774519233246
"19",2022-03-25 16:12:00,0.114652978961152,-0.140103842099056,0.180737719400125,0.0104052362599466,1.243,30.16,108,0.4,-0.4,-50.7050664698778,0.181036991124973
"20",2022-03-25 16:14:00,0.032097621517902,-0.10506154341843,0.10386308264266,-0.0357861045174409,1.176,30.14,108.1,0.4,-0.4,-73.0114296248811,0.109855292146392
"21",2022-03-25 16:16:00,0.0789324280287758,-0.142671987384834,0.161819379538531,-0.0200028144175064,1.221,30.14,108.1,0.4,-0.4,-61.0466990114372,0.163050986439384
"22",2022-03-25 16:18:00,0.151615743343918,-0.178442812550794,0.233480765830571,0.0177736593850731,1.229,30.11,108,0.4,-0.4,-49.6467704642048,0.234156296051946
"23",2022-03-25 16:20:00,0.100512159647844,-0.14861516117813,0.179311756131948,-0.00603775471113976,1.239,30.09,108,0.4,-0.4,-55.9285250363905,0.179413378456221
"24",2022-03-25 16:22:00,0.0902073073940128,-0.137671718121445,0.164401284540261,-0.00794216087099034,1.223,30.08,108,0.4,-0.4,-56.7657861142991,0.164593014061315
"25",2022-03-25 16:24:00,0.110898659547381,-0.122395128080478,0.164204335226759,0.0177768489890797,1.195,30.08,108.1,0.4,-0.4,-47.8211925856989,0.165163797689574
"26",2022-03-25 16:26:00,0.0506425826401152,-0.124769925489755,0.13070795332197,-0.0323672121376178,1.183,30.07,108,0.4,-0.4,-67.9083697638063,0.13465587801199
"27",2022-03-25 16:28:00,0.120897968716461,-0.138658874780462,0.183239429161954,0.0163068695816035,1.192,30.07,108.1,0.4,-0.4,-48.9145225156105,0.183963589862642
"28",2022-03-25 16:30:00,0.108819219161817,-0.0897248911145204,0.136551293919387,0.0352976298558589,1.193,30.06,108,0.4,-0.3,-39.5066608829028,0.141039634658135
"29",2022-03-25 16:32:00,0.0949391373490785,-0.0919174733548153,0.13016662282321,0.022779640280755,1.224,30.06,108,0.4,-0.4,-44.0735489393618,0.132144851237271
"30",2022-03-25 16:34:00,0.0745269890510415,-0.15497882377391,0.169186367263298,-0.03080066635005,1.228,30.03,108.1,0.4,-0.3,-64.3177975829355,0.171967171039587
"31",2022-03-25 16:36:00,0.1008084145919,-0.0812016872178756,0.124947244335285,0.0338265663729092,1.175,30.04,108.1,0.4,-0.4,-38.8516194196866,0.129445163909519
