DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(0.150m);Dir#1(0.150m);Speed#2(0.200m);Dir#2(0.200m);Speed#3(0.250m);Dir#3(0.250m);Speed#4(0.300m);Dir#4(0.300m);Speed#5(0.350m);Dir#5(0.350m);Speed#6(0.400m);Dir#6(0.400m);Speed#7(0.450m);Dir#7(0.450m);Speed#8(0.500m);Dir#8(0.500m);Speed#9(0.550m);Dir#9(0.550m);Speed#10(0.600m);Dir#10(0.600m);Speed#11(0.650m);Dir#11(0.650m);Speed#12(0.700m);Dir#12(0.700m);Speed#13(0.750m);Dir#13(0.750m);Speed#14(0.800m);Dir#14(0.800m);Speed#15(0.850m);Dir#15(0.850m);Speed#16(0.900m);Dir#16(0.900m);Speed#17(0.950m);Dir#17(0.950m);
8/3/2021 14:47:00; 11.7;299.1; -2.0; -4.5;  0.033; 30.52;    0;    0;  0.179;  46.13;  0.582;  72.28;  0.416;  66.21;  0.519;  65.02;  0.549;  51.50;  0.619;  53.87;  0.412;  45.49;  0.543;  48.88;  0.563;  73.08;  0.092;  75.51;  0.203;  78.91;  0.336;  82.14;  0.245;  78.46;  0.175;  55.95;  0.344;  92.33;  0.555;  52.39;  0.309;  80.51;
8/3/2021 14:49:00; 11.7;194.9;  5.2;  8.6;  0.782; 30.08;    0;    0;  0.054; 307.50;  0.057; 315.00;  0.061; 318.99;  0.063; 309.23;  0.059; 317.07;  0.052; 327.53;  0.052; 329.04;  0.044; 341.57;  0.040; 348.41;  0.030; 291.45;  0.039; 270.00;  0.029; 255.96;  0.024; 213.02;  0.015; 191.31;  0.013; 112.62;  0.009; 102.53;  0.011; 169.70;
8/3/2021 14:51:00; 11.7;202.0; -0.7; -5.2;  0.841; 29.09;    0;    0;  0.041; 271.40;  0.038; 270.00;  0.036; 265.24;  0.036; 265.24;  0.038; 270.00;  0.040; 262.87;  0.040; 262.87;  0.036; 238.50;  0.039; 246.04;  0.036; 250.56;  0.048; 265.24;  0.048; 211.37;  0.054; 200.43;  0.038; 199.86;  0.055; 239.22;  0.056; 247.07;  0.059; 253.39;
8/3/2021 14:53:00; 11.7;202.0; -0.7; -5.4;  0.846; 28.71;    0;    0;  0.048; 256.83;  0.048; 262.87;  0.049; 265.33;  0.053; 260.18;  0.053; 255.70;  0.059; 258.31;  0.063; 261.74;  0.062; 256.87;  0.069; 251.30;  0.076; 258.69;  0.091; 271.89;  0.047; 241.78;  0.044; 217.65;  0.028; 235.18;  0.056; 263.88;  0.066; 265.67;  0.064; 268.21;
8/3/2021 14:55:00; 11.7;201.7; -0.7; -5.5;  0.839; 28.47;    0;    0;  0.031; 270.00;  0.035; 270.00;  0.042; 270.00;  0.042; 270.00;  0.048; 261.53;  0.044; 260.75;  0.050; 259.59;  0.060; 271.91;  0.045; 251.97;  0.065; 231.89;  0.068; 250.23;  0.045; 216.87;  0.031; 172.65;  0.016; 158.20;  0.048; 254.22;  0.061; 249.78;  0.057; 257.91;
8/3/2021 14:57:00; 11.7;201.7; -0.7; -5.6;  0.842; 28.30;    0;    0;  0.042; 288.00;  0.040; 286.14;  0.041; 291.54;  0.043; 284.68;  0.050; 280.41;  0.051; 280.20;  0.051; 288.43;  0.056; 291.99;  0.048; 288.06;  0.047; 261.35;  0.036; 265.24;  0.031; 231.63;  0.029; 189.78;  0.010; 203.96;  0.049; 295.51;  0.046; 244.00;  0.051; 293.05;
8/3/2021 14:59:00; 11.7;201.8; -0.7; -5.5;  0.843; 28.17;    0;    0;  0.053; 265.68;  0.060; 261.33;  0.062; 265.39;  0.062; 262.53;  0.068; 258.20;  0.072; 257.12;  0.075; 257.64;  0.092; 274.97;  0.081; 259.38;  0.089; 252.38;  0.057; 246.14;  0.059; 233.90;  0.069; 239.74;  0.072; 257.91;  0.072; 261.19;  0.073; 262.09;  0.072; 261.19;
8/3/2021 15:01:00; 11.7;201.6; -0.6; -5.5;  0.556; 28.07;    0;    0;  0.041; 257.32;  0.045; 255.96;  0.047; 260.13;  0.047; 257.74;  0.047; 257.74;  0.047; 257.74;  0.052; 261.09;  0.089; 289.65;  0.053; 246.80;  0.084; 233.67;  0.048; 261.53;  0.048; 243.97;  0.048; 241.29;  0.043; 251.15;  0.049; 246.04;  0.048; 250.43;  0.050; 249.04;
8/3/2021 15:03:00; 11.7;235.0;-15.3; 16.4;  0.065; 28.08;    0;    0;  0.976; 289.70;  1.009; 309.49;  1.164; 313.19;  1.033; 302.35;  0.841; 302.42;  0.945; 296.40;  0.826; 301.44;  1.070; 287.96;  1.217; 291.95;  0.888; 300.75;  0.902; 278.99;  0.911; 297.94;  0.969; 291.24;  1.223; 306.46;  1.018; 297.62;  1.009; 295.91;  0.848; 297.29;
8/3/2021 15:05:00; 11.7; 72.6; -5.1; -8.8;  0.065; 28.14;    0;    0;  0.748; 118.76;  0.780;  89.41;  0.682; 113.22;  0.611;  88.03;  0.354; 105.57;  0.626; 126.03;  0.831; 117.21;  0.589;  79.63;  0.621; 101.80;  0.438; 112.82;  0.449; 108.84;  0.792;  86.96;  0.741; 114.80;  0.700;  84.84;  0.591; 110.83;  0.532;  89.46;  0.587;  98.13;
