"","date","Serial","TempInSitu","E_Conductivity","EC_Cal.1","EC_Cal.2","Salinity"
"1",2021-05-13 08:00:00,"CT_350_051321",25.67,0,NA,-674.160908559979,NA
"2",2021-05-13 08:00:10,"CT_350_051321",25.66,0,NA,-674.160908559979,NA
"3",2021-05-13 08:00:20,"CT_350_051321",25.66,0,NA,-674.160908559979,NA
"4",2021-05-13 08:00:30,"CT_350_051321",25.65,0,NA,-674.160908559979,NA
"5",2021-05-13 08:00:40,"CT_350_051321",25.65,0,NA,-674.160908559979,NA
"6",2021-05-13 08:00:50,"CT_350_051321",25.65,0,NA,-674.160908559979,NA
"7",2021-05-13 08:01:00,"CT_350_051321",25.63,0,NA,-674.160908559979,NA
"8",2021-05-13 08:01:10,"CT_350_051321",25.62,0,NA,-674.160908559979,NA
"9",2021-05-13 08:01:20,"CT_350_051321",25.62,0,NA,-674.160908559979,NA
"10",2021-05-13 08:01:30,"CT_350_051321",25.61,0,NA,-674.160908559979,NA
"11",2021-05-13 08:01:40,"CT_350_051321",25.6,0,NA,-674.160908559979,NA
"12",2021-05-13 08:01:50,"CT_350_051321",25.6,0,NA,-674.160908559979,NA
"13",2021-05-13 08:02:00,"CT_350_051321",25.6,0,NA,-674.160908559979,NA
"14",2021-05-13 08:02:10,"CT_350_051321",25.59,0,NA,-674.160908559979,NA
"15",2021-05-13 08:02:20,"CT_350_051321",25.59,0,NA,-674.160908559979,NA
"16",2021-05-13 08:02:30,"CT_350_051321",25.57,0,NA,-674.160908559979,NA
"17",2021-05-13 08:02:40,"CT_350_051321",25.57,0,NA,-674.160908559979,NA
"18",2021-05-13 08:02:50,"CT_350_051321",25.56,0,NA,-674.160908559979,NA
"19",2021-05-13 08:03:00,"CT_350_051321",25.56,0,NA,-674.160908559979,NA
"20",2021-05-13 08:03:10,"CT_350_051321",25.55,0,NA,-674.160908559979,NA
"21",2021-05-13 08:03:20,"CT_350_051321",25.55,0,NA,-674.160908559979,NA
"22",2021-05-13 08:03:30,"CT_350_051321",25.54,0,NA,-674.160908559979,NA
"23",2021-05-13 08:03:40,"CT_350_051321",25.54,0,NA,-674.160908559979,NA
"24",2021-05-13 08:03:50,"CT_350_051321",25.54,0,NA,-674.160908559979,NA
"25",2021-05-13 08:04:00,"CT_350_051321",25.52,0,NA,-674.160908559979,NA
"26",2021-05-13 08:04:10,"CT_350_051321",25.52,0,NA,-674.160908559979,NA
"27",2021-05-13 08:04:20,"CT_350_051321",25.51,0,NA,-674.160908559979,NA
"28",2021-05-13 08:04:30,"CT_350_051321",25.51,0,NA,-674.160908559979,NA
"29",2021-05-13 08:04:40,"CT_350_051321",25.5,0,NA,-674.160908559979,NA
"30",2021-05-13 08:04:50,"CT_350_051321",25.5,0,NA,-674.160908559979,NA
"31",2021-05-13 08:05:00,"CT_350_051321",25.5,0,NA,-674.160908559979,NA
"32",2021-05-13 08:05:10,"CT_350_051321",25.49,0,NA,-674.160908559979,NA
"33",2021-05-13 08:05:20,"CT_350_051321",25.49,0,NA,-674.160908559979,NA
"34",2021-05-13 08:05:30,"CT_350_051321",25.49,0,NA,-674.160908559979,NA
"35",2021-05-13 08:05:40,"CT_350_051321",25.47,0,NA,-674.160908559979,NA
"36",2021-05-13 08:05:50,"CT_350_051321",25.47,0,NA,-674.160908559979,NA
"37",2021-05-13 08:06:00,"CT_350_051321",25.47,0,NA,-674.160908559979,NA
"38",2021-05-13 08:06:10,"CT_350_051321",25.46,0,NA,-674.160908559979,NA
"39",2021-05-13 08:06:20,"CT_350_051321",25.46,0,NA,-674.160908559979,NA
"40",2021-05-13 08:06:30,"CT_350_051321",25.46,0,NA,-674.160908559979,NA
"41",2021-05-13 08:06:40,"CT_350_051321",25.46,0,NA,-674.160908559979,NA
"42",2021-05-13 08:06:50,"CT_350_051321",25.45,0,NA,-674.160908559979,NA
