Lon,Lat,Name
-149.9126256,-17.51630618,Visual
-149.7754957,-17.52713289,Interview-2
-149.7679089,-17.51258774,Interview -1
-149.8992073,-17.54035691,Visual
-149.8169021,-17.59271335,Interview -1
-149.8440129,-17.58287467,Interview-2
-149.8655049,-17.5726665,Interview -1
-149.9043026,-17.53583517,Interview -1
-149.8793136,-17.55534659,Interview-3
-149.8883178,-17.54845483,Interview -1
-149.8925404,-17.54529167,Interview -1
-149.9131589,-17.51931614,Interview -1
-149.8693169,-17.49211028,Interview -1
-149.7809255,-17.47572352,Interview -1
-149.7943228,-17.47938044,Interview-2
