date,AbsPressure,TempInSitu,Depth,Serial
2021-01-18T07:50:00Z,102.764,25.416,0.112,877
2021-01-18T07:51:00Z,103.084,26.39,0.144,877
2021-01-18T07:52:00Z,102.561,26.879,0.092,877
2021-01-18T07:53:00Z,102.714,27.173,0.107,877
2021-01-18T07:54:00Z,102.595,27.37,0.095,877
2021-01-18T07:55:00Z,102.422,27.567,0.078,877
2021-01-18T07:56:00Z,102.734,27.764,0.109,877
2021-01-18T07:57:00Z,103.043,27.862,0.14,877
2021-01-18T07:58:00Z,102.597,27.961,0.095,877
2021-01-18T07:59:00Z,102.69,28.06,0.104,877
2021-01-18T08:00:00Z,102.87,28.06,0.122,877
2021-01-18T08:01:00Z,102.388,28.159,0.074,877
2021-01-18T08:02:00Z,102.891,28.159,0.124,877
2021-01-18T08:03:00Z,102.783,28.159,0.114,877
2021-01-18T08:04:00Z,103.11,28.258,0.146,877
2021-01-18T08:05:00Z,102.571,28.258,0.093,877
2021-01-18T08:06:00Z,102.556,28.357,0.091,877
2021-01-18T08:07:00Z,101.64,28.357,0,877
2021-01-18T08:08:00Z,101.622,28.357,-0.002,877
2021-01-18T08:09:00Z,101.661,28.456,0.002,877
2021-01-18T08:10:00Z,101.748,28.357,0.011,877
2021-01-18T08:11:00Z,101.727,28.258,0.009,877
2021-01-18T08:12:00Z,101.691,28.258,0.005,877
2021-01-18T08:13:00Z,101.745,28.258,0.01,877
2021-01-18T08:14:00Z,101.784,28.357,0.014,877
2021-01-18T08:15:00Z,101.715,28.456,0.007,877
2021-01-18T08:16:00Z,101.676,28.357,0.004,877
2021-01-18T08:17:00Z,101.756,28.06,0.012,877
2021-01-18T08:18:00Z,101.627,27.961,-0.001,877
2021-01-18T08:19:00Z,101.695,27.862,0.005,877
2021-01-18T08:20:00Z,101.731,27.862,0.009,877
2021-01-18T08:21:00Z,101.785,27.862,0.014,877
2021-01-18T08:22:00Z,101.695,27.862,0.005,877
2021-01-18T08:23:00Z,101.642,27.862,0,877
2021-01-18T08:24:00Z,101.767,27.862,0.013,877
2021-01-18T08:25:00Z,101.573,27.961,-0.007,877
2021-01-18T08:26:00Z,101.699,27.961,0.006,877
2021-01-18T08:27:00Z,101.771,27.961,0.013,877
2021-01-18T08:28:00Z,101.663,27.961,0.002,877
2021-01-18T08:29:00Z,101.735,27.961,0.009,877
2021-01-18T08:30:00Z,101.806,27.961,0.017,877
2021-01-18T08:31:00Z,101.753,27.961,0.011,877
2021-01-18T08:32:00Z,101.762,28.258,0.012,877
2021-01-18T08:33:00Z,101.736,28.555,0.01,877
2021-01-18T08:34:00Z,101.686,28.655,0.005,877
2021-01-18T08:35:00Z,101.743,28.754,0.01,877
2021-01-18T08:36:00Z,101.833,28.754,0.019,877
2021-01-18T08:37:00Z,101.671,28.754,0.003,877
2021-01-18T08:38:00Z,101.797,28.754,0.016,877
2021-01-18T08:39:00Z,101.725,28.754,0.008,877
2021-01-18T08:40:00Z,101.779,28.754,0.014,877
2021-01-18T08:41:00Z,101.725,28.754,0.008,877
2021-01-18T08:42:00Z,101.779,28.754,0.014,877
2021-01-18T08:43:00Z,101.707,28.754,0.007,877
2021-01-18T08:44:00Z,101.707,28.754,0.007,877
2021-01-18T08:45:00Z,101.707,28.754,0.007,877
2021-01-18T08:46:00Z,101.707,28.754,0.007,877
2021-01-18T08:47:00Z,101.689,28.754,0.005,877
2021-01-18T08:48:00Z,101.743,28.754,0.01,877
2021-01-18T08:49:00Z,101.707,28.754,0.007,877
2021-01-18T08:50:00Z,101.689,28.754,0.005,877
