"Plot Title: Pressure_011821_876_profiling"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810876, SEN S/N: 20810876)","Temp, °C (LGR S/N: 20810876, SEN S/N: 20810876)"
1,01/18/21 07:30:00 AM,101.433,26.195
2,01/18/21 07:30:01 AM,101.433,26.195
3,01/18/21 07:30:02 AM,101.415,26.195
4,01/18/21 07:30:03 AM,101.433,26.195
5,01/18/21 07:30:04 AM,101.415,26.195
6,01/18/21 07:30:05 AM,101.415,26.195
7,01/18/21 07:30:06 AM,101.415,26.195
8,01/18/21 07:30:07 AM,101.415,26.195
9,01/18/21 07:30:08 AM,101.433,26.195
10,01/18/21 07:30:09 AM,101.433,26.195
11,01/18/21 07:30:10 AM,101.433,26.195
12,01/18/21 07:30:11 AM,101.433,26.195
13,01/18/21 07:30:12 AM,101.415,26.195
14,01/18/21 07:30:13 AM,101.415,26.195
15,01/18/21 07:30:14 AM,101.415,26.195
16,01/18/21 07:30:15 AM,101.415,26.195
17,01/18/21 07:30:16 AM,101.415,26.195
18,01/18/21 07:30:17 AM,101.415,26.195
19,01/18/21 07:30:18 AM,101.415,26.195
20,01/18/21 07:30:19 AM,101.433,26.195
21,01/18/21 07:30:20 AM,101.433,26.195
22,01/18/21 07:30:21 AM,101.415,26.195
23,01/18/21 07:30:22 AM,101.433,26.195
24,01/18/21 07:30:23 AM,101.433,26.195
25,01/18/21 07:30:24 AM,101.433,26.195
26,01/18/21 07:30:25 AM,101.433,26.195
27,01/18/21 07:30:26 AM,101.433,26.195
28,01/18/21 07:30:27 AM,101.433,26.195
29,01/18/21 07:30:28 AM,101.415,26.195
30,01/18/21 07:30:29 AM,101.413,26.097
31,01/18/21 07:30:30 AM,101.413,26.097
32,01/18/21 07:30:31 AM,101.413,26.097
33,01/18/21 07:30:32 AM,101.413,26.097
34,01/18/21 07:30:33 AM,101.413,26.097
35,01/18/21 07:30:34 AM,101.413,26.097
36,01/18/21 07:30:35 AM,101.430,26.097
37,01/18/21 07:30:36 AM,101.430,26.097
38,01/18/21 07:30:37 AM,101.430,26.097
39,01/18/21 07:30:38 AM,101.430,26.097
40,01/18/21 07:30:39 AM,101.413,26.097
41,01/18/21 07:30:40 AM,101.430,26.097
42,01/18/21 07:30:41 AM,101.430,26.097
43,01/18/21 07:30:42 AM,101.430,26.097
44,01/18/21 07:30:43 AM,101.430,26.097
45,01/18/21 07:30:44 AM,101.430,26.097
46,01/18/21 07:30:45 AM,101.430,26.097
47,01/18/21 07:30:46 AM,101.430,26.097
