"","date","Serial","TempInSitu","E_Conductivity","Sp_Conductance","Salinity","Salinity_off"
"1",2021-05-19 15:00:00,"CT_321",28.72,39742.5,55344.9,36.6987,36.6987
"2",2021-05-19 15:00:10,"CT_321",28.71,39667.5,55250.7,36.6282,36.6282
"3",2021-05-19 15:00:20,"CT_321",28.7,39660.4,55251.2,36.6286,36.6286
"4",2021-05-19 15:00:30,"CT_321",28.72,39735.3,55334.9,36.6911,36.6911
"5",2021-05-19 15:00:40,"CT_321",28.72,39667.5,55240.3,36.6204,36.6204
"6",2021-05-19 15:00:50,"CT_321",28.72,39706.7,55295,36.6613,36.6613
"7",2021-05-19 15:01:00,"CT_321",28.73,39631.9,55180.2,36.5756,36.5756
"8",2021-05-19 15:01:10,"CT_321",28.71,39660.4,55240.8,36.6208,36.6208
"9",2021-05-19 15:01:20,"CT_321",28.75,39706.7,55263.7,36.638,36.638
"10",2021-05-19 15:01:30,"CT_321",28.73,39667.5,55229.9,36.6127,36.6127
"11",2021-05-19 15:01:40,"CT_321",28.73,39692.5,55264.7,36.6387,36.6387
"12",2021-05-19 15:01:50,"CT_321",28.72,39681.8,55260.2,36.6354,36.6354
"13",2021-05-19 15:02:00,"CT_321",28.73,39696,55269.6,36.6424,36.6424
"14",2021-05-19 15:02:10,"CT_321",28.72,39660.4,55230.4,36.613,36.613
"15",2021-05-19 15:02:20,"CT_321",28.72,39699.6,55285.1,36.6539,36.6539
"16",2021-05-19 15:02:30,"CT_321",28.71,39653.3,55230.9,36.6134,36.6134
"17",2021-05-19 15:02:40,"CT_321",28.72,39710.3,55300,36.6651,36.6651
"18",2021-05-19 15:02:50,"CT_321",28.73,39692.5,55264.7,36.6387,36.6387
"19",2021-05-19 15:03:00,"CT_321",28.75,39728.2,55293.7,36.6604,36.6604
"20",2021-05-19 15:03:10,"CT_321",28.72,39728.2,55325,36.6837,36.6837
"21",2021-05-19 15:03:20,"CT_321",28.73,39706.7,55284.6,36.6535,36.6535
"22",2021-05-19 15:03:30,"CT_321",28.73,39696,55269.6,36.6424,36.6424
"23",2021-05-19 15:03:40,"CT_321",28.72,39728.2,55325,36.6837,36.6837
"24",2021-05-19 15:03:50,"CT_321",28.73,39713.9,55294.6,36.661,36.661
"25",2021-05-19 15:04:00,"CT_321",28.73,39685.3,55254.7,36.6312,36.6312
"26",2021-05-19 15:04:10,"CT_321",28.72,39699.6,55285.1,36.6539,36.6539
"27",2021-05-19 15:04:20,"CT_321",28.75,39763.9,55343.5,36.6976,36.6976
"28",2021-05-19 15:04:30,"CT_321",28.73,39692.5,55264.7,36.6387,36.6387
"29",2021-05-19 15:04:40,"CT_321",28.72,39685.3,55265.1,36.639,36.639
"30",2021-05-19 15:04:50,"CT_321",28.73,39710.3,55289.6,36.6573,36.6573
"31",2021-05-19 15:05:00,"CT_321",28.73,39710.3,55289.6,36.6573,36.6573
"32",2021-05-19 15:05:10,"CT_321",28.76,39674.6,55208.6,36.5967,36.5967
