date,DO_mg_L,Temperature
2021-08-27T12:31:00Z,8.617,26.188
2021-08-27T12:32:00Z,8.798,26.222
2021-08-27T12:33:00Z,8.845,26.239
2021-08-27T12:34:00Z,8.855,26.256
2021-08-27T12:35:00Z,8.826,26.256
2021-08-27T12:36:00Z,8.772,26.239
2021-08-27T12:37:00Z,8.736,26.239
2021-08-27T12:38:00Z,8.662,26.23
2021-08-27T12:39:00Z,8.661,26.213
2021-08-27T12:40:00Z,8.613,26.205
2021-08-27T12:41:00Z,8.549,26.18
2021-08-27T12:42:00Z,8.68,26.188
2021-08-27T12:43:00Z,8.835,26.205
2021-08-27T12:44:00Z,8.926,26.247
2021-08-27T12:45:00Z,8.886,26.239
2021-08-27T12:46:00Z,8.786,26.23
2021-08-27T12:47:00Z,8.793,26.239
2021-08-27T12:48:00Z,8.764,26.222
2021-08-27T12:49:00Z,8.704,26.205
2021-08-27T12:50:00Z,8.71,26.196
2021-08-27T12:51:00Z,8.699,26.188
2021-08-27T12:52:00Z,8.76,26.196
2021-08-27T12:53:00Z,8.768,26.196
2021-08-27T12:54:00Z,8.786,26.205
2021-08-27T12:55:00Z,8.91,26.23
2021-08-27T12:56:00Z,8.98,26.239
2021-08-27T12:57:00Z,9.055,26.264
2021-08-27T12:58:00Z,9.079,26.272
2021-08-27T12:59:00Z,9.023,26.289
2021-08-27T13:00:00Z,9.066,26.281
2021-08-27T13:01:00Z,9.01,26.264
2021-08-27T13:02:00Z,9.065,26.264
2021-08-27T13:03:00Z,9.063,26.281
2021-08-27T13:04:00Z,9.185,26.306
2021-08-27T13:05:00Z,9.255,26.306
2021-08-27T13:06:00Z,9.299,26.315
2021-08-27T13:07:00Z,9.258,26.332
2021-08-27T13:08:00Z,9.283,26.323
2021-08-27T13:09:00Z,9.33,26.332
2021-08-27T13:10:00Z,9.347,26.349
2021-08-27T13:11:00Z,9.427,26.365
2021-08-27T13:12:00Z,9.474,26.374
2021-08-27T13:13:00Z,9.55,26.391
2021-08-27T13:14:00Z,9.6,26.425
2021-08-27T13:15:00Z,9.537,26.408
2021-08-27T13:16:00Z,9.592,26.416
2021-08-27T13:17:00Z,9.635,26.425
2021-08-27T13:18:00Z,9.637,26.475
2021-08-27T13:19:00Z,9.642,26.458
2021-08-27T13:20:00Z,9.554,26.45
2021-08-27T13:21:00Z,9.501,26.442
2021-08-27T13:22:00Z,9.47,26.45
2021-08-27T13:23:00Z,9.41,26.442
2021-08-27T13:24:00Z,9.341,26.425
2021-08-27T13:25:00Z,9.359,26.408
2021-08-27T13:26:00Z,9.329,26.416
2021-08-27T13:27:00Z,9.326,26.391
2021-08-27T13:28:00Z,9.236,26.382
2021-08-27T13:29:00Z,9.179,26.374
2021-08-27T13:30:00Z,9.13,26.374
2021-08-27T13:31:00Z,9.122,26.34
2021-08-27T13:32:00Z,9.044,26.34
2021-08-27T13:33:00Z,8.991,26.315
2021-08-27T13:34:00Z,9.004,26.298
2021-08-27T13:35:00Z,9.056,26.323
2021-08-27T13:36:00Z,9.047,26.315
2021-08-27T13:37:00Z,9.067,26.323
2021-08-27T13:38:00Z,9.101,26.34
2021-08-27T13:39:00Z,9.129,26.332
2021-08-27T13:40:00Z,9.31,26.349
2021-08-27T13:41:00Z,9.372,26.382
2021-08-27T13:42:00Z,9.417,26.408
2021-08-27T13:43:00Z,9.417,26.433
2021-08-27T13:44:00Z,9.404,26.416
2021-08-27T13:45:00Z,9.347,26.416
2021-08-27T13:46:00Z,9.375,26.408
2021-08-27T13:47:00Z,9.391,26.433
2021-08-27T13:48:00Z,9.314,26.433
2021-08-27T13:49:00Z,9.317,26.425
2021-08-27T13:50:00Z,9.375,26.433
2021-08-27T13:51:00Z,9.396,26.433
2021-08-27T13:52:00Z,9.338,26.433
2021-08-27T13:53:00Z,9.43,26.442
2021-08-27T13:54:00Z,9.425,26.45
2021-08-27T13:55:00Z,9.501,26.467
2021-08-27T13:56:00Z,9.478,26.467
2021-08-27T13:57:00Z,9.513,26.475
2021-08-27T13:58:00Z,9.457,26.475
2021-08-27T13:59:00Z,9.51,26.467
2021-08-27T14:00:00Z,9.566,26.501
2021-08-27T14:01:00Z,9.645,26.518
2021-08-27T14:02:00Z,9.724,26.543
2021-08-27T14:03:00Z,9.772,26.568
2021-08-27T14:04:00Z,9.753,26.568
2021-08-27T14:05:00Z,9.61,26.568
2021-08-27T14:06:00Z,9.701,26.568
2021-08-27T14:07:00Z,9.746,26.585
2021-08-27T14:08:00Z,9.789,26.611
2021-08-27T14:09:00Z,9.793,26.628
2021-08-27T14:10:00Z,9.762,26.611
2021-08-27T14:11:00Z,9.644,26.602
2021-08-27T14:12:00Z,9.627,26.577
2021-08-27T14:13:00Z,9.647,26.568
2021-08-27T14:14:00Z,9.638,26.577
2021-08-27T14:15:00Z,9.783,26.611
2021-08-27T14:16:00Z,9.907,26.645
2021-08-27T14:17:00Z,9.851,26.636
2021-08-27T14:18:00Z,9.86,26.653
2021-08-27T14:19:00Z,9.854,26.653
2021-08-27T14:20:00Z,9.767,26.628
2021-08-27T14:21:00Z,9.685,26.611
