Location,lat,lon,CowTagID,Top_Plate_ID,Bottom_Plate_ID,Jamie_Plate_ID,Plate_Seep,Date,Time,DateTime,Tide,Day_Night,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL
Varari,-17.54002498,-149.900106,V6,V6,V26,J6,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.51,27.31,2365.266839,8.019454653927967,0.21,2.47,0.57,0.43
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.42,27.76,2344.001217,8.046785069170395,0.21,2.84,0.57,0.36
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,NA,NA,NA,NA,0.23,1.01,0.54,0.31
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.26,28.34,2337.447513,8.077051981412163,0.25,4,0.83,0.46
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.43,26.89,2365.774319,7.996032849650477,0.24,1.2,0.58,0.21
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.48,27.08,2371.959181,8.01812513154202,0.22,2.47,0.92,0.7
Varari,-17.54014903,-149.899896,V8,V8,V28,J8,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.45,27.7,2330.074396,8.055301104611566,0.21,1.56,0.49,0.26
Varari,-17.54014903,-149.899896,V8,V8,V28,J8,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.43,27.03,2321.38849,8.050804200945379,0.19,0.77,0.46,0.2
Varari,-17.54014903,-149.899896,V8,V8,V28,J8,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.04,28.31,2351.074413,8.054500241782343,0.26,8.28,1.34,0.42
Varari,-17.54014903,-149.899896,V8,V8,V28,J8,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.45,27.02,2325.878993,7.993568367563479,0.21,1.87,0.35,0.19
Varari,-17.54014903,-149.899896,V8,V8,V28,J8,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.56,27.2,2363.226902,7.966033558677252,0.19,1.27,0.54,0.54
Varari,-17.540245,-149.899765,V9,V9,V29,J9,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.4,27.83,2348.711385,8.04220599495983,0.22,1.01,0.53,0.21
Varari,-17.540245,-149.899765,V9,V9,V29,J9,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.45,27.16,2318.333575,8.045855522496566,0.22,0.97,0.49,0.18
Varari,-17.540245,-149.899765,V9,V9,V29,J9,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.47,28.44,2357.074012,8.06916172659368,0.24,2.37,0.66,0.36
Varari,-17.540245,-149.899765,V9,V9,V29,J9,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.55,27.15,2386.919044,8.006006458506423,0.21,1.67,0.45,0.16
Varari,-17.540245,-149.899765,V9,V9,V29,J9,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.38,27.34,2372.370084,8.034553286949864,0.22,1.09,0.55,0.45
Varari,-17.54030501,-149.899788,V10,V10,V30,J10,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.46,27.61,2344.595953,8.046440529428887,0.21,1.01,0.46,0.26
Varari,-17.54030501,-149.899788,V10,V10,V30,J10,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.36,26.94,2303.174091,8.042457891975282,0.22,0.88,0.45,0.3
Varari,-17.54030501,-149.899788,V10,V10,V30,J10,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.33,28.21,2320.743508,8.073042454924828,0.21,3.66,0.65,0.26
Varari,-17.54030501,-149.899788,V10,V10,V30,J10,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.5,27.01,2361.302189,8.000836430253592,0.21,1.59,0.3,0.03
Varari,-17.54030501,-149.899788,V10,V10,V30,J10,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.28,27.2,2363.270608,8.03755026354605,0.22,1.56,0.62,0.43
Varari,-17.54019303,-149.900068,V11,V11,V31,J11,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.43,27.68,2308.380986,8.053644867105012,0.21,1.13,0.51,0.36
Varari,-17.54019303,-149.900068,V11,V11,V31,J11,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.45,26.97,2369.654389,8.039979600775482,0.21,0.66,0.34,1.02
Varari,-17.54019303,-149.900068,V11,V11,V31,J11,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.12,28.25,2348.0235,8.052529431752175,0.23,7.61,1.11,0.39
Varari,-17.54019303,-149.900068,V11,V11,V31,J11,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.48,27.07,2370.288749,8.00400579514279,0.21,0.88,0.34,0.07
Varari,-17.54019303,-149.900068,V11,V11,V31,J11,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.53,27.24,2360.976262,8.030578791075305,0.2,1.04,0.5,0.42
Varari,-17.54030996,-149.900112,V12,V12,V32,J12,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.44,27.75,2359.450571,8.050178350640918,0.22,0.88,0.44,0.26
Varari,-17.54030996,-149.900112,V12,V12,V32,J12,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.38,27.02,2347.556318,8.035016387299477,0.24,0.85,0.5,0.51
Varari,-17.54030996,-149.900112,V12,V12,V32,J12,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.28,28.35,2343.323603,8.05860782103754,0.23,4.18,0.75,0.26
