Location,lat,lon,CowTagID,Plate_Seep,Date,Time,DateTime,Tide,Day_Night,Salinity,Temperature,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL
Varari,-17.53975298,-149.900506,V1,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.45,28.02,0.2,1.69,0.5,0.35
Varari,-17.53975298,-149.900506,V1,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.41,27.1,0.21,0.91,0.53,0.32
Varari,-17.53975298,-149.900506,V1,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.22,28.44,0.23,5.11,0.84,0.42
Varari,-17.53975298,-149.900506,V1,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.41,27.1,0.2,1.14,0.33,0.08
Varari,-17.53975298,-149.900506,V1,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.52,27.26,0.22,2.29,0.68,0.52
Varari,-17.53989003,-149.900519,V2,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.4,27.92,0.2,1.29,0.57,0.26
Varari,-17.53989003,-149.900519,V2,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.4,27.15,0.21,0.92,0.61,0.71
Varari,-17.53989003,-149.900519,V2,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.09,28.47,0.26,5.76,1.05,0.31
Varari,-17.53989003,-149.900519,V2,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.52,27.2,0.2,0.83,0.43,0.23
Varari,-17.53989003,-149.900519,V2,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.34,27.36,0.2,2.06,0.62,2.4
Varari,-17.54012598,-149.90056,V3,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.41,27.76,0.2,1.56,0.48,0.34
Varari,-17.54012598,-149.90056,V3,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,NA,NA,0.22,1.2,0.37,0.28
Varari,-17.54012598,-149.90056,V3,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.35,28.31,0.24,3.38,0.82,0.39
Varari,-17.54012598,-149.90056,V3,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.52,27.14,0.21,0.87,0.46,0.17
Varari,-17.54012598,-149.90056,V3,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.52,27.27,0.19,1.26,0.56,0.46
Varari,-17.54024902,-149.900454,V4,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.46,27.82,0.21,0.84,0.4,0.32
Varari,-17.54024902,-149.900454,V4,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.49,27.1,0.22,0.85,0.42,0.3
Varari,-17.54024902,-149.900454,V4,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.4,28.4,0.24,3.01,0.65,0.5
Varari,-17.54024902,-149.900454,V4,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.46,27.27,0.21,0.85,0.29,0.02
