TrisCalDate,TTris,mVTris,HOBO_Orion,Serial
3/20/22,16.51,-90.7,Orion,NA
3/20/22,17.85,-89.7,Orion,NA
3/20/22,18.90,-88.4,Orion,NA
3/20/22,19.89,-87,Orion,NA
3/20/22,21.59,-84.8,Orion,NA
3/20/22,22.26,-83.8,Orion,NA
3/20/22,23.23,-82.5,Orion,NA
3/29/22,22.76,-80.7,Orion,NA
3/29/22,23.78,-79.7,Orion,NA
3/29/22,24.83,-78.6,Orion,NA
3/29/22,26.14,-76.8,Orion,NA
3/29/22,31.84,-68.4,Orion,NA
4/4/22,23.24,-96.96,HOBO,196
4/4/22,23.89,-96.2,HOBO,196
4/4/22,24.57,-94.99,HOBO,196
4/4/22,25.08,-94.39,HOBO,196
4/4/22,28.01,-90.61,HOBO,196
4/4/22,29.00,-89.71,HOBO,196
4/4/22,30.00,-88.13,HOBO,196
4/4/22,31.02,-86.6,HOBO,196
4/4/22,32.01,-85.27,HOBO,196
4/4/22,33.02,-83.69,HOBO,196
4/4/22,35.01,-79.94,HOBO,197
4/4/22,34.01,-82.35,HOBO,197
4/4/22,33.02,-84.03,HOBO,197
4/4/22,32.01,-85.85,HOBO,197
4/4/22,31.02,-87.27,HOBO,197
4/4/22,30,-88.63,HOBO,197
4/4/22,29,-90,HOBO,197
4/4/22,28.01,-91.16,HOBO,197
4/4/22,27,-92.39,HOBO,197
4/4/22,26,-93.85,HOBO,197
4/4/22,25,-95.91,HOBO,197
4/4/22,24.01,-96.69,HOBO,197
4/4/22,23.32,-98.6,HOBO,197
,,,,
