Date,CowTagID,SeepCode,Tide,Day_Night,SamplingTime,Salinity,pH,TempInSitu,TA,NN_umolL,Silicate_umolL,Ammonia_umolL,Phosphate_umolL,Notes
2022-03-21,VSEEP,A,Mid,Night,05:00:00,36.14,7.8661953054164115,28.06,2400.851448,1.167942082,13.57040172,0.968492842,0.383899929,NA
2022-03-21,VSEEP,B,Low,Day,08:00:00,16.89,7.119799140385449,27.08,3307.054725,14.47512447,401.7660016,1.516705395,2.347925434,NA
2022-03-21,V1,NA,Low,Day,08:00:00,36.64,7.904822909610202,28.53,2357.33632,0.499259483,1.323530762,0.828499422,0.157620727,NA
2022-03-21,V2,NA,Low,Day,08:00:00,36.54,7.9252367683307146,28.6,2350.56917,0.342611639,1.782810054,0.583375924,0.157527914,NA
2022-03-21,V3,NA,Low,Day,08:00:00,36.43,7.917425625901645,28.66,2354.77823,0.287992195,3.033281857,0.411099409,0.155996492,NA
2022-03-21,V4,NA,Low,Day,08:00:00,36.57,7.961419448531052,28.73,2353.46016,0.198672279,1.174706274,0.408759185,0.135763159,NA
2022-03-21,V5,NA,Low,Day,08:00:00,36.57,7.9515068156731035,28.73,2349.12491,0.183710517,1.111715444,0.421300387,0.142770574,NA
2022-03-21,V6,NA,Low,Day,08:00:00,36.43,7.9162285413102795,28.51,2405.71887,0.534681004,3.862199646,0.298948658,0.18040643,NA
2022-03-21,V7,NA,Low,Day,08:00:00,36.32,7.913070487026856,28.72,2357.65494,0.479520773,5.850910131,0.224841554,0.166391599,NA
2022-03-21,V8,NA,Low,Day,08:00:00,36.57,7.930211620385833,28.77,2346.99021,0.264828503,2.253510761,0.342932874,0.158502455,used V18 TempInSitu
2022-03-21,V9,NA,Low,Day,08:00:00,36.52,7.93202266004098,28.86,2345.93894,0.218591251,1.136980996,0.264385345,0.145879825,NA
2022-03-21,V10,NA,Low,Day,08:00:00,36.61,7.946069500813496,28.93,2342.2794,0.148829783,1.068798615,0.28052689200000003,0.142028067,NA
2022-03-21,V11,NA,Low,Day,08:00:00,36.59,7.946833198871749,28.63,2339.92433,0.540719787,1.067414201,0.294148198,0.152887241,NA
2022-03-21,V12,NA,Low,Day,08:00:00,36.5,7.955646476205496,28.72,2339.26347,0.156400795,1.077105098,0.216320737,0.140682272,NA
2022-03-21,V13,NA,Low,Day,08:00:00,36.38,7.932415829182265,28.76,2338.52036,0.288713243,1.359525522,1.689881996,0.148014535,NA
2022-03-21,V14,NA,Low,Day,08:00:00,36.51,7.915014660600744,28.62,2354.98,0.174607276,2.995210477,0.236122635,0.150984565,2354.398
2022-03-21,V15,NA,Low,Day,08:00:00,36.58,7.937086860496725,28.72,2337.6736,0.235175373,1.619795324,0.180377291,0.154511476,NA
2022-03-21,V16,NA,Low,Day,08:00:00,36.59,7.969967911440918,28.83,2343.51614,0.087811031,1.469932526,0.387457142,0.149545957,NA
2022-03-21,V17,NA,Low,Day,08:00:00,36.55,7.921680295036358,28.46,2351.13,0.212372205,2.499244218,0.229522002,0.141331966,2342.068
2022-03-21,V18,NA,Low,Day,08:00:00,36.58,7.934220317717556,28.77,2329.31,0.163340889,1.228006207,0.20497965,0.14680796,2333.762
2022-03-21,V19,NA,Low,Day,08:00:00,36.61,7.9650458410996805,28.76,2339.42731,0.102682662,1.185435481,0.950458716,0.128245269,NA
2022-03-21,V20,NA,Low,Day,08:00:00,36.61,7.930857651646049,28.62,2323.8225,0.193354544,1.495544182,0.198319011,0.148710635,used V14 TempInSitu
2022-03-21,VSEEP,C,Mid,Day,11:00:00,35.9,7.979474826636599,29.59,2378.216542,1.06687617,12.01880453,0.41918427,0.267007267,NA
2022-03-21,VSEEP,D,High,Day,14:00:00,36.45,8.019435671518288,29.37,2338.527293,0.353787894,4.051172135,0.244163406,0.16495299,Overcast
2022-03-21,V1,NA,High,Day,14:00:00,36.6,8.033556118392447,29.3,2333.14574,0.154868566,1.232851655,0.230482094,0.143281048,Overcast
2022-03-21,V2,NA,High,Day,14:00:00,36.57,8.039916817974959,29.32,2335.686567,0.342431376,1.036264889,0.226041669,0.147550467,Overcast
2022-03-21,V3,NA,High,Day,14:00:00,36.57,8.046582442335957,29.31,2338.368209,0.17487767,0.940740334,0.223401416,0.112838235,Overcast
2022-03-21,V4,NA,High,Day,14:00:00,36.55,8.05021091697143,29.33,2346.684173,0.184071041,0.853522262,0.328291471,0.128152455,Overcast
2022-03-21,V5,NA,High,Day,14:00:00,36.58,8.047674164660059,29.37,2321.775911,0.255725262,0.891247539,0.252924246,0.116086706,Overcast
2022-03-21,V6,NA,High,Day,14:00:00,36.58,8.030438955976145,29.29,2335.810823,0.134498939,1.678632912,0.237622779,0.141610406,Overcast
2022-03-21,V7,NA,High,Day,14:00:00,36.58,8.024370259620593,29.48,2332.53922,0.168388231,2.091534341,0.179777234,0.148432195,Overcast
2022-03-21,V8,NA,High,Day,14:00:00,36.56,8.031922299916777,29.43,2329.224197,0.256085787,1.411441041,0.170716365,0.145415758,"Overcast, used V18 TempInSitu"
2022-03-21,V9,NA,High,Day,14:00:00,36.6,8.035633837371513,29.45,2330.358812,0.163160627,1.126597893,0.167896095,0.131586553,Overcast
2022-03-21,V10,NA,High,Day,14:00:00,36.56,8.041790621002262,29.51,2329.516085,0.073660449,1.241850345,0.334172034,0.132885942,Overcast
2022-03-21,V11,NA,High,Day,14:00:00,36.58,8.042885776740297,29.3,2316.6125,0.122511503,0.977081198,0.161655497,0.130612012,Overcast
2022-03-21,V12,NA,High,Day,14:00:00,36.58,8.04805275096319,29.38,2331.692517,0.111785903,0.909244919,0.236962716,0.131215299,Overcast
2022-03-21,V13,NA,High,Day,14:00:00,36.6,8.034910979849021,29.43,2329.262897,0.198672279,1.410056627,0.300688825,0.134742211,Overcast
2022-03-21,V14,NA,High,Day,14:00:00,36.5,8.015432502569347,29.4,2322.19,0.181276977,3.126037585,0.236602681,0.143002608,2329.516
2022-03-21,V15,NA,High,Day,14:00:00,36.56,8.036101701175365,29.4,2325.725545,0.1682981,1.035918786,0.194538649,0.148246568,Overcast
2022-03-21,V16,NA,High,Day,14:00:00,36.55,8.052399017576992,29.36,2329.885978,0.130262777,0.828602813,0.235582583,0.127456354,Overcast
