"Plot Title: CT_738_051621"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494738, SEN S/N: 20494738, LBL: <Conduct_Hi>55,000)","Temp, °C (LGR S/N: 20494738, SEN S/N: 20494738, LBL: Temperature)","Specific Conductance, μS/cm (LGR S/N: 20494738)","Salinity, ppt (LGR S/N: 20494738)"
1,05/16/21 08:52:30 AM,0.0,24.22,0.0,0.0123
2,05/16/21 08:53:00 AM,0.0,24.20,0.0,0.0123
3,05/16/21 08:53:30 AM,0.0,24.23,0.0,0.0123
4,05/16/21 08:54:00 AM,0.0,24.25,0.0,0.0123
5,05/16/21 08:54:30 AM,0.0,24.28,0.0,0.0123
6,05/16/21 08:55:00 AM,0.0,24.31,0.0,0.0123
7,05/16/21 08:55:30 AM,0.0,24.32,0.0,0.0123
8,05/16/21 08:56:00 AM,0.0,24.34,0.0,0.0123
9,05/16/21 08:56:30 AM,0.0,24.36,0.0,0.0123
10,05/16/21 08:57:00 AM,0.0,24.36,0.0,0.0123
11,05/16/21 08:57:30 AM,0.0,24.37,0.0,0.0123
12,05/16/21 08:58:00 AM,0.0,24.36,0.0,0.0123
13,05/16/21 08:58:30 AM,0.0,24.36,0.0,0.0123
14,05/16/21 08:59:00 AM,0.0,24.34,0.0,0.0123
15,05/16/21 08:59:30 AM,0.0,24.35,0.0,0.0123
16,05/16/21 09:00:00 AM,0.0,24.37,0.0,0.0123
17,05/16/21 09:00:30 AM,0.0,24.39,0.0,0.0123
18,05/16/21 09:01:00 AM,0.0,24.39,0.0,0.0123
19,05/16/21 09:01:30 AM,0.0,24.39,0.0,0.0123
20,05/16/21 09:02:00 AM,0.0,24.39,0.0,0.0123
21,05/16/21 09:02:30 AM,0.0,24.39,0.0,0.0123
22,05/16/21 09:03:00 AM,0.0,24.37,0.0,0.0123
23,05/16/21 09:03:30 AM,0.0,24.37,0.0,0.0123
24,05/16/21 09:04:00 AM,0.0,24.37,0.0,0.0123
25,05/16/21 09:04:30 AM,0.0,24.37,0.0,0.0123
26,05/16/21 09:05:00 AM,0.0,24.37,0.0,0.0123
27,05/16/21 09:05:30 AM,0.0,24.37,0.0,0.0123
28,05/16/21 09:06:00 AM,0.0,24.36,0.0,0.0123
29,05/16/21 09:06:30 AM,0.0,24.36,0.0,0.0123
30,05/16/21 09:07:00 AM,0.0,24.37,0.0,0.0123
31,05/16/21 09:07:30 AM,0.0,24.37,0.0,0.0123
32,05/16/21 09:08:00 AM,0.0,24.36,0.0,0.0123
33,05/16/21 09:08:30 AM,0.0,24.37,0.0,0.0123
34,05/16/21 09:09:00 AM,0.0,24.35,0.0,0.0123
35,05/16/21 09:09:30 AM,0.0,24.35,0.0,0.0123
36,05/16/21 09:10:00 AM,0.0,24.33,0.0,0.0123
37,05/16/21 09:10:30 AM,0.0,24.33,0.0,0.0123
38,05/16/21 09:11:00 AM,0.0,24.31,0.0,0.0123
39,05/16/21 09:11:30 AM,0.0,24.29,0.0,0.0123
40,05/16/21 09:12:00 AM,0.0,24.31,0.0,0.0123
41,05/16/21 09:12:30 AM,0.0,24.33,0.0,0.0123
42,05/16/21 09:13:00 AM,0.0,24.33,0.0,0.0123
43,05/16/21 09:13:30 AM,0.0,24.33,0.0,0.0123
44,05/16/21 09:14:00 AM,0.0,24.32,0.0,0.0123
45,05/16/21 09:14:30 AM,0.0,24.31,0.0,0.0123
46,05/16/21 09:15:00 AM,0.0,24.32,0.0,0.0123
47,05/16/21 09:15:30 AM,0.0,24.33,0.0,0.0123
48,05/16/21 09:16:00 AM,0.0,24.33,0.0,0.0123
49,05/16/21 09:16:30 AM,0.0,24.33,0.0,0.0123
50,05/16/21 09:17:00 AM,0.0,24.33,0.0,0.0123
51,05/16/21 09:17:30 AM,0.0,24.32,0.0,0.0123
52,05/16/21 09:18:00 AM,0.0,24.32,0.0,0.0123
53,05/16/21 09:18:30 AM,0.0,24.32,0.0,0.0123
54,05/16/21 09:19:00 AM,0.0,24.31,0.0,0.0123
55,05/16/21 09:19:30 AM,0.0,24.29,0.0,0.0123
56,05/16/21 09:20:00 AM,0.0,24.29,0.0,0.0123
57,05/16/21 09:20:30 AM,0.0,24.31,0.0,0.0123
58,05/16/21 09:21:00 AM,0.0,24.29,0.0,0.0123
59,05/16/21 09:21:30 AM,0.0,24.31,0.0,0.0123
60,05/16/21 09:22:00 AM,0.0,24.29,0.0,0.0123
61,05/16/21 09:22:30 AM,0.0,24.29,0.0,0.0123
62,05/16/21 09:23:00 AM,0.0,24.28,0.0,0.0123
