date,E_Conductivity,TempInSitu,Serial,Sp_Conductance,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,Sp_Conductance.corrected,drift.correction,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2021-01-18T06:32:00Z,35929.3,23.78,331,50135.932401787395,NA,NA,NA,NA,0,50135.932401787395,NA,50.13593240178739,33.73882450877312
2021-01-18T06:33:00Z,35889.5,23.78,331,50080.39527444032,NA,NA,NA,NA,0,50080.39527444032,NA,50.08039527444032,33.696877558058404
2021-01-18T06:34:00Z,35866.3,23.77,331,50048.0218735747,NA,NA,NA,NA,0,50048.0218735747,NA,50.0480218735747,33.68001028417662
2021-01-18T06:35:00Z,35810.1,23.77,331,49969.60010078812,NA,NA,NA,NA,0,49969.60010078812,NA,49.96960010078812,33.620785581094545
2021-01-18T06:36:00Z,35773.8,23.77,331,49918.9468916751,NA,NA,NA,NA,0,49918.9468916751,NA,49.9189468916751,33.58254054404572
2021-01-18T06:37:00Z,35780.4,23.75,331,49928.15656605928,NA,NA,NA,NA,0,49928.15656605928,NA,49.928156566059286,33.604621293487035
2021-01-18T06:38:00Z,35773.8,23.75,331,49918.9468916751,NA,NA,NA,NA,0,49918.9468916751,NA,49.9189468916751,33.59766494474852
2021-01-20T13:02:00Z,36022.6,23.31,331,50266.12370785477,NA,NA,NA,NA,0,50080.63116436863,NA,50.080631164368626,34.05668960684187
2021-01-20T13:03:00Z,35975.9,23.25,331,50200.9582845606,NA,NA,NA,NA,0,50015.465741074455,NA,50.01546574107446,34.05324120277617
2021-01-20T13:04:00Z,35929.3,23.2,331,50135.932401787395,NA,NA,NA,NA,0,49950.43985830125,NA,49.95043985830125,34.04214684593318
2021-01-20T13:05:00Z,35949.3,23.18,331,50163.840505981905,NA,NA,NA,NA,0,49978.34796249576,NA,49.97834796249576,34.07897226590298
2021-01-20T13:06:00Z,35959.2,23.16,331,50177.65501755818,NA,NA,NA,NA,0,49992.162474072036,NA,49.99216247407204,34.10503649491943
2021-01-20T13:07:00Z,35952.6,23.15,331,50168.445343174,NA,NA,NA,NA,0,49982.95279968785,NA,49.98295279968785,34.10572976488683
2021-01-18T11:20:00Z,40584.7,30.3,331,56632.10181514309,107.373,29.552,0.57,877,1.07373,56632.03729599753,-0.0645191455603977,56.63203729599753,33.627851976053776
2021-01-18T11:21:00Z,40494.1,30.31,331,56505.678103141974,106.777,29.552,0.511,877,1.06777,56505.54906485086,-0.1290382911207954,56.50554906485086,33.53643766731677
2021-01-18T11:22:00Z,40514.6,30.34,331,56534.28390994135,106.975,29.552,0.531,877,1.06975,56534.09035250467,-0.1935574366811931,56.53409035250467,33.53482780493561
2021-01-18T11:23:00Z,40473.6,30.34,331,56477.0722963426,106.506,29.552,0.484,877,1.0650600000000001,56476.81421976036,-0.2580765822415908,56.476814219760364,33.49659527492196
2021-01-18T11:24:00Z,40457.1,30.32,331,56454.04811038213,106.398,29.552,0.473,877,1.06398,56453.725514654325,-0.32259572780198853,56.45372551465432,33.494943012028244
2021-01-18T11:25:00Z,40465.3,30.38,331,56465.490433101884,107.355,29.552,0.569,877,1.07355,56465.103318228525,-0.3871148733623862,56.46510331822853,33.4612826788234
