date,E_Conductivity,TempInSitu,Serial,E_Conductivity.corrected,drift.correction,Sp_Conductance,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2021-01-17T08:23:00Z,44910.6,23.68,338,44910.6,NA,50489.94037072679,NA,NA,NA,NA,NA,50.48994037072679,NA
2021-01-17T08:24:00Z,44457.8,23.68,338,44457.8,NA,49980.888053459494,NA,NA,NA,NA,NA,49.980888053459495,NA
2021-01-17T08:25:00Z,44538.5,23.69,338,44538.5,NA,50071.61358791945,NA,NA,NA,NA,NA,50.07161358791945,NA
2021-01-17T08:26:00Z,44438.6,23.7,338,44438.6,NA,49959.302796190204,NA,NA,NA,NA,NA,49.95930279619021,NA
2021-01-17T08:27:00Z,44519.3,23.7,338,44519.3,NA,50050.02833065017,NA,NA,NA,NA,NA,50.05002833065017,NA
2021-01-17T08:28:00Z,44457.8,23.7,338,44457.8,NA,49980.888053459494,NA,NA,NA,NA,NA,49.980888053459495,NA
2021-01-17T08:29:00Z,44427.1,23.7,338,44427.1,NA,49946.374126471615,NA,NA,NA,NA,NA,49.94637412647162,NA
2021-01-17T08:30:00Z,44385,23.7,338,44385,NA,49899.043952980115,NA,NA,NA,NA,NA,49.899043952980115,NA
2021-01-17T08:31:00Z,44346.7,23.72,338,44346.7,NA,49855.98586165649,NA,NA,NA,NA,NA,49.85598586165649,NA
2021-01-17T08:32:00Z,44266.6,23.7,338,44266.6,NA,49765.93486648619,NA,NA,NA,NA,NA,49.76593486648619,NA
2021-01-19T13:38:00Z,33852.4,23.2,338,44407.811111111114,NA,49924.68893745572,NA,NA,NA,NA,NA,49.92468893745572,NA
2021-01-19T13:39:00Z,33896.5,23.14,338,44451.91111111111,NA,49974.26757524611,NA,NA,NA,NA,NA,49.97426757524611,NA
2021-01-19T13:40:00Z,33950.5,23.1,338,44505.91111111111,NA,50034.97611131598,NA,NA,NA,NA,NA,50.03497611131598,NA
2021-01-19T13:41:00Z,33930.8,23.08,338,44486.211111111115,NA,50012.82873797197,NA,NA,NA,NA,NA,50.01282873797197,NA
2021-01-19T13:42:00Z,33921,23.08,338,44476.41111111111,NA,50001.81126290744,NA,NA,NA,NA,NA,50.00181126290744,NA
2021-01-19T13:43:00Z,33938.2,23.08,338,44493.61111111111,NA,50021.148055877835,NA,NA,NA,NA,NA,50.02114805587784,NA
2021-01-19T13:44:00Z,33930.8,23.08,338,44486.211111111115,NA,50012.82873797197,NA,NA,NA,NA,NA,50.01282873797197,NA
2021-01-19T13:45:00Z,33930.8,23.08,338,44486.211111111115,NA,50012.82873797197,NA,NA,NA,NA,NA,50.01282873797197,NA
2021-01-19T13:46:00Z,33923.5,23.08,338,44478.91111111111,NA,50004.62184328104,NA,NA,NA,NA,NA,50.00462184328104,NA
2021-01-17T11:14:00Z,46381.5,28.77,338,46385.24970199329,3.7497019932899156,52147.788974872616,109.728,29.452,0.828,872,1.09728,52.14778897487262,31.639744303579892
2021-01-17T11:15:00Z,43227.9,28.86,338,43235.39940398658,7.499403986579831,48606.62600392422,109.711,29.452,0.826,872,1.09711,48.60662600392422,29.188880014126067
2021-01-17T11:16:00Z,41668.3,28.94,338,41679.54910597987,11.249105979869746,46857.48907918627,109.695,29.452,0.824,872,1.0969499999999999,46.85748907918627,27.97144015243081
2021-01-17T11:17:00Z,39910.1,28.96,338,39925.09880797316,14.998807973159662,44885.079649569154,109.906,29.452,0.845,872,1.0990600000000001,44.88507964956916,26.650757902451257
2021-01-17T11:18:00Z,38555.2,28.84,338,38573.948509966445,18.74850996644958,43366.073045821955,109.563,29.352,0.811,872,1.09563,43.366073045821956,25.712886272042905
2021-01-17T11:19:00Z,38278.4,28.84,338,38300.89821195974,22.498211959739493,43059.10112238812,109.773,29.352,0.832,872,1.09773,43.05910112238812,25.510516433749586
2021-01-17T11:20:00Z,37571.8,28.86,338,37598.04791395303,26.24791395302941,42268.93422112413,109.66,29.352,0.821,872,1.0966,42.268934221124134,24.980202319258666
2021-01-17T11:21:00Z,37542.8,28.9,338,37572.79761594632,29.997615946319325,42240.547024322,109.711,29.452,0.826,872,1.09711,42.240547024322,24.940780146146004
2021-01-17T11:22:00Z,37508.1,29.18,338,37541.84731793961,33.74731793960924,42205.75170426805,109.452,29.452,0.8,872,1.09452,42.205751704268046,24.773444340722545
2021-01-17T11:23:00Z,37252.3,28.92,338,37289.7970199329,37.49701993289916,41922.388655972485,109.646,29.452,0.819,872,1.09646,41.92238865597248,24.721848303518243
2021-01-17T11:24:00Z,37436,29.14,338,37477.24672192619,41.246721926189075,42133.12563735665,109.614,29.452,0.816,872,1.0961400000000001,42.13312563735665,24.74660070318125
2021-01-17T11:25:00Z,37796.2,28.9,338,37841.19642391948,44.996423919478985,42542.28959311731,109.482,29.352,0.803,872,1.0948200000000001,42.54228959311731,25.138874864041462
