Serial Number:20555869 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2021-08-12 09:00:00,29.26,2, , , , 
2021-08-12 09:01:00,29.13,14, , , , 
2021-08-12 09:02:00,29.00,8, , , , 
2021-08-12 09:03:00,28.91,11, , , , 
2021-08-12 09:04:00,28.74,2, , , , 
2021-08-12 09:05:00,28.65,3, , , , 
2021-08-12 09:06:00,28.48,2, , , , 
2021-08-12 09:07:00,28.44,7, , , , 
2021-08-12 09:08:00,28.31,2, , , , 
2021-08-12 09:09:00,28.27,2, , , , 
2021-08-12 09:10:00,28.14,2, , , , 
2021-08-12 09:11:00,28.10,5, , , , 
2021-08-12 09:12:00,28.01,2, , , , 
2021-08-12 09:13:00,27.93,20, , , , 
2021-08-12 09:14:00,27.84,2, , , , 
2021-08-12 09:15:00,27.80,2, , , , 
2021-08-12 09:16:00,27.75,2, , , , 
2021-08-12 09:17:00,27.63,2, , , , 
2021-08-12 09:18:00,27.58,5, , , , 
2021-08-12 09:19:00,27.58,2, , , , 
2021-08-12 09:20:00,27.54,2, , , , 
2021-08-12 09:21:00,27.45,5, , , , 
2021-08-12 09:22:00,27.45,6, , , , 
2021-08-12 09:23:00,27.45,2, , , , 
2021-08-12 09:24:00,27.41,196, , , , 
2021-08-12 09:25:00,27.32,"1,456", , , , 
2021-08-12 09:26:00,27.37,"1,396", , , , 
2021-08-12 09:27:00,27.24,"1,556", , , , 
2021-08-12 09:28:00,27.24,"5,944", , , , 
2021-08-12 09:29:00,27.11,"6,001", , , , 
2021-08-12 09:30:00,27.07,"6,226", , , , 
2021-08-12 09:31:00,27.58,"1,564", , , , 
2021-08-12 09:32:00,27.93,"5,801", , , , 
2021-08-12 09:33:00,28.70,"9,684", , , , 
2021-08-12 09:34:00,30.07,"25,498", , , , 
2021-08-12 09:35:00,31.70,"53,719", , , , 
2021-08-12 09:36:00,31.66,656, , , , 
2021-08-12 09:37:00,31.92,"5,097", , , , 
2021-08-12 09:38:00,32.43,575, , , , 
2021-08-12 09:39:00,32.77,"7,754", , , , 
2021-08-12 09:40:00,33.12,984, , , , 
2021-08-12 09:41:00,33.55,"3,718", , , , 
2021-08-12 09:42:00,33.93,"3,629", , , , 
2021-08-12 09:43:00,34.15,"3,670", , , , 
2021-08-12 09:44:00,34.53,"17,188", , , , 
2021-08-12 09:45:00,33.16,"8,717", , , , 
2021-08-12 09:46:00,31.83,"10,941", , , , 
2021-08-12 09:47:00,31.57,"6,799", , , , 
2021-08-12 09:48:00,31.83,"18,417", , , , 
2021-08-12 09:49:00,30.50,"39,444", , , , 
2021-08-12 09:50:00,30.11,"87,695", , , , 
2021-08-12 09:51:00,29.81,"63,304", , , , 
2021-08-12 09:52:00,29.60,"48,517", , , , 
2021-08-12 09:53:00,29.47,"65,004", , , , 
2021-08-12 09:54:00,29.38,"60,867", , , , 
2021-08-12 09:55:00,29.30,"62,689", , , , 
2021-08-12 09:56:00,29.26,"78,725", , , , 
2021-08-12 09:57:00,29.21,"58,020", , , , 
2021-08-12 09:58:00,29.21,"47,124", , , , 
2021-08-12 09:59:00,29.21,"60,109", , , , 
2021-08-12 10:00:00,29.17,"49,172", , , , 
2021-08-12 10:01:00,29.21,"56,136", , , , 
2021-08-12 10:02:00,29.21,"67,891", , , , 
2021-08-12 10:03:00,29.21,"55,194", , , , 
2021-08-12 10:04:00,29.21,"51,364", , , , 
2021-08-12 10:05:00,29.26,"56,300", , , , 
2021-08-12 10:06:00,29.26,"59,249", , , , 
2021-08-12 10:07:00,29.26,"52,265", , , , 
2021-08-12 10:08:00,29.34,"44,155", , , , 
2021-08-12 10:09:00,29.08,"61,338", , , , 
2021-08-12 10:10:00,29.30,"63,980", , , , 
2021-08-12 10:11:00,29.30,"50,729", , , , 
2021-08-12 10:12:00,29.38,"72,888", , , , 
2021-08-12 10:13:00,29.38,"55,439", , , , 
2021-08-12 10:14:00,29.43,"56,054", , , , 
2021-08-12 10:15:00,29.43,"52,613", , , , 
2021-08-12 10:16:00,29.43,"64,717", , , , 
2021-08-12 10:17:00,29.47,"71,762", , , , 
2021-08-12 10:18:00,29.56,"63,160", , , , 
2021-08-12 10:19:00,29.51,"76,288", , , , 
2021-08-12 10:20:00,29.51,"72,663", , , , 
2021-08-12 10:21:00,29.47,"56,893", , , , 
2021-08-12 10:22:00,29.51,"72,397", , , , 
2021-08-12 10:23:00,29.51,"57,815", , , , 
2021-08-12 10:24:00,29.56,"85,565", , , , 
2021-08-12 10:25:00,29.51,"89,211", , , , 
2021-08-12 10:26:00,29.56,"49,562", , , , 
2021-08-12 10:27:00,29.64,"63,304", , , , 
2021-08-12 10:28:00,29.64,"73,421", , , , 
2021-08-12 10:29:00,29.68,"120,504", , , , 
2021-08-12 10:30:00,29.77,"69,284", , , , 
2021-08-12 10:31:00,29.73,"62,259", , , , 
2021-08-12 10:32:00,29.68,"56,730", , , , 
2021-08-12 10:33:00,29.68,"65,454", , , , 
2021-08-12 10:34:00,29.73,"73,974", , , , 
2021-08-12 10:35:00,29.77,"90,276", , , , 
2021-08-12 10:36:00,29.73,"59,392", , , , 
2021-08-12 10:37:00,29.77,"66,314", , , , 
2021-08-12 10:38:00,29.77,"47,309", , , , 
2021-08-12 10:39:00,29.77,"55,788", , , , 
2021-08-12 10:40:00,29.86,"66,355", , , , 
2021-08-12 10:41:00,29.86,"75,366", , , , 
2021-08-12 10:42:00,29.90,"66,662", , , , 
2021-08-12 10:43:00,29.86,"65,618", , , , 
2021-08-12 10:44:00,29.86,"62,956", , , , 
2021-08-12 10:45:00,29.90,"71,188", , , , 
2021-08-12 10:46:00,29.90,"51,220", , , , 
2021-08-12 10:47:00,29.94,"65,802", , , , 
2021-08-12 10:48:00,29.94,"58,491", , , , 
2021-08-12 10:49:00,29.98,"72,786", , , , 
2021-08-12 10:50:00,30.07,"82,842", , , , 
2021-08-12 10:51:00,30.16,"61,747", , , , 
2021-08-12 10:52:00,30.11,"90,644", , , , 
2021-08-12 10:53:00,30.07,"76,841", , , , 
2021-08-12 10:54:00,30.07,"63,693", , , , 
2021-08-12 10:55:00,30.07,"69,980", , , , 
2021-08-12 10:56:00,30.07,"54,354", , , , 
2021-08-12 10:57:00,30.16,"75,674", , , , 
2021-08-12 10:58:00,30.20,"86,344", , , , 
2021-08-12 10:59:00,30.16,"114,483", , , , 
2021-08-12 11:00:00,30.20,"54,866", , , , 
2021-08-12 11:01:00,30.20,"99,860", , , , 
2021-08-12 11:02:00,30.20,"52,838", , , , 
2021-08-12 11:03:00,30.16,"71,107", , , , 
2021-08-12 11:04:00,30.20,"69,980", , , , 
2021-08-12 11:05:00,30.24,"69,816", , , , 
2021-08-12 11:06:00,30.24,"85,238", , , , 
2021-08-12 11:07:00,30.20,"74,260", , , , 
2021-08-12 11:08:00,30.28,"76,390", , , , 
2021-08-12 11:09:00,30.28,"55,255", , , , 
2021-08-12 11:10:00,30.33,"96,461", , , , 
2021-08-12 11:11:00,30.33,"72,090", , , , 
2021-08-12 11:12:00,30.33,"66,580", , , , 
2021-08-12 11:13:00,30.41,"89,006", , , , 
2021-08-12 11:14:00,30.41,"58,388", , , , 
2021-08-12 11:15:00,30.41,"60,170", , , , 
2021-08-12 11:16:00,30.50,"87,695", , , , 
2021-08-12 11:17:00,30.46,"76,698", , , , 
2021-08-12 11:18:00,30.50,"68,383", , , , 
2021-08-12 11:19:00,30.46,"71,782", , , , 
2021-08-12 11:20:00,30.50,"56,156", , , , 
2021-08-12 11:21:00,30.50,"69,120", , , , 
2021-08-12 11:22:00,30.50,"76,472", , , , 
2021-08-12 11:23:00,30.50,"72,745", , , , 
2021-08-12 11:24:00,30.50,"62,444", , , , 
2021-08-12 11:25:00,30.54,"63,508", , , , 
2021-08-12 11:26:00,30.50,"76,411", , , , 
2021-08-12 11:27:00,30.54,"69,222", , , , 
2021-08-12 11:28:00,30.59,"62,464", , , , 
2021-08-12 11:29:00,30.59,"64,983", , , , 
2021-08-12 11:30:00,30.63,"67,830", , , , 
2021-08-12 11:31:00,30.63,"71,619", , , , 
2021-08-12 11:32:00,30.59,"93,430", , , , 
2021-08-12 11:33:00,30.63,"91,791", , , , 
2021-08-12 11:34:00,30.28,"91,914", , , , 
2021-08-12 11:35:00,30.59,"72,745", , , , 
2021-08-12 11:36:00,30.71,"56,340", , , , 
2021-08-12 11:37:00,30.80,"86,753", , , , 
2021-08-12 11:38:00,30.89,"79,749", , , , 
