Serial Number:20555866 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2021-08-12 09:00:00,29.64,"5,448", , , , 
2021-08-12 09:01:00,29.30,"4,513", , , , 
2021-08-12 09:02:00,29.08,"1,105", , , , 
2021-08-12 09:03:00,29.34,953, , , , 
2021-08-12 09:04:00,30.20,"9,736", , , , 
2021-08-12 09:05:00,30.63,"15,683", , , , 
2021-08-12 09:06:00,29.98,94, , , , 
2021-08-12 09:07:00,31.61,"71,721", , , , 
2021-08-12 09:08:00,33.85,"77,640", , , , 
2021-08-12 09:09:00,35.18,"71,803", , , , 
2021-08-12 09:10:00,36.33,"29,092", , , , 
2021-08-12 09:11:00,36.08,"5,857", , , , 
2021-08-12 09:12:00,36.93,"34,294", , , , 
2021-08-12 09:13:00,37.96,"6,175", , , , 
2021-08-12 09:14:00,35.73,"18,017", , , , 
2021-08-12 09:15:00,32.82,"18,319", , , , 
2021-08-12 09:16:00,30.89,"10,716", , , , 
2021-08-12 09:17:00,30.59,"21,821", , , , 
2021-08-12 09:18:00,29.17,"13,430", , , , 
2021-08-12 09:19:00,28.78,"25,416", , , , 
2021-08-12 09:20:00,28.61,"31,662", , , , 
2021-08-12 09:21:00,28.23,"26,102", , , , 
2021-08-12 09:22:00,28.10,"26,819", , , , 
2021-08-12 09:23:00,28.05,"26,665", , , , 
2021-08-12 09:24:00,28.05,"27,361", , , , 
2021-08-12 09:25:00,27.97,"29,092", , , , 
2021-08-12 09:26:00,27.97,"29,307", , , , 
2021-08-12 09:27:00,27.88,"26,348", , , , 
2021-08-12 09:28:00,27.93,"28,641", , , , 
2021-08-12 09:29:00,27.93,"27,986", , , , 
2021-08-12 09:30:00,27.93,"27,740", , , , 
2021-08-12 09:31:00,27.88,"28,559", , , , 
2021-08-12 09:32:00,27.93,"27,341", , , , 
2021-08-12 09:33:00,27.93,"25,610", , , , 
2021-08-12 09:34:00,27.93,"21,381", , , , 
2021-08-12 09:35:00,27.88,"28,754", , , , 
2021-08-12 09:36:00,27.97,"29,194", , , , 
2021-08-12 09:37:00,27.93,"25,231", , , , 
2021-08-12 09:38:00,28.01,"27,587", , , , 
2021-08-12 09:39:00,28.05,"28,273", , , , 
2021-08-12 09:40:00,28.05,"29,665", , , , 
2021-08-12 09:41:00,28.01,"28,948", , , , 
2021-08-12 09:42:00,27.97,"26,245", , , , 
2021-08-12 09:43:00,27.97,"30,403", , , , 
2021-08-12 09:44:00,28.01,"28,652", , , , 
2021-08-12 09:45:00,28.05,"27,269", , , , 
2021-08-12 09:46:00,27.97,"28,099", , , , 
2021-08-12 09:47:00,28.01,"28,160", , , , 
2021-08-12 09:48:00,28.01,"28,570", , , , 
2021-08-12 09:49:00,28.01,"27,382", , , , 
2021-08-12 09:50:00,28.05,"32,010", , , , 
2021-08-12 09:51:00,28.05,"28,682", , , , 
2021-08-12 09:52:00,28.10,"29,082", , , , 
2021-08-12 09:53:00,28.10,"29,153", , , , 
2021-08-12 09:54:00,28.05,"32,788", , , , 
2021-08-12 09:55:00,28.05,"29,542", , , , 
2021-08-12 09:56:00,28.14,"29,215", , , , 
2021-08-12 09:57:00,28.14,"31,201", , , , 
2021-08-12 09:58:00,28.14,"28,611", , , , 
2021-08-12 09:59:00,28.14,"29,809", , , , 
2021-08-12 10:00:00,28.18,"28,447", , , , 
2021-08-12 10:01:00,28.18,"28,764", , , , 
2021-08-12 10:02:00,28.14,"30,106", , , , 
2021-08-12 10:03:00,28.14,"28,764", , , , 
2021-08-12 10:04:00,28.10,"29,245", , , , 
2021-08-12 10:05:00,28.14,"29,276", , , , 
2021-08-12 10:06:00,28.14,"30,024", , , , 
2021-08-12 10:07:00,28.14,"28,938", , , , 
2021-08-12 10:08:00,28.14,"31,293", , , , 
2021-08-12 10:09:00,28.01,"19,354", , , , 
2021-08-12 10:10:00,27.97,"29,481", , , , 
2021-08-12 10:11:00,28.14,"30,413", , , , 
2021-08-12 10:12:00,28.18,"29,860", , , , 
2021-08-12 10:13:00,28.14,"29,471", , , , 
2021-08-12 10:14:00,28.18,"29,655", , , , 
2021-08-12 10:15:00,28.23,"30,454", , , , 
2021-08-12 10:16:00,28.23,"29,317", , , , 
2021-08-12 10:17:00,28.23,"29,594", , , , 
2021-08-12 10:18:00,28.27,"31,058", , , , 
2021-08-12 10:19:00,28.27,"30,413", , , , 
2021-08-12 10:20:00,28.31,"30,525", , , , 
2021-08-12 10:21:00,28.31,"30,710", , , , 
2021-08-12 10:22:00,28.31,"29,921", , , , 
2021-08-12 10:23:00,28.27,"29,880", , , , 
2021-08-12 10:24:00,28.31,"30,249", , , , 
2021-08-12 10:25:00,28.35,"34,048", , , , 
2021-08-12 10:26:00,28.31,"30,218", , , , 
2021-08-12 10:27:00,28.40,"33,331", , , , 
2021-08-12 10:28:00,28.40,"32,031", , , , 
2021-08-12 10:29:00,28.40,"33,352", , , , 
2021-08-12 10:30:00,28.40,"30,177", , , , 
2021-08-12 10:31:00,28.35,"31,314", , , , 
2021-08-12 10:32:00,28.44,"30,935", , , , 
2021-08-12 10:33:00,28.44,"30,188", , , , 
2021-08-12 10:34:00,28.44,"31,508", , , , 
2021-08-12 10:35:00,28.44,"31,672", , , , 
2021-08-12 10:36:00,28.48,"31,355", , , , 
2021-08-12 10:37:00,28.48,"30,669", , , , 
2021-08-12 10:38:00,28.53,"30,228", , , , 
2021-08-12 10:39:00,28.48,"30,894", , , , 
2021-08-12 10:40:00,28.53,"31,785", , , , 
2021-08-12 10:41:00,28.53,"31,252", , , , 
2021-08-12 10:42:00,28.57,"31,887", , , , 
2021-08-12 10:43:00,28.61,"31,508", , , , 
2021-08-12 10:44:00,28.53,"31,119", , , , 
2021-08-12 10:45:00,28.57,"31,764", , , , 
2021-08-12 10:46:00,28.57,"30,792", , , , 
2021-08-12 10:47:00,28.61,"31,693", , , , 
2021-08-12 10:48:00,28.65,"31,785", , , , 
2021-08-12 10:49:00,28.57,"30,669", , , , 
2021-08-12 10:50:00,28.61,"31,099", , , , 
2021-08-12 10:51:00,28.61,"32,266", , , , 
2021-08-12 10:52:00,28.61,"31,508", , , , 
2021-08-12 10:53:00,28.65,"31,744", , , , 
2021-08-12 10:54:00,28.65,"31,775", , , , 
2021-08-12 10:55:00,28.70,"32,010", , , , 
2021-08-12 10:56:00,28.74,"30,935", , , , 
