Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),
001,03/29/22 06:19, 22, 03, 29, 06, 19,44,4.6,81.8,4.6,0.0,0.0, 2218, 8,27.2, 7, 1,6.24, 50, 134,30.0075000,11.8075600, 255,01,01,0.00,Sniff,67,36,2,0,0,6,7.82,0.440,0.00,0.00,1.30,
002,03/29/22 06:24, 22, 03, 29, 06, 24,103,4.5,83.5,1.0,1.0,0.0, 2218, 8,26.9, 6, 1,6.21, 50, 134,72.8597500,17.4988400, 255,01,02,0.0120,Sniff,164,86,1,1,0,15,19.1,0.229,0.229,0.00,3.32,
003,03/29/22 06:29, 22, 03, 29, 06, 29,120,4.5,88.3,0.0,1.7,0.0, 2218, 8,26.9, 6, 1,6.24, 50, 134,90.2973000,19.3271700, 255,01,03,0.0193,Sniff,203,106,0,2,0,12,23.5,0.00,0.453,0.00,2.67,
004,03/29/22 06:34, 22, 03, 29, 06, 34,152,4.5,82.2,0.0,8.6,0.0, 2218, 8,26.9, 5, 1,6.24, 50, 134,107.0710000,20.9430300, 255,01,04,0.105,Sniff,239,125,0,13,0,14,27.8,0.00,2.90,0.00,3.11,
005,03/29/22 06:39, 22, 03, 29, 06, 39,135,4.5,83.7,2.2,8.9,0.0, 2236, 8,26.9, 5, 1,6.24, 50, 134,96.2603100,19.8945000, 255,01,05,0.106,Sniff,216,113,3,12,0,7,25.1,0.660,2.67,0.00,1.56,
006,03/29/22 06:44, 22, 03, 29, 06, 44,163,4.5,80.4,1.9,11.1,0.0, 2218, 7,26.9, 5, 1,6.21, 50, 134,112.2104000,21.3955700, 255,01,06,0.138,Sniff,251,131,3,18,0,11,29.1,0.688,4.02,0.00,2.39,
007,03/29/22 06:49, 22, 03, 29, 06, 49,174,4.5,77.0,0.6,16.1,0.0, 2218, 8,26.9, 5, 1,6.21, 50, 134,114.7801000,21.6179800, 255,01,07,0.209,Sniff,256,134,1,28,0,11,29.8,0.232,6.23,0.00,2.44,
008,03/29/22 06:54, 22, 03, 29, 06, 54,181,4.5,69.6,0.6,23.2,0.0, 2218, 8,26.6, 5, 1,6.24, 50, 134,108.5271000,21.1359600, 255,01,08,0.333,Sniff,241,126,1,42,0,12,28.0,0.241,9.33,0.00,2.65,
009,03/29/22 06:59, 22, 03, 29, 06, 59,185,4.5,70.8,0.6,21.6,0.0, 2218, 7,26.6, 5, 1,6.24, 50, 134,112.8338000,21.5144200, 255,01,09,0.305,Sniff,250,131,1,40,0,13,29.1,0.247,8.88,0.00,2.88,
010,03/29/22 07:04, 22, 03, 29, 07, 04,190,4.5,67.9,2.1,26.3,0.0, 2218, 8,26.6, 4, 1,6.24, 50, 134,111.1111000,21.3639200, 255,01,10,0.387,Sniff,247,129,4,50,0,7,28.7,0.887,11.1,0.00,1.56,
011,03/29/22 07:09, 22, 03, 29, 07, 09,224,4.4,70.5,1.8,22.3,0.5, 2218, 7,26.6, 4, 1,6.21, 50, 134,135.9837000,23.5754600, 255,01,11,0.316,Sniff,308,158,4,50,1,11,35.9,0.916,11.4,0.255,2.49,
012,03/29/22 07:14, 22, 03, 29, 07, 14,207,4.4,65.2,1.9,29.0,1.0, 2218, 8,26.6, 4, 1,6.24, 50, 134,116.0625000,21.9339200, 255,01,12,0.445,Sniff,260,135,4,60,2,6,30.7,0.894,13.6,0.470,1.36,
013,03/29/22 07:19, 22, 03, 29, 07, 19,226,4.4,64.2,0.9,30.5,0.5, 2218, 8,26.6, 4, 1,6.24, 50, 134,124.7239000,22.6634600, 255,01,13,0.475,Sniff,283,145,2,69,1,9,33.0,0.462,15.7,0.257,2.00,
014,03/29/22 07:24, 22, 03, 29, 07, 24,245,4.4,63.3,0.8,35.1,0.0, 2236, 8,26.6, 4, 1,6.21, 50, 134,135.0057000,23.4996900, 255,01,14,0.555,Sniff,303,155,2,86,0,2,35.2,0.445,19.5,0.00,0.445,
015,03/29/22 07:29, 22, 03, 29, 07, 29,245,4.4,54.3,0.4,42.1,0.4, 2218, 8,26.9, 4, 1,6.24, 50, 134,114.9726000,21.9072100, 255,01,15,0.775,Sniff,259,133,1,103,1,7,30.2,0.223,23.4,0.223,1.56,
016,03/29/22 07:34, 22, 03, 29, 07, 34,215,4.4,52.6,0.9,42.3,0.0, 2218, 8,26.9, 4, 1,6.24, 50, 134,97.8736300,20.2279300, 255,01,16,0.804,Sniff,221,113,2,91,0,9,25.7,0.440,20.7,0.00,2.05,
017,03/29/22 07:39, 22, 03, 29, 07, 39,255,4.4,51.8,0.4,42.0,0.4, 2236, 8,26.9, 4, 1,6.21, 50, 134,114.9726000,21.8318300, 255,01,17,0.811,Sniff,257,132,1,107,1,14,30.0,0.232,24.3,0.232,3.13,
