EasyLog USB,Time,Celsius(°C),Comments,Serial Number
42,3/29/2022 19:53,29.5,,
43,3/29/2022 19:54,29,,
44,3/29/2022 19:55,28.5,,
45,3/29/2022 19:56,25,,
46,3/29/2022 19:57,29.5,,
47,3/29/2022 19:58,30,,
48,3/29/2022 19:59,30,,
49,3/29/2022 20:00,29.5,,
50,3/29/2022 20:01,30,,
51,3/29/2022 20:02,30,,
52,3/29/2022 20:03,30,,
53,3/29/2022 20:04,30,,
54,3/29/2022 20:05,30,,
55,3/29/2022 20:06,30,,
56,3/29/2022 20:07,30,,
57,3/29/2022 20:08,30,,
58,3/29/2022 20:09,30,,
59,3/29/2022 20:10,30,,
60,3/29/2022 20:11,30,,
61,3/29/2022 20:12,30,,
62,3/29/2022 20:13,30,,
63,3/29/2022 20:14,30,,
64,3/29/2022 20:15,30,,
65,3/29/2022 20:16,30,,
66,3/29/2022 20:17,29.5,,
67,3/29/2022 20:18,29.5,,
68,3/29/2022 20:19,30,,
69,3/29/2022 20:20,29.5,,
70,3/29/2022 20:21,30,,
71,3/29/2022 20:22,29.5,,
72,3/29/2022 20:23,29.5,,
73,3/29/2022 20:24,29.5,,
74,3/29/2022 20:25,30,,
75,3/29/2022 20:26,30,,
76,3/29/2022 20:27,30,,
77,3/29/2022 20:28,30,,
78,3/29/2022 20:29,29.5,,
79,3/29/2022 20:30,30,,
80,3/29/2022 20:31,30,,
81,3/29/2022 20:32,30,,
82,3/29/2022 20:33,30,,
83,3/29/2022 20:34,30,,
84,3/29/2022 20:35,30,,
85,3/29/2022 20:36,30,,
86,3/29/2022 20:37,30,,
87,3/29/2022 20:38,29.5,,
88,3/29/2022 20:39,30,,
89,3/29/2022 20:40,30,,
90,3/29/2022 20:41,30,,
91,3/29/2022 20:42,30,,
92,3/29/2022 20:43,30,,
93,3/29/2022 20:44,29.5,,
94,3/29/2022 20:45,30,,
95,3/29/2022 20:46,30,,
96,3/29/2022 20:47,29.5,,
97,3/29/2022 20:48,29.5,,
98,3/29/2022 20:49,29.5,,
99,3/29/2022 20:50,30,,
100,3/29/2022 20:51,30,,
101,3/29/2022 20:52,30,,
102,3/29/2022 20:53,30,,
103,3/29/2022 20:54,29.5,,
104,3/29/2022 20:55,29.5,,
105,3/29/2022 20:56,29.5,,
106,3/29/2022 20:57,30,,
107,3/29/2022 20:58,29.5,,
108,3/29/2022 20:59,29.5,,
109,3/29/2022 21:00,30,,
110,3/29/2022 21:01,30,,
111,3/29/2022 21:02,30,,
112,3/29/2022 21:03,29.5,,
113,3/29/2022 21:04,30,,
114,3/29/2022 21:05,29.5,,
115,3/29/2022 21:06,30,,
116,3/29/2022 21:07,29.5,,
117,3/29/2022 21:08,30,,
118,3/29/2022 21:09,29.5,,
119,3/29/2022 21:10,30,,
120,3/29/2022 21:11,29.5,,
121,3/29/2022 21:12,30,,
122,3/29/2022 21:13,30,,
123,3/29/2022 21:14,30,,
124,3/29/2022 21:15,30,,
125,3/29/2022 21:16,30,,
126,3/29/2022 21:17,30,,
127,3/29/2022 21:18,29.5,,
128,3/29/2022 21:19,30,,
129,3/29/2022 21:20,30,,
130,3/29/2022 21:21,30,,
131,3/29/2022 21:22,30,,
132,3/29/2022 21:23,30,,
133,3/29/2022 21:24,29.5,,
134,3/29/2022 21:25,29.5,,
135,3/29/2022 21:26,30,,
136,3/29/2022 21:27,30,,
137,3/29/2022 21:28,30,,
138,3/29/2022 21:29,30,,
139,3/29/2022 21:30,29.5,,
140,3/29/2022 21:31,29.5,,
141,3/29/2022 21:32,30,,
142,3/29/2022 21:33,30,,
143,3/29/2022 21:34,29.5,,
144,3/29/2022 21:35,30,,
145,3/29/2022 21:36,30,,
146,3/29/2022 21:37,30,,
147,3/29/2022 21:38,29.5,,
148,3/29/2022 21:39,29.5,,
149,3/29/2022 21:40,29.5,,
150,3/29/2022 21:41,29.5,,
151,3/29/2022 21:42,29.5,,
152,3/29/2022 21:43,29.5,,
153,3/29/2022 21:44,29.5,,
154,3/29/2022 21:45,29.5,,
155,3/29/2022 21:46,29.5,,
156,3/29/2022 21:47,29.5,,
157,3/29/2022 21:48,29.5,,
158,3/29/2022 21:49,29.5,,
159,3/29/2022 21:50,29.5,,
160,3/29/2022 21:51,29.5,,
161,3/29/2022 21:52,29.5,,
162,3/29/2022 21:53,29.5,,
163,3/29/2022 21:54,29.5,,
164,3/29/2022 21:55,29.5,,
165,3/29/2022 21:56,29.5,,
166,3/29/2022 21:57,29.5,,
167,3/29/2022 21:58,29.5,,
168,3/29/2022 21:59,29.5,,
169,3/29/2022 22:00,29.5,,
170,3/29/2022 22:01,30,,
171,3/29/2022 22:02,29.5,,
172,3/29/2022 22:03,30,,
173,3/29/2022 22:04,30,,
174,3/29/2022 22:05,30,,
175,3/29/2022 22:06,29.5,,
176,3/29/2022 22:07,29.5,,
177,3/29/2022 22:08,29.5,,
178,3/29/2022 22:09,29.5,,
179,3/29/2022 22:10,29.5,,
180,3/29/2022 22:11,29.5,,
181,3/29/2022 22:12,29.5,,
182,3/29/2022 22:13,29.5,,
183,3/29/2022 22:14,29.5,,
184,3/29/2022 22:15,29.5,,
185,3/29/2022 22:16,29.5,,
186,3/29/2022 22:17,29.5,,
187,3/29/2022 22:18,29.5,,
188,3/29/2022 22:19,29.5,,
189,3/29/2022 22:20,29.5,,
190,3/29/2022 22:21,29.5,,
191,3/29/2022 22:22,29.5,,
192,3/29/2022 22:23,29.5,,
193,3/29/2022 22:24,29.5,,
194,3/29/2022 22:25,29.5,,
195,3/29/2022 22:26,29.5,,
196,3/29/2022 22:27,29.5,,
197,3/29/2022 22:28,29.5,,
198,3/29/2022 22:29,29.5,,
199,3/29/2022 22:30,29.5,,
200,3/29/2022 22:31,29.5,,
201,3/29/2022 22:32,29.5,,
202,3/29/2022 22:33,29.5,,
203,3/29/2022 22:34,29.5,,
204,3/29/2022 22:35,29.5,,
205,3/29/2022 22:36,29.5,,
206,3/29/2022 22:37,29.5,,
207,3/29/2022 22:38,29.5,,
208,3/29/2022 22:39,29.5,,
209,3/29/2022 22:40,29.5,,
210,3/29/2022 22:41,29.5,,
211,3/29/2022 22:42,29.5,,
212,3/29/2022 22:43,29.5,,
213,3/29/2022 22:44,29.5,,
214,3/29/2022 22:45,29.5,,
215,3/29/2022 22:46,29.5,,
216,3/29/2022 22:47,29.5,,
