Plot Title: CT_338_RAD,,,
#,"Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739338, SEN S/N: 20739338)","Temp, °C (LGR S/N: 20739338, SEN S/N: 20739338)"
1210,3/21/2022 12:09,34289.9,28.85
1211,3/21/2022 12:10,34327.4,28.86
1212,3/21/2022 12:11,34324.9,28.86
1213,3/21/2022 12:12,34312.4,28.85
1214,3/21/2022 12:13,34357.5,28.86
1215,3/21/2022 12:14,34329.9,28.86
1216,3/21/2022 12:15,34319.9,28.86
1217,3/21/2022 12:16,34309.9,28.85
1218,3/21/2022 12:17,34334.9,28.85
1219,3/21/2022 12:18,34339.9,28.85
1220,3/21/2022 12:19,34352.5,28.84
1221,3/21/2022 12:20,34362.5,28.84
1222,3/21/2022 12:21,34357.5,28.82
1223,3/21/2022 12:22,34392.6,28.84
1224,3/21/2022 12:23,34382.5,28.85
1225,3/21/2022 12:24,34395.1,28.86
1226,3/21/2022 12:25,34392.6,28.84
1227,3/21/2022 12:26,34382.5,28.83
1228,3/21/2022 12:27,34387.5,28.84
1229,3/21/2022 12:28,34382.5,28.78
1230,3/21/2022 12:29,34397.6,28.79
1231,3/21/2022 12:30,34392.6,28.79
1232,3/21/2022 12:31,34372.5,28.8
1233,3/21/2022 12:32,34372.5,28.82
1234,3/21/2022 12:33,34412.6,28.8
1235,3/21/2022 12:34,34412.6,28.8
1236,3/21/2022 12:35,34405.1,28.83
1237,3/21/2022 12:36,34427.7,28.82
1238,3/21/2022 12:37,34437.8,28.83
1239,3/21/2022 12:38,34460.4,28.8
1240,3/21/2022 12:39,34473,28.8
1241,3/21/2022 12:40,34442.8,28.79
1242,3/21/2022 12:41,34473,28.77
1243,3/21/2022 12:42,34510.8,28.78
1244,3/21/2022 12:43,34465.5,28.77
1245,3/21/2022 12:44,34488.1,28.78
1246,3/21/2022 12:45,34498.2,28.79
1247,3/21/2022 12:46,34515.9,28.82
1248,3/21/2022 12:47,34498.2,28.8
1249,3/21/2022 12:48,34505.8,28.8
1250,3/21/2022 12:49,34495.7,28.8
1251,3/21/2022 12:50,34510.8,28.77
1252,3/21/2022 12:51,34523.4,28.76
1253,3/21/2022 12:52,34526,28.76
1254,3/21/2022 12:53,34543.7,28.74
1255,3/21/2022 12:54,34536.1,28.74
1256,3/21/2022 12:55,34566.4,28.76
1257,3/21/2022 12:56,34558.8,28.76
1258,3/21/2022 12:57,34541.1,28.77
1259,3/21/2022 12:58,34518.4,28.76
1260,3/21/2022 12:59,34536.1,28.76
1261,3/21/2022 13:00,34556.3,28.73
1262,3/21/2022 13:01,34584.1,28.72
1263,3/21/2022 13:02,34584.1,28.72
1264,3/21/2022 13:03,34589.2,28.72
1265,3/21/2022 13:04,34574,28.72
1266,3/21/2022 13:05,34614.5,28.72
1267,3/21/2022 13:06,34612,28.73
1268,3/21/2022 13:07,34619.6,28.73
1269,3/21/2022 13:08,34617.1,28.74
1270,3/21/2022 13:09,34647.5,28.72
1271,3/21/2022 13:10,34627.2,28.72
1272,3/21/2022 13:11,34624.7,28.72
1273,3/21/2022 13:12,34647.5,28.72
1274,3/21/2022 13:13,34637.4,28.74
1275,3/21/2022 13:14,34662.7,28.74
1276,3/21/2022 13:15,34678,28.73
1277,3/21/2022 13:16,34627.2,28.73
1278,3/21/2022 13:17,34680.5,28.73
1279,3/21/2022 13:18,34690.7,28.74
1280,3/21/2022 13:19,34680.5,28.74
1281,3/21/2022 13:20,34690.7,28.74
1282,3/21/2022 13:21,34693.3,28.76
1283,3/21/2022 13:22,34723.8,28.76
1284,3/21/2022 13:23,34700.9,28.76
1285,3/21/2022 13:24,34716.2,28.77
1286,3/21/2022 13:25,34721.3,28.77
1287,3/21/2022 13:26,34762.1,28.77
1288,3/21/2022 13:27,34744.2,28.78
1289,3/21/2022 13:28,34744.2,28.78
1290,3/21/2022 13:29,34764.6,28.79
1291,3/21/2022 13:30,34762.1,28.78
1292,3/21/2022 13:31,34790.2,28.78
1293,3/21/2022 13:32,34790.2,28.77
1294,3/21/2022 13:33,34831.1,28.78
1295,3/21/2022 13:34,34831.1,28.78
1296,3/21/2022 13:35,34859.3,28.78
1297,3/21/2022 13:36,34918.4,28.78
1298,3/21/2022 13:37,34946.7,28.78
1299,3/21/2022 13:38,34957,28.8
1300,3/21/2022 13:39,34990.5,28.8
1301,3/21/2022 13:40,34987.9,28.78
1302,3/21/2022 13:41,35016.3,28.79
1303,3/21/2022 13:42,35039.5,28.78
1304,3/21/2022 13:43,35060.2,28.78
1305,3/21/2022 13:44,35062.8,28.78
1306,3/21/2022 13:45,35086.1,28.79
1307,3/21/2022 13:46,35078.4,28.8
1308,3/21/2022 13:47,35104.3,28.8
1309,3/21/2022 13:48,35117.3,28.8
1310,3/21/2022 13:49,35132.8,28.79
1311,3/21/2022 13:50,35192.6,28.78
1312,3/21/2022 13:51,35161.4,28.78
1313,3/21/2022 13:52,35195.2,28.79
1314,3/21/2022 13:53,35184.8,28.82
1315,3/21/2022 13:54,35221.3,28.79
1316,3/21/2022 13:55,35231.7,28.8
1317,3/21/2022 13:56,35281.4,28.8
1318,3/21/2022 13:57,35289.2,28.79
1319,3/21/2022 13:58,35323.2,28.79
1320,3/21/2022 13:59,35323.2,28.79
1321,3/21/2022 14:00,35378.3,28.79
1322,3/21/2022 14:01,35433.5,28.8
1323,3/21/2022 14:02,35430.9,28.8
1324,3/21/2022 14:03,35459.9,28.8
1325,3/21/2022 14:04,35470.4,28.8
1326,3/21/2022 14:05,35449.3,28.8
1327,3/21/2022 14:06,35438.8,28.78
1328,3/21/2022 14:07,35494.2,28.8
1329,3/21/2022 14:08,35473.1,28.82
1330,3/21/2022 14:09,35499.5,28.8
1331,3/21/2022 14:10,35496.8,28.8
1332,3/21/2022 14:11,35494.2,28.79
1333,3/21/2022 14:12,35512.7,28.79
1334,3/21/2022 14:13,35510,28.8
1335,3/21/2022 14:14,35528.5,28.79
1336,3/21/2022 14:15,35494.2,28.79
1337,3/21/2022 14:16,35528.5,28.78
1338,3/21/2022 14:17,35512.7,28.79
1339,3/21/2022 14:18,35562.9,28.78
1340,3/21/2022 14:19,35533.8,28.79
1341,3/21/2022 14:20,35523.2,28.79
1342,3/21/2022 14:21,35586.8,28.79
1343,3/21/2022 14:22,35584.1,28.79
1344,3/21/2022 14:23,35549.7,28.78
1345,3/21/2022 14:24,35584.1,28.79
1346,3/21/2022 14:25,35560.3,28.78
1347,3/21/2022 14:26,35547.1,28.79
1348,3/21/2022 14:27,35576.2,28.79
1349,3/21/2022 14:28,35594.7,28.78
1350,3/21/2022 14:29,35594.7,28.79
1351,3/21/2022 14:30,35557.6,28.78
1352,3/21/2022 14:31,35565.6,28.79
1353,3/21/2022 14:32,35594.7,28.79
1354,3/21/2022 14:33,35616,28.79
1355,3/21/2022 14:34,35589.4,28.79
1356,3/21/2022 14:35,35594.7,28.79
1357,3/21/2022 14:36,35438.8,28.79
1358,3/21/2022 14:37,35383.6,28.79
1359,3/21/2022 14:38,35362.6,28.8
1360,3/21/2022 14:39,35362.6,28.8
1361,3/21/2022 14:40,35339,28.79
1362,3/21/2022 14:41,35328.5,28.79
1363,3/21/2022 14:42,35341.6,28.8
1364,3/21/2022 14:43,35333.7,28.8
1365,3/21/2022 14:44,35333.7,28.79
1366,3/21/2022 14:45,35344.2,28.79
1367,3/21/2022 14:46,35318,28.79
1368,3/21/2022 14:47,35336.3,28.79
1369,3/21/2022 14:48,35310.1,28.76
1370,3/21/2022 14:49,35331.1,28.79
1371,3/21/2022 14:50,35273.5,28.79
1372,3/21/2022 14:51,35315.4,28.8
1373,3/21/2022 14:52,35294.4,28.78
1374,3/21/2022 14:53,35323.2,28.77
1375,3/21/2022 14:54,35286.6,28.79
1376,3/21/2022 14:55,35278.7,28.78
1377,3/21/2022 14:56,35289.2,28.8
1378,3/21/2022 14:57,35281.4,28.76
1379,3/21/2022 14:58,35312.8,28.79
1380,3/21/2022 14:59,35312.8,28.8
1381,3/21/2022 15:00,35304.9,28.82
1382,3/21/2022 15:01,35328.5,28.8
1383,3/21/2022 15:02,35328.5,28.78
1384,3/21/2022 15:03,35331.1,28.79
1385,3/21/2022 15:04,35346.8,28.8
1386,3/21/2022 15:05,35370.4,28.8
1387,3/21/2022 15:06,35412.5,28.8
1388,3/21/2022 15:07,35449.3,28.8
1389,3/21/2022 15:08,35518,28.79
1390,3/21/2022 15:09,35562.9,28.77
1391,3/21/2022 15:10,35541.8,28.79
1392,3/21/2022 15:11,35613.3,28.8
1393,3/21/2022 15:12,35605.4,28.82
1394,3/21/2022 15:13,35605.4,28.82
1395,3/21/2022 15:14,35565.6,28.83
1396,3/21/2022 15:15,35650.5,28.82
1397,3/21/2022 15:16,35642.5,28.82
1398,3/21/2022 15:17,35663.8,28.82
1399,3/21/2022 15:18,35669.1,28.82
1400,3/21/2022 15:19,35687.8,28.82
1401,3/21/2022 15:20,35637.2,28.8
1402,3/21/2022 15:21,35541.8,28.8
1403,3/21/2022 15:22,35645.2,28.8
1404,3/21/2022 15:23,35666.5,28.82
1405,3/21/2022 15:24,35679.8,28.82
1406,3/21/2022 15:25,35693.1,28.8
1407,3/21/2022 15:26,35663.8,28.82
1408,3/21/2022 15:27,35679.8,28.8
1409,3/21/2022 15:28,35650.5,28.82
1410,3/21/2022 15:29,35693.1,28.82
1411,3/21/2022 15:30,35549.7,28.82
1412,3/21/2022 15:31,35494.2,28.83
1413,3/21/2022 15:32,35531.2,28.82
1414,3/21/2022 15:33,35496.8,28.82
1415,3/21/2022 15:34,35525.9,28.82
1416,3/21/2022 15:35,35547.1,28.82
1417,3/21/2022 15:36,35555,28.83
1418,3/21/2022 15:37,35650.5,28.84
1419,3/21/2022 15:38,35653.2,28.83
1420,3/21/2022 15:39,35711.8,28.84
1421,3/21/2022 15:40,35701.1,28.82
1422,3/21/2022 15:41,35682.5,28.82
1423,3/21/2022 15:42,35436.2,28.83
