Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),
061,03/30/22 07:25, 22, 03, 30, 07, 25,7,4.6,57.2,0.0,14.3,0.0, 2236, 8,25.4, 7, 1,6.18, 50, 134,3.3163380,5.3659470, 255,02,01,0.250,Sniff,7,4,0,1,0,2,0.870,0.00,0.218,0.00,0.434,
062,03/30/22 07:30, 22, 03, 30, 07, 30,6,4.6,83.3,0.0,0.0,0.0, 2218, 8,25.4, 6, 1,6.24, 50, 134,4.1677090,5.7505880, 255,02,02,0.00,Sniff,9,5,0,0,0,1,1.09,0.00,0.00,0.00,0.218,
063,03/30/22 07:36, 22, 03, 30, 07, 36,6,4.6,16.7,0.0,16.7,0.0, 2218, 7,25.7, 6, 1,6.27, 50, 134,0.8335418,4.0246950, 255,02,03,1.00,Sniff,1.9,1,0,1,0,4,0.218,0.00,0.218,0.00,0.869,
064,03/30/22 07:41, 22, 03, 30, 07, 41,13,4.6,84.6,0.0,7.7,7.7, 2218, 8,25.7, 6, 1,6.24, 50, 134,9.1689600,7.4420300, 255,02,04,0.0910,Sniff,20,11,0,1,1,0,2.39,0.00,0.218,0.218,0.00,
065,03/30/22 07:46, 22, 03, 30, 07, 46,23,4.6,87.0,0.0,4.4,0.0, 2218, 7,25.7, 6, 1,6.27, 50, 134,16.6708400,9.3066190, 255,02,05,0.0506,Sniff,37,20,0,1,0,2,4.35,0.00,0.220,0.00,0.430,
066,03/30/22 07:51, 22, 03, 30, 07, 51,27,4.6,74.1,0.0,7.4,0.0, 2201, 8,26.0, 6, 1,6.27, 50, 134,16.5816900,9.2568510, 255,02,06,0.0999,Sniff,37,20,0,2,0,5,4.35,0.00,0.434,0.00,1.09,
067,03/30/22 07:56, 22, 03, 30, 07, 56,21,4.6,81.0,0.0,4.8,0.0, 2236, 8,26.0, 5, 1,6.24, 50, 134,14.0944400,8.6931820, 255,02,07,0.0593,Sniff,30,17,0,1,0,3,3.70,0.00,0.219,0.00,0.648,
068,03/30/22 08:01, 22, 03, 30, 08, 01,35,4.6,82.9,0.0,5.7,0.0, 2236, 8,26.0, 5, 1,6.27, 50, 134,24.0434500,10.7403300, 255,02,08,0.0688,Sniff,54,29,0,2,0,4,6.31,0.00,0.434,0.00,0.867,
069,03/30/22 08:06, 22, 03, 30, 08, 06,40,4.6,77.5,5.0,7.5,2.5, 2218, 8,26.0, 5, 1,6.24, 50, 134,25.7016200,11.0381900, 255,02,09,0.0968,Sniff,57,31,2,3,1,3,6.74,0.435,0.652,0.217,0.652,
070,03/30/22 08:11, 22, 03, 30, 08, 11,46,4.6,69.6,0.0,15.2,0.0, 2218, 7,26.3, 5, 1,6.24, 50, 134,26.5307000,11.1836200, 255,02,10,0.218,Sniff,60,32,0,7,0,7,6.96,0.00,1.52,0.00,1.52,
071,03/30/22 08:16, 22, 03, 30, 08, 16,56,4.6,66.1,0.0,23.2,0.0, 2236, 8,26.3, 5, 1,6.27, 50, 134,30.6761200,11.8798100, 255,02,11,0.351,Sniff,69,37,0,13,0,6,8.05,0.00,2.82,0.00,1.30,
072,03/30/22 08:21, 22, 03, 30, 08, 21,42,4.6,64.3,2.4,28.6,0.0, 2218, 8,26.3, 5, 1,6.27, 50, 134,22.3852800,10.4323700, 255,02,12,0.445,Sniff,51,27,1,12,0,2,5.87,0.219,2.61,0.00,0.429,
073,03/30/22 08:26, 22, 03, 30, 08, 26,61,4.6,59.0,1.7,32.8,1.7, 2218, 7,26.3, 5, 1,6.24, 50, 134,30.0075000,11.8075600, 255,02,13,0.556,Sniff,66,36,1,20,1,3,7.82,0.225,4.35,0.225,0.637,
074,03/30/22 08:31, 22, 03, 30, 08, 31,57,4.6,63.2,0.0,26.3,0.0, 2218, 7,26.6, 5, 1,6.27, 50, 134,29.8470400,11.7444100, 255,02,14,0.416,Sniff,67,36,0,15,0,6,7.83,0.00,3.26,0.00,1.30,
