Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),
193,03/31/22 01:14, 22, 03, 31, 01, 14,3,4.7,0.0,0.0,0.0,0.0, 2236, 8,26.9, 6, 1,6.09, 50, 134,0.0000000,3.2986970, 255,04,01,N/A,Sniff,0.0,0,0,0,0,3,0.00,0.00,0.00,0.00,0.638,
194,03/31/22 01:19, 22, 03, 31, 01, 19,3,4.6,0.0,0.0,0.0,33.3, 2218, 7,26.9, 5, 1,6.09, 50, 134,0.0000000,3.3163380, 255,04,02,N/A,Sniff,0.0,0,0,0,1,2,0.00,0.00,0.00,0.217,0.435,
195,03/31/22 01:24, 22, 03, 31, 01, 24,3,4.6,33.3,0.0,0.0,0.0, 2218, 8,26.9, 5, 1,6.09, 50, 134,0.8290844,4.0031720, 255,04,03,0.00,Sniff,1.9,1,0,0,0,2,0.217,0.00,0.00,0.00,0.435,
196,03/31/22 01:29, 22, 03, 31, 01, 29,3,4.6,33.3,0.0,0.0,0.0, 2218, 7,26.9, 5, 1,6.06, 50, 134,0.8290844,4.0031720, 255,04,04,0.00,Sniff,1.9,1,0,0,0,2,0.217,0.00,0.00,0.00,0.435,
197,03/31/22 01:34, 22, 03, 31, 01, 34,2,4.6,0.0,0.0,0.0,0.0, 2218, 7,26.9, 4, 1,6.06, 50, 134,0.0000000,3.3163380, 255,04,05,N/A,Sniff,0.0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.435,
198,03/31/22 01:39, 22, 03, 31, 01, 39,4,4.6,25.0,0.0,50.0,0.0, 2218, 8,26.9, 4, 1,6.09, 50, 134,0.8290844,4.0031720, 255,04,06,2.00,Sniff,1.9,1,0,2,0,1,0.217,0.00,0.435,0.00,0.217,
199,03/31/22 01:44, 22, 03, 31, 01, 44,4,4.6,100.0,0.0,0.0,0.0, 2236, 8,26.9, 4, 1,6.06, 50, 134,3.3163380,5.3659470, 255,04,07,0.00,Sniff,7,4,0,0,0,0,0.870,0.00,0.00,0.00,0.00,
200,03/31/22 01:49, 22, 03, 31, 01, 49,9,4.6,22.2,0.0,22.2,0.0, 2218, 7,26.9, 4, 1,6.06, 50, 134,1.6581690,4.5302000, 255,04,08,1.00,Sniff,0,2,0,2,0,5,0.434,0.00,0.434,0.00,1.09,
201,03/31/22 01:54, 22, 03, 31, 01, 54,3,4.6,33.3,33.3,0.0,0.0, 2236, 8,26.9, 4, 1,6.06, 50, 134,0.8290844,4.0031720, 255,04,09,0.00,Sniff,1.9,1,1,0,0,1,0.217,0.217,0.00,0.00,0.218,
202,03/31/22 01:59, 22, 03, 31, 01, 59,7,4.6,42.9,0.0,14.3,0.0, 2236, 8,26.6, 4, 1,6.06, 50, 134,2.4872530,4.9745060, 255,04,10,0.333,Sniff,6,3,0,1,0,3,0.653,0.00,0.218,0.00,0.651,
203,03/31/22 02:04, 22, 03, 31, 02, 04,5,4.6,20.0,0.0,40.0,0.0, 2201, 8,26.6, 4, 1,6.06, 50, 134,0.8290844,4.0031720, 255,04,11,2.00,Sniff,1.9,1,0,2,0,2,0.217,0.00,0.435,0.00,0.435,
204,03/31/22 02:09, 22, 03, 31, 02, 09,5,4.6,0.0,20.0,40.0,0.0, 2218, 8,26.6, 4, 1,6.06, 50, 134,0.0000000,3.3163380, 255,04,12,N/A,Sniff,0.0,0,1,2,0,2,0.00,0.217,0.435,0.00,0.435,
205,03/31/22 02:14, 22, 03, 31, 02, 14,3,4.6,33.3,0.0,66.7,0.0, 2218, 7,26.6, 4, 1,6.06, 50, 134,0.8290844,4.0031720, 255,04,13,2.00,Sniff,1.9,1,0,2,0,0,0.217,0.00,0.435,0.00,0.00,
206,03/31/22 02:19, 22, 03, 31, 02, 19,10,4.6,60.0,0.0,0.0,0.0, 2236, 8,26.6, 4, 1,6.06, 50, 134,4.9745060,6.0452710, 255,04,14,0.00,Sniff,11,6,0,0,0,4,1.30,0.00,0.00,0.00,0.870,
207,03/31/22 02:24, 22, 03, 31, 02, 24,5,4.6,80.0,0.0,0.0,0.0, 2236, 8,26.6, 4, 1,6.06, 50, 134,3.3163380,5.3659470, 255,04,15,0.00,Sniff,7,4,0,0,0,1,0.870,0.00,0.00,0.00,0.217,
208,03/31/22 02:29, 22, 03, 31, 02, 29,6,4.6,66.7,0.0,0.0,0.0, 2218, 7,26.6, 4, 1,6.06, 50, 134,3.3163380,5.3659470, 255,04,16,0.00,Sniff,7,4,0,0,0,2,0.870,0.00,0.00,0.00,0.434,
209,03/31/22 02:34, 22, 03, 31, 02, 34,4,4.6,25.0,0.0,25.0,0.0, 2218, 8,26.3, 4, 1,6.03, 50, 134,0.8290844,4.0031720, 255,04,17,1.00,Sniff,1.9,1,0,1,0,2,0.217,0.00,0.217,0.00,0.435,
210,03/31/22 02:40, 22, 03, 31, 02, 40,6,4.6,50.0,0.0,33.3,16.7, 2218, 7,26.3, 4, 1,6.03, 50, 134,2.4872530,4.9745060, 255,04,18,0.666,Sniff,5,3,0,2,1,0,0.652,0.00,0.434,0.218,0.00,
211,03/31/22 02:45, 22, 03, 31, 02, 45,12,4.6,41.7,0.0,33.3,0.0, 2218, 8,26.6, 4, 1,6.06, 50, 134,4.1454220,5.7198360, 255,04,19,0.799,Sniff,9,5,0,4,0,3,1.09,0.00,0.869,0.00,0.652,
212,03/31/22 02:50, 22, 03, 31, 02, 50,5,4.6,20.0,0.0,20.0,0.0, 2236, 8,26.3, 4, 1,6.03, 50, 134,0.8290844,4.0031720, 255,04,20,1.00,Sniff,1.9,1,0,1,0,3,0.217,0.00,0.217,0.00,0.652,
213,03/31/22 02:55, 22, 03, 31, 02, 55,3,4.6,0.0,0.0,0.0,33.3, 2218, 7,26.3, 4, 1,6.03, 50, 134,0.0000000,3.3163380, 255,04,21,N/A,Sniff,0.0,0,0,0,1,2,0.00,0.00,0.00,0.217,0.435,
