EasyLog USB,Time,Celsius(°C),Comments,Serial Number
734,3/30/2022 7:25,28,,
735,3/30/2022 7:26,28,,
736,3/30/2022 7:27,28,,
737,3/30/2022 7:28,28,,
738,3/30/2022 7:29,28,,
739,3/30/2022 7:30,28,,
740,3/30/2022 7:31,28,,
741,3/30/2022 7:32,28,,
742,3/30/2022 7:33,28.5,,
743,3/30/2022 7:34,28.5,,
744,3/30/2022 7:35,28.5,,
745,3/30/2022 7:36,28,,
746,3/30/2022 7:37,28,,
747,3/30/2022 7:38,28,,
748,3/30/2022 7:39,28,,
749,3/30/2022 7:40,28,,
750,3/30/2022 7:41,28,,
751,3/30/2022 7:42,28,,
752,3/30/2022 7:43,28,,
753,3/30/2022 7:44,28,,
754,3/30/2022 7:45,28,,
755,3/30/2022 7:46,28,,
756,3/30/2022 7:47,28,,
757,3/30/2022 7:48,28,,
758,3/30/2022 7:49,28,,
759,3/30/2022 7:50,28,,
760,3/30/2022 7:51,28,,
761,3/30/2022 7:52,28.5,,
762,3/30/2022 7:53,28,,
763,3/30/2022 7:54,28.5,,
764,3/30/2022 7:55,28,,
765,3/30/2022 7:56,28.5,,
766,3/30/2022 7:57,28.5,,
767,3/30/2022 7:58,28,,
768,3/30/2022 7:59,28.5,,
769,3/30/2022 8:00,28.5,,
770,3/30/2022 8:01,28,,
771,3/30/2022 8:02,28,,
772,3/30/2022 8:03,28,,
773,3/30/2022 8:04,28,,
774,3/30/2022 8:05,28,,
775,3/30/2022 8:06,28,,
776,3/30/2022 8:07,28,,
777,3/30/2022 8:08,28,,
778,3/30/2022 8:09,28,,
779,3/30/2022 8:10,28,,
780,3/30/2022 8:11,28,,
781,3/30/2022 8:12,28.5,,
782,3/30/2022 8:13,28.5,,
783,3/30/2022 8:14,28.5,,
784,3/30/2022 8:15,28.5,,
785,3/30/2022 8:16,28.5,,
786,3/30/2022 8:17,28.5,,
787,3/30/2022 8:18,28.5,,
788,3/30/2022 8:19,28.5,,
789,3/30/2022 8:20,28,,
790,3/30/2022 8:21,28.5,,
791,3/30/2022 8:22,28.5,,
792,3/30/2022 8:23,28.5,,
793,3/30/2022 8:24,28.5,,
794,3/30/2022 8:25,28,,
795,3/30/2022 8:26,28,,
796,3/30/2022 8:27,28,,
797,3/30/2022 8:28,28.5,,
798,3/30/2022 8:29,28.5,,
799,3/30/2022 8:30,28.5,,
800,3/30/2022 8:31,28.5,,
801,3/30/2022 8:32,28.5,,
802,3/30/2022 8:33,28.5,,
803,3/30/2022 8:34,28.5,,
804,3/30/2022 8:35,28.5,,
805,3/30/2022 8:36,28,,
806,3/30/2022 8:37,28,,
807,3/30/2022 8:38,28,,
808,3/30/2022 8:39,28,,
809,3/30/2022 8:40,28.5,,
810,3/30/2022 8:41,28.5,,
811,3/30/2022 8:42,28.5,,
812,3/30/2022 8:43,28.5,,
813,3/30/2022 8:44,28.5,,
814,3/30/2022 8:45,28.5,,
815,3/30/2022 8:46,28.5,,
816,3/30/2022 8:47,28,,
817,3/30/2022 8:48,28.5,,
818,3/30/2022 8:49,28,,
819,3/30/2022 8:50,28.5,,
820,3/30/2022 8:51,28.5,,
821,3/30/2022 8:52,28.5,,
822,3/30/2022 8:53,28.5,,
823,3/30/2022 8:54,28,,
824,3/30/2022 8:55,28.5,,
825,3/30/2022 8:56,28.5,,
826,3/30/2022 8:57,28.5,,
827,3/30/2022 8:58,28.5,,
828,3/30/2022 8:59,28.5,,
829,3/30/2022 9:00,28.5,,
830,3/30/2022 9:01,28.5,,
831,3/30/2022 9:02,28.5,,
832,3/30/2022 9:03,28.5,,
833,3/30/2022 9:04,28.5,,
834,3/30/2022 9:05,28.5,,
835,3/30/2022 9:06,28.5,,
836,3/30/2022 9:07,28.5,,
837,3/30/2022 9:08,28.5,,
838,3/30/2022 9:09,28.5,,
839,3/30/2022 9:10,28.5,,
840,3/30/2022 9:11,28.5,,
841,3/30/2022 9:12,28.5,,
842,3/30/2022 9:13,28.5,,
843,3/30/2022 9:14,28.5,,
844,3/30/2022 9:15,28.5,,
845,3/30/2022 9:16,28.5,,
846,3/30/2022 9:17,28.5,,
847,3/30/2022 9:18,28.5,,
848,3/30/2022 9:19,28.5,,
849,3/30/2022 9:20,28.5,,
850,3/30/2022 9:21,28.5,,
851,3/30/2022 9:22,28.5,,
852,3/30/2022 9:23,29,,
853,3/30/2022 9:24,29,,
854,3/30/2022 9:25,29,,
855,3/30/2022 9:26,28.5,,
