EasyLog USB,Time,Celsius(°C),Comments,Serial Number
1803,3/31/2022 1:14,29,,
1804,3/31/2022 1:15,29,,
1805,3/31/2022 1:16,29,,
1806,3/31/2022 1:17,29,,
1807,3/31/2022 1:18,28.5,,
1808,3/31/2022 1:19,28.5,,
1809,3/31/2022 1:20,28.5,,
1810,3/31/2022 1:21,28.5,,
1811,3/31/2022 1:22,28.5,,
1812,3/31/2022 1:23,28.5,,
1813,3/31/2022 1:24,28.5,,
1814,3/31/2022 1:25,28.5,,
1815,3/31/2022 1:26,28.5,,
1816,3/31/2022 1:27,28.5,,
1817,3/31/2022 1:28,28.5,,
1818,3/31/2022 1:29,28.5,,
1819,3/31/2022 1:30,29,,
1820,3/31/2022 1:31,28.5,,
1821,3/31/2022 1:32,28.5,,
1822,3/31/2022 1:33,28.5,,
1823,3/31/2022 1:34,28.5,,
1824,3/31/2022 1:35,28.5,,
1825,3/31/2022 1:36,28.5,,
1826,3/31/2022 1:37,28.5,,
1827,3/31/2022 1:38,28.5,,
1828,3/31/2022 1:39,28.5,,
1829,3/31/2022 1:40,28.5,,
1830,3/31/2022 1:41,28.5,,
1831,3/31/2022 1:42,28.5,,
1832,3/31/2022 1:43,28.5,,
1833,3/31/2022 1:44,28.5,,
1834,3/31/2022 1:45,28.5,,
1835,3/31/2022 1:46,28.5,,
1836,3/31/2022 1:47,28.5,,
1837,3/31/2022 1:48,28.5,,
1838,3/31/2022 1:49,28.5,,
1839,3/31/2022 1:50,28.5,,
1840,3/31/2022 1:51,28.5,,
1841,3/31/2022 1:52,28.5,,
1842,3/31/2022 1:53,28.5,,
1843,3/31/2022 1:54,28.5,,
1844,3/31/2022 1:55,28.5,,
1845,3/31/2022 1:56,28.5,,
1846,3/31/2022 1:57,28.5,,
1847,3/31/2022 1:58,28.5,,
1848,3/31/2022 1:59,28.5,,
1849,3/31/2022 2:00,28.5,,
1850,3/31/2022 2:01,28.5,,
1851,3/31/2022 2:02,28.5,,
1852,3/31/2022 2:03,28.5,,
1853,3/31/2022 2:04,28.5,,
1854,3/31/2022 2:05,28.5,,
1855,3/31/2022 2:06,28.5,,
1856,3/31/2022 2:07,28.5,,
1857,3/31/2022 2:08,28.5,,
1858,3/31/2022 2:09,28.5,,
1859,3/31/2022 2:10,28.5,,
1860,3/31/2022 2:11,28.5,,
1861,3/31/2022 2:12,28.5,,
1862,3/31/2022 2:13,28.5,,
1863,3/31/2022 2:14,28.5,,
1864,3/31/2022 2:15,28.5,,
1865,3/31/2022 2:16,28.5,,
1866,3/31/2022 2:17,28.5,,
1867,3/31/2022 2:18,28.5,,
1868,3/31/2022 2:19,28.5,,
1869,3/31/2022 2:20,28.5,,
1870,3/31/2022 2:21,28.5,,
1871,3/31/2022 2:22,28.5,,
1872,3/31/2022 2:23,28.5,,
1873,3/31/2022 2:24,28.5,,
1874,3/31/2022 2:25,28.5,,
1875,3/31/2022 2:26,28.5,,
1876,3/31/2022 2:27,28.5,,
