Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),
531,03/21/22 12:09, 22, 03, 21, 12, 09,3,4.6,33.3,33.3,33.3,0.0, 2218, 7,31.9, 6, 1,6.36, 40, 134,0.8290843,4.0031730, 255,22*,01*,1.00,Sniff,1.8,1,1,1,0,0,0.217,0.217,0.217,0.00,0.000652,
532,03/21/22 12:14, 22, 03, 21, 12, 14,2,4.6,50.0,0.0,0.0,0.0, 2218, 8,32.2, 6, 1,6.36, 40, 134,0.8380473,4.0464510, 255,22*,02*,0.00,Sniff,1.9,1,0,0,0,1,0.217,0.00,0.00,0.00,0.217,
533,03/21/22 12:19, 22, 03, 21, 12, 19,2,4.6,50.0,0.0,50.0,0.0, 2236, 7,32.2, 5, 1,6.36, 40, 134,0.8380473,4.0464510, 255,22*,03*,1.00,Sniff,1.9,1,0,1,0,0,0.217,0.00,0.217,0.00,0.00,
534,03/21/22 12:24, 22, 03, 21, 12, 24,5,4.6,60.0,0.0,0.0,0.0, 2236, 8,32.5, 5, 1,6.36, 40, 134,2.5141420,5.0282840, 255,22*,04*,0.00,Sniff,6,3,0,0,0,2,0.652,0.00,0.00,0.00,0.435,
535,03/21/22 12:29, 22, 03, 21, 12, 29,2,4.6,50.0,50.0,0.0,0.0, 2236, 8,32.5, 5, 1,6.33, 40, 134,0.8380473,4.0464510, 255,22*,05*,0.00,Sniff,1.9,1,1,0,0,0,0.217,0.217,0.00,0.00,0.00,
536,03/21/22 12:34, 22, 03, 21, 12, 34,2,4.6,50.0,0.0,0.0,50.0, 2218, 7,32.5, 5, 1,6.33, 40, 134,0.8380473,4.0464510, 255,22*,06*,0.00,Sniff,0,1,0,0,1,0,0.217,0.00,0.00,0.217,0.00,
537,03/21/22 12:39, 22, 03, 21, 12, 39,3,4.6,66.7,0.0,33.3,0.0, 2218, 7,32.5, 5, 1,6.36, 40, 134,1.6760950,4.5791760, 255,22*,07*,0.499,Sniff,0,2,0,1,0,0,0.435,0.00,0.217,0.00,0.00,
538,03/21/22 12:44, 22, 03, 21, 12, 44,3,4.6,100.0,0.0,0.0,0.0, 2218, 7,32.8, 5, 1,6.36, 40, 134,2.5141420,5.0282840, 255,22*,08*,0.00,Sniff,6,3,0,0,0,0,0.652,0.00,0.00,0.00,0.00,
539,03/21/22 12:49, 22, 03, 21, 12, 49,0,4.6,0.0,0.0,0.0,0.0, 2218, 7,32.8, 5, 1,6.33, 40, 134,0.0000000,3.3341670, 255,22*,09*,N/A,Sniff,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
540,03/21/22 12:54, 22, 03, 21, 12, 54,5,4.6,80.0,0.0,20.0,0.0, 2218, 7,32.8, 5, 1,6.33, 40, 134,3.3521890,5.4239560, 255,22*,10*,0.250,Sniff,7,4,0,1,0,0,0.870,0.00,0.217,0.00,0.00,
541,03/21/22 12:59, 22, 03, 21, 12, 59,0,4.6,0.0,0.0,0.0,0.0, 2236, 7,32.8, 5, 1,6.36, 40, 134,0.0000000,3.3341670, 255,22*,11*,N/A,Sniff,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
542,03/21/22 13:04, 22, 03, 21, 13, 04,4,4.6,50.0,0.0,50.0,0.0, 2201, 8,32.8, 5, 1,6.36, 40, 134,1.6760950,4.5791760, 255,22*,12*,1.00,Sniff,0,2,0,2,0,0,0.435,0.00,0.435,0.00,0.00,
