EasyLog USB,Time,Celsius(°C),Comments,Serial Number
1413,3/30/2022 18:44,29.5,,
1414,3/30/2022 18:45,29.5,,
1415,3/30/2022 18:46,29.5,,
1416,3/30/2022 18:47,29.5,,
1417,3/30/2022 18:48,29.5,,
1418,3/30/2022 18:49,29.5,,
1419,3/30/2022 18:50,29.5,,
1420,3/30/2022 18:51,29.5,,
1421,3/30/2022 18:52,29.5,,
1422,3/30/2022 18:53,29.5,,
1423,3/30/2022 18:54,29.5,,
1424,3/30/2022 18:55,30,,
1425,3/30/2022 18:56,30,,
1426,3/30/2022 18:57,30,,
1427,3/30/2022 18:58,29.5,,
1428,3/30/2022 18:59,29.5,,
1429,3/30/2022 19:00,29.5,,
1430,3/30/2022 19:01,29.5,,
1431,3/30/2022 19:02,29.5,,
1432,3/30/2022 19:03,29.5,,
1433,3/30/2022 19:04,29.5,,
1434,3/30/2022 19:05,30,,
1435,3/30/2022 19:06,30,,
1436,3/30/2022 19:07,29.5,,
1437,3/30/2022 19:08,29.5,,
1438,3/30/2022 19:09,29.5,,
1439,3/30/2022 19:10,29.5,,
1440,3/30/2022 19:11,29.5,,
1441,3/30/2022 19:12,29.5,,
1442,3/30/2022 19:13,29.5,,
1443,3/30/2022 19:14,30,,
1444,3/30/2022 19:15,29.5,,
1445,3/30/2022 19:16,29.5,,
1446,3/30/2022 19:17,29.5,,
1447,3/30/2022 19:18,29.5,,
1448,3/30/2022 19:19,29.5,,
1449,3/30/2022 19:20,29.5,,
1450,3/30/2022 19:21,29.5,,
1451,3/30/2022 19:22,29,,
1452,3/30/2022 19:23,29.5,,
1453,3/30/2022 19:24,29.5,,
1454,3/30/2022 19:25,29.5,,
1455,3/30/2022 19:26,29.5,,
1456,3/30/2022 19:27,29.5,,
1457,3/30/2022 19:28,29.5,,
1458,3/30/2022 19:29,29.5,,
1459,3/30/2022 19:30,29.5,,
1460,3/30/2022 19:31,29.5,,
1461,3/30/2022 19:32,29.5,,
1462,3/30/2022 19:33,29.5,,
1463,3/30/2022 19:34,29.5,,
1464,3/30/2022 19:35,29.5,,
1465,3/30/2022 19:36,29.5,,
1466,3/30/2022 19:37,29.5,,
1467,3/30/2022 19:38,29.5,,
1468,3/30/2022 19:39,30,,
1469,3/30/2022 19:40,30,,
1470,3/30/2022 19:41,29.5,,
1471,3/30/2022 19:42,29.5,,
1472,3/30/2022 19:43,29.5,,
1473,3/30/2022 19:44,29.5,,
1474,3/30/2022 19:45,29.5,,
1475,3/30/2022 19:46,29.5,,
1476,3/30/2022 19:47,29.5,,
1477,3/30/2022 19:48,29.5,,
1478,3/30/2022 19:49,29.5,,
1479,3/30/2022 19:50,29.5,,
1480,3/30/2022 19:51,29.5,,
1481,3/30/2022 19:52,29.5,,
1482,3/30/2022 19:53,29.5,,
1483,3/30/2022 19:54,29.5,,
1484,3/30/2022 19:55,29.5,,
1485,3/30/2022 19:56,29.5,,
1486,3/30/2022 19:57,29.5,,
1487,3/30/2022 19:58,29.5,,
1488,3/30/2022 19:59,29.5,,
1489,3/30/2022 20:00,29.5,,
1490,3/30/2022 20:01,29.5,,
1491,3/30/2022 20:02,29.5,,
1492,3/30/2022 20:03,29.5,,
1493,3/30/2022 20:04,29.5,,
1494,3/30/2022 20:05,29.5,,
1495,3/30/2022 20:06,29.5,,
1496,3/30/2022 20:07,29.5,,
1497,3/30/2022 20:08,29.5,,
1498,3/30/2022 20:09,29.5,,
1499,3/30/2022 20:10,29.5,,
1500,3/30/2022 20:11,29.5,,
1501,3/30/2022 20:12,29.5,,
1502,3/30/2022 20:13,29.5,,
1503,3/30/2022 20:14,29.5,,
1504,3/30/2022 20:15,29.5,,
1505,3/30/2022 20:16,29.5,,
1506,3/30/2022 20:17,29.5,,
1507,3/30/2022 20:18,29.5,,
1508,3/30/2022 20:19,29.5,,
1509,3/30/2022 20:20,29.5,,
1510,3/30/2022 20:21,29.5,,
1511,3/30/2022 20:22,29.5,,
1512,3/30/2022 20:23,29.5,,
1513,3/30/2022 20:24,29.5,,
1514,3/30/2022 20:25,29.5,,
1515,3/30/2022 20:26,29.5,,
1516,3/30/2022 20:27,29.5,,
1517,3/30/2022 20:28,29.5,,
1518,3/30/2022 20:29,29.5,,
1519,3/30/2022 20:30,29.5,,
1520,3/30/2022 20:31,29.5,,
1521,3/30/2022 20:32,29.5,,
1522,3/30/2022 20:33,29.5,,
1523,3/30/2022 20:34,29.5,,
