EasyLog USB,Time,Celsius(°C),Comments,Serial Number
1015,3/30/2022 12:06,29.5,,
1016,3/30/2022 12:07,29.5,,
1017,3/30/2022 12:08,29.5,,
1018,3/30/2022 12:09,29.5,,
1019,3/30/2022 12:10,29.5,,
1020,3/30/2022 12:11,29.5,,
1021,3/30/2022 12:12,29.5,,
1022,3/30/2022 12:13,29.5,,
1023,3/30/2022 12:14,29.5,,
1024,3/30/2022 12:15,29.5,,
1025,3/30/2022 12:16,29.5,,
1026,3/30/2022 12:17,29.5,,
1027,3/30/2022 12:18,29.5,,
1028,3/30/2022 12:19,29.5,,
1029,3/30/2022 12:20,29.5,,
1030,3/30/2022 12:21,29.5,,
1031,3/30/2022 12:22,29.5,,
1032,3/30/2022 12:23,29.5,,
1033,3/30/2022 12:24,29.5,,
1034,3/30/2022 12:25,29.5,,
1035,3/30/2022 12:26,29.5,,
1036,3/30/2022 12:27,29.5,,
1037,3/30/2022 12:28,29.5,,
1038,3/30/2022 12:29,29.5,,
1039,3/30/2022 12:30,29.5,,
1040,3/30/2022 12:31,29.5,,
1041,3/30/2022 12:32,29.5,,
1042,3/30/2022 12:33,29.5,,
1043,3/30/2022 12:34,29.5,,
1044,3/30/2022 12:35,29.5,,
1045,3/30/2022 12:36,29.5,,
1046,3/30/2022 12:37,29.5,,
1047,3/30/2022 12:38,29.5,,
1048,3/30/2022 12:39,29.5,,
1049,3/30/2022 12:40,29.5,,
1050,3/30/2022 12:41,29.5,,
1051,3/30/2022 12:42,29.5,,
1052,3/30/2022 12:43,29.5,,
1053,3/30/2022 12:44,29.5,,
1054,3/30/2022 12:45,29.5,,
1055,3/30/2022 12:46,29.5,,
1056,3/30/2022 12:47,29.5,,
1057,3/30/2022 12:48,29.5,,
1058,3/30/2022 12:49,29.5,,
1059,3/30/2022 12:50,29.5,,
1060,3/30/2022 12:51,29.5,,
1061,3/30/2022 12:52,29.5,,
1062,3/30/2022 12:53,29.5,,
1063,3/30/2022 12:54,29.5,,
1064,3/30/2022 12:55,29.5,,
1065,3/30/2022 12:56,29.5,,
1066,3/30/2022 12:57,29.5,,
1067,3/30/2022 12:58,29.5,,
1068,3/30/2022 12:59,29.5,,
1069,3/30/2022 13:00,29.5,,
1070,3/30/2022 13:01,29.5,,
1071,3/30/2022 13:02,29.5,,
1072,3/30/2022 13:03,29.5,,
1073,3/30/2022 13:04,29.5,,
1074,3/30/2022 13:05,29.5,,
1075,3/30/2022 13:06,29.5,,
