Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),
117,03/30/22 12:06, 22, 03, 30, 12, 06,18,4.6,55.6,5.6,38.9,0.0, 2218, 7,33.6, 4, 2,6.21, 50, 134,8.2908440,7.1576910, 255,02,57,0.700,Sniff,19,10,1,7,0,0,2.18,0.219,1.52,0.00,0.00,
118,03/30/22 12:11, 22, 03, 30, 12, 11,20,4.6,45.0,5.0,50.0,0.0, 2218, 7,33.6, 4, 2,6.18, 50, 134,7.4617590,6.9017590, 255,02,58,1.11,Sniff,17,9,1,10,0,0,1.96,0.217,2.17,0.00,0.00,
119,03/30/22 12:16, 22, 03, 30, 12, 16,30,4.6,36.7,0.0,40.0,3.3, 2218, 7,33.6, 4, 2,6.21, 50, 134,9.1199290,7.4022330, 255,02,59,1.09,Sniff,20,11,0,12,1,6,2.39,0.00,2.61,0.215,1.30,
120,03/30/22 12:21, 22, 03, 30, 12, 21,21,4.6,38.1,0.0,47.6,0.0, 2236, 8,33.6, 4, 2,6.21, 50, 134,6.6326750,6.6326750, 255,02,60,1.25,Sniff,15,8,0,10,0,3,1.74,0.00,2.17,0.00,0.653,
121,03/30/22 12:26, 22, 03, 30, 12, 26,29,4.6,34.5,0.0,55.2,0.0, 2236, 8,33.6, 4, 2,6.21, 50, 134,8.2908440,7.1576910, 255,02,61,1.60,Sniff,19,10,0,16,0,3,2.18,0.00,3.48,0.00,0.649,
122,03/30/22 12:31, 22, 03, 30, 12, 31,20,4.6,45.0,0.0,45.0,0.0, 2201, 8,34.0, 4, 2,6.18, 50, 134,7.4617590,6.9017590, 255,02,62,1.00,Sniff,17,9,0,9,0,2,1.96,0.00,1.96,0.00,0.435,
123,03/30/22 12:36, 22, 03, 30, 12, 36,20,4.6,35.0,0.0,45.0,0.0, 2218, 7,34.0, 4, 2,6.18, 50, 134,5.8035900,6.3481780, 255,02,63,1.29,Sniff,13,7,0,9,0,4,1.52,0.00,1.96,0.00,0.870,
124,03/30/22 12:41, 22, 03, 30, 12, 41,23,4.6,39.1,0.0,39.1,0.0, 2236, 8,34.0, 4, 2,6.18, 50, 134,7.4617590,6.9017590, 255,02,64,1.00,Sniff,17,9,0,9,0,5,1.96,0.00,1.96,0.00,1.09,
125,03/30/22 12:47, 22, 03, 30, 12, 47,23,4.6,43.5,0.0,56.5,0.0, 2218, 7,34.0, 4, 2,6.18, 50, 134,8.2908440,7.1576910, 255,02,65,1.30,Sniff,19,10,0,13,0,0,2.18,0.00,2.83,0.00,0.00,
126,03/30/22 12:52, 22, 03, 30, 12, 52,29,4.6,37.9,3.5,44.8,0.0, 2236, 8,34.0, 4, 2,6.18, 50, 134,9.1199290,7.4022330, 255,02,66,1.18,Sniff,21,11,1,13,0,4,2.39,0.221,2.82,0.00,0.870,
127,03/30/22 12:57, 22, 03, 30, 12, 57,22,4.6,22.7,9.1,59.1,0.0, 2218, 7,33.6, 4, 2,6.21, 50, 134,4.1677090,5.7505880, 255,02,67,2.60,Sniff,9,5,2,13,0,2,1.09,0.435,2.83,0.00,0.435,
128,03/30/22 13:02, 22, 03, 30, 13, 02,25,4.6,44.0,0.0,44.0,0.0, 2218, 8,33.6, 4, 2,6.21, 50, 134,9.1689600,7.4420300, 255,02,68,1.00,Sniff,21,11,0,11,0,3,2.39,0.00,2.39,0.00,0.652,
129,03/30/22 13:07, 22, 03, 30, 13, 07,27,4.6,44.5,0.0,44.5,0.0, 2218, 7,33.6, 5, 2,6.21, 50, 134,10.0025000,7.6778400, 255,02,69,1.00,Sniff,22,12,0,12,0,3,2.61,0.00,2.61,0.00,0.646,
