Serial Number:20555870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2022-06-03 09:56:00,26.25,"4,488", , , , , 
2022-06-03 09:58:00,26.21,"4,756", , , , , 
2022-06-03 10:00:00,26.25,"4,792", , , , , 
2022-06-03 10:02:00,26.25,"4,756", , , , , 
2022-06-03 10:04:00,26.21,"4,349", , , , , 
2022-06-03 10:06:00,26.25,"4,676", , , , , 
2022-06-03 10:08:00,26.21,"3,653", , , , , 
2022-06-03 10:10:00,26.21,"3,703", , , , , 
2022-06-03 10:12:00,26.21,"3,781", , , , , 
2022-06-03 10:14:00,26.30,"3,877", , , , , 
2022-06-03 10:16:00,26.25,"3,909", , , , , 
2022-06-03 10:18:00,26.30,"3,731", , , , , 
2022-06-03 10:20:00,26.30,"3,867", , , , , 
2022-06-03 10:22:00,26.30,"3,497", , , , , 
2022-06-03 10:24:00,26.30,"4,097", , , , , 
2022-06-03 10:26:00,26.34,"3,350", , , , , 
2022-06-03 10:28:00,26.34,"2,796", , , , , 
2022-06-03 10:30:00,26.42,"8,847", , , , , 
2022-06-03 10:32:00,26.42,"5,711", , , , , 
2022-06-03 10:34:00,26.34,"3,063", , , , , 
2022-06-03 10:36:00,26.34,"2,939", , , , , 
2022-06-03 10:38:00,26.30,"2,598", , , , , 
2022-06-03 10:40:00,26.34,"2,090", , , , , 
2022-06-03 10:42:00,26.34,"2,618", , , , , 
2022-06-03 10:44:00,26.47,"3,871", , , , , 
2022-06-03 10:46:00,26.42,"3,601", , , , , 
2022-06-03 10:48:00,26.38,"2,726", , , , , 
2022-06-03 10:50:00,26.38,"3,173", , , , , 
2022-06-03 10:52:00,26.42,"3,136", , , , , 
2022-06-03 10:54:00,26.38,"3,018", , , , , 
2022-06-03 10:56:00,26.42,"2,746", , , , , 
2022-06-03 10:58:00,26.47,"3,567", , , , , 
2022-06-03 11:00:00,26.51,"4,204", , , , , 
2022-06-03 11:02:00,26.51,"3,785", , , , , 
2022-06-03 11:04:00,26.55,"5,430", , , , , 
2022-06-03 11:06:00,26.60,"5,080", , , , , 
2022-06-03 11:08:00,26.60,"5,499", , , , , 
2022-06-03 11:10:00,26.64,"6,152", , , , , 
2022-06-03 11:12:00,26.68,"5,540", , , , , 
2022-06-03 11:14:00,26.64,"5,768", , , , , 
2022-06-03 11:16:00,26.64,"4,207", , , , , 
2022-06-03 11:18:00,26.60,"3,542", , , , , 
2022-06-03 11:20:00,26.60,"3,180", , , , , 
2022-06-03 11:22:00,26.60,"4,413", , , , , 
2022-06-03 11:24:00,26.64,"4,342", , , , , 
2022-06-03 11:26:00,26.64,"4,221", , , , , 
2022-06-03 11:28:00,26.64,"4,097", , , , , 
2022-06-03 11:30:00,26.68,"3,813", , , , , 
2022-06-03 11:32:00,26.72,"3,853", , , , , 
2022-06-03 11:34:00,26.72,"4,093", , , , , 
2022-06-03 11:36:00,26.72,"3,923", , , , , 
2022-06-03 11:38:00,26.72,"3,980", , , , , 
2022-06-03 11:40:00,26.81,"3,423", , , , , 
2022-06-03 11:42:00,26.72,"3,044", , , , , 
2022-06-03 11:44:00,26.77,"3,104", , , , , 
2022-06-03 11:46:00,26.68,"2,595", , , , , 
2022-06-03 11:48:00,26.68,"2,414", , , , , 
2022-06-03 11:50:00,26.68,"2,462", , , , , 
2022-06-03 11:52:00,26.72,"2,203", , , , , 
2022-06-03 11:54:00,26.64,"2,237", , , , , 
2022-06-03 11:56:00,26.72,"2,378", , , , , 
2022-06-03 11:58:00,26.68,"2,269", , , , , 
2022-06-03 12:00:00,26.68,"2,297", , , , , 
2022-06-03 12:02:00,26.72,"2,322", , , , , 
2022-06-03 12:04:00,26.77,"2,336", , , , , 
2022-06-03 12:06:00,26.77,"2,460", , , , , 
2022-06-03 12:08:00,26.72,"2,444", , , , , 
2022-06-03 12:10:00,26.68,"2,502", , , , , 
2022-06-03 12:12:00,26.68,"2,522", , , , , 
2022-06-03 12:14:00,26.68,"2,467", , , , , 
2022-06-03 12:16:00,26.68,"2,283", , , , , 
2022-06-03 12:18:00,26.68,"2,143", , , , , 
2022-06-03 12:20:00,26.72,"2,377", , , , , 
2022-06-03 12:22:00,26.72,"2,283", , , , , 
2022-06-03 12:24:00,26.68,"2,111", , , , , 
2022-06-03 12:26:00,26.68,"2,024", , , , , 
2022-06-03 12:28:00,26.68,"1,875", , , , , 
2022-06-03 12:30:00,26.64,"1,837", , , , , 
2022-06-03 12:32:00,26.68,"1,645", , , , , 
2022-06-03 12:34:00,26.64,"1,825", , , , , 
2022-06-03 12:36:00,26.64,"1,697", , , , , 
2022-06-03 12:38:00,26.60,"1,603", , , , , 
2022-06-03 12:40:00,26.68,"1,500", , , , , 
2022-06-03 12:42:00,26.68,"1,809", , , , , 
2022-06-03 12:44:00,26.60,"1,079", , , , , 
2022-06-03 12:46:00,26.64,"1,187", , , , , 
2022-06-03 12:48:00,26.64,"1,357", , , , , 
2022-06-03 12:50:00,26.68,"1,532", , , , , 
2022-06-03 12:52:00,26.72,"1,610", , , , , 
2022-06-03 12:54:00,26.68,"1,519", , , , , 
2022-06-03 12:56:00,26.72,"1,519", , , , , 
2022-06-03 12:58:00,26.72,"1,960", , , , , 
2022-06-03 13:00:00,26.72,"1,933", , , , , 
2022-06-03 13:02:00,26.72,"1,955", , , , , 
2022-06-03 13:04:00,26.81,"1,782", , , , , 
2022-06-03 13:06:00,26.77,"2,162", , , , , 
2022-06-03 13:08:00,26.77,"2,674", , , , , 
2022-06-03 13:10:00,26.77,"2,393", , , , , 
2022-06-03 13:12:00,26.85,"2,224", , , , , 
2022-06-03 13:14:00,26.81,"2,200", , , , , 
2022-06-03 13:16:00,26.85,"2,421", , , , , 
2022-06-03 13:18:00,26.81,"2,642", , , , , 
2022-06-03 13:20:00,26.85,"2,749", , , , , 
2022-06-03 13:22:00,26.90,"3,041", , , , , 
2022-06-03 13:24:00,26.90,"3,044", , , , , 
2022-06-03 13:26:00,26.94,"3,887", , , , , 
2022-06-03 13:28:00,26.98,"4,193", , , , , 
2022-06-03 13:30:00,26.98,"5,327", , , , , 
2022-06-03 13:32:00,27.07,"5,673", , , , , 
2022-06-03 13:34:00,27.11,"5,937", , , , , 
2022-06-03 13:36:00,27.15,"6,208", , , , , 
2022-06-03 13:38:00,27.07,"6,093", , , , , 
2022-06-03 13:40:00,27.11,"5,245", , , , , 
2022-06-03 13:42:00,27.07,"5,317", , , , , 
2022-06-03 13:44:00,27.11,"5,052", , , , , 
2022-06-03 13:46:00,27.15,"6,100", , , , , 
2022-06-03 13:48:00,27.11,"6,364", , , , , 
2022-06-03 13:50:00,27.07,"5,765", , , , , 
2022-06-03 13:52:00,27.11,"6,556", , , , , 
2022-06-03 13:54:00,27.15,"6,216", , , , , 
2022-06-03 13:56:00,27.15,"6,633", , , , , 
2022-06-03 13:58:00,27.15,"9,513", , , , , 
2022-06-03 14:00:00,27.20,"9,600", , , , , 
2022-06-03 14:02:00,27.15,"7,322", , , , , 
2022-06-03 14:04:00,27.11,"8,023", , , , , 
2022-06-03 14:06:00,27.11,"8,691", , , , , 
2022-06-03 14:08:00,27.11,"8,202", , , , , 
2022-06-03 14:10:00,27.11,"8,492", , , , , 
2022-06-03 14:12:00,27.11,"8,620", , , , , 
2022-06-03 14:14:00,27.11,"8,691", , , , , 
2022-06-03 14:16:00,27.11,"8,479", , , , , 
2022-06-03 14:18:00,27.11,"7,450", , , , , 
2022-06-03 14:20:00,27.11,"6,310", , , , , 
2022-06-03 14:22:00,27.07,"6,308", , , , , 
2022-06-03 14:24:00,27.07,"5,972", , , , , 
2022-06-03 14:26:00,27.07,"5,373", , , , , 
2022-06-03 14:28:00,27.11,"5,307", , , , , 
2022-06-03 14:30:00,27.02,"4,948", , , , , 
2022-06-03 14:32:00,27.02,"4,580", , , , , 
2022-06-03 14:34:00,26.98,"4,384", , , , , 
2022-06-03 14:36:00,27.02,"4,285", , , , , 
2022-06-03 14:38:00,27.02,"5,115", , , , , 
