"Plot Title: Pressure_872_051521"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810872, SEN S/N: 20810872)","Temp, °C (LGR S/N: 20810872, SEN S/N: 20810872)","Water Level, meters (LGR S/N: 20810872)"
1,05/15/21 06:57:39 AM,101.450,23.677,-0.101
2,05/15/21 06:57:42 AM,101.453,23.773,-0.101
3,05/15/21 06:57:45 AM,101.487,23.869,-0.097
4,05/15/21 06:57:48 AM,101.506,23.966,-0.095
5,05/15/21 06:57:51 AM,101.508,24.062,-0.095
6,05/15/21 06:57:54 AM,101.478,24.158,-0.098
7,05/15/21 06:57:57 AM,101.465,24.255,-0.099
8,05/15/21 06:58:00 AM,101.451,24.351,-0.101
9,05/15/21 06:58:03 AM,101.421,24.448,-0.104
10,05/15/21 06:58:06 AM,101.421,24.448,-0.104
11,05/15/21 06:58:09 AM,101.407,24.545,-0.105
12,05/15/21 06:58:12 AM,101.410,24.641,-0.105
13,05/15/21 06:58:15 AM,101.394,24.641,-0.106
14,05/15/21 06:58:18 AM,101.396,24.738,-0.106
15,05/15/21 06:58:21 AM,101.396,24.738,-0.106
16,05/15/21 06:58:24 AM,101.382,24.835,-0.108
17,05/15/21 06:58:27 AM,101.382,24.835,-0.108
18,05/15/21 06:58:30 AM,101.401,24.931,-0.106
19,05/15/21 06:58:33 AM,101.401,24.931,-0.106
20,05/15/21 06:58:36 AM,101.401,24.931,-0.106
21,05/15/21 06:58:39 AM,101.387,25.028,-0.107
22,05/15/21 06:58:42 AM,101.403,25.028,-0.106
23,05/15/21 06:58:45 AM,101.387,25.028,-0.107
24,05/15/21 06:58:48 AM,101.406,25.125,-0.105
25,05/15/21 06:58:51 AM,101.406,25.125,-0.105
26,05/15/21 06:58:54 AM,101.406,25.125,-0.105
27,05/15/21 06:58:57 AM,101.406,25.125,-0.105
28,05/15/21 06:59:00 AM,101.406,25.125,-0.105
29,05/15/21 06:59:03 AM,101.406,25.125,-0.105
30,05/15/21 06:59:06 AM,101.408,25.222,-0.105
31,05/15/21 06:59:09 AM,101.408,25.222,-0.105
32,05/15/21 06:59:12 AM,101.424,25.222,-0.103
33,05/15/21 06:59:15 AM,101.424,25.222,-0.103
34,05/15/21 06:59:18 AM,101.408,25.222,-0.105
35,05/15/21 06:59:21 AM,101.424,25.222,-0.103
36,05/15/21 06:59:24 AM,101.424,25.222,-0.103
37,05/15/21 06:59:27 AM,101.408,25.222,-0.105
38,05/15/21 06:59:30 AM,101.408,25.222,-0.105
39,05/15/21 06:59:33 AM,101.424,25.222,-0.103
40,05/15/21 06:59:36 AM,101.408,25.222,-0.105
41,05/15/21 06:59:39 AM,101.408,25.222,-0.105
42,05/15/21 06:59:42 AM,101.408,25.222,-0.105
43,05/15/21 06:59:45 AM,101.424,25.222,-0.103
44,05/15/21 06:59:48 AM,101.424,25.222,-0.103
45,05/15/21 06:59:51 AM,101.424,25.222,-0.103
46,05/15/21 06:59:54 AM,101.424,25.222,-0.103
47,05/15/21 06:59:57 AM,101.424,25.222,-0.103
48,05/15/21 07:00:00 AM,101.424,25.222,-0.103
49,05/15/21 07:00:03 AM,101.424,25.222,-0.103
50,05/15/21 07:00:06 AM,101.424,25.222,-0.103
51,05/15/21 07:00:09 AM,101.424,25.222,-0.103
52,05/15/21 07:00:12 AM,101.422,25.125,-0.104
53,05/15/21 07:00:15 AM,101.422,25.125,-0.104
54,05/15/21 07:00:18 AM,101.422,25.125,-0.104
55,05/15/21 07:00:21 AM,101.438,25.125,-0.102
56,05/15/21 07:00:24 AM,101.422,25.125,-0.104
57,05/15/21 07:00:27 AM,101.454,25.125,-0.100
58,05/15/21 07:00:30 AM,101.438,25.125,-0.102
59,05/15/21 07:00:33 AM,101.454,25.125,-0.100
60,05/15/21 07:00:36 AM,101.436,25.028,-0.102
61,05/15/21 07:00:39 AM,101.436,25.028,-0.102
62,05/15/21 07:00:42 AM,101.452,25.028,-0.101
63,05/15/21 07:00:45 AM,101.452,25.028,-0.101
64,05/15/21 07:00:48 AM,101.452,25.028,-0.101
65,05/15/21 07:00:51 AM,101.436,25.028,-0.102
66,05/15/21 07:00:54 AM,101.454,25.125,-0.100
67,05/15/21 07:00:57 AM,101.438,25.125,-0.102
68,05/15/21 07:01:00 AM,101.440,25.222,-0.102
69,05/15/21 07:01:03 AM,101.440,25.222,-0.102
70,05/15/21 07:01:06 AM,101.443,25.319,-0.102
71,05/15/21 07:01:09 AM,101.445,25.416,-0.101
72,05/15/21 07:01:12 AM,101.448,25.513,-0.101
73,05/15/21 07:01:15 AM,101.432,25.513,-0.103
74,05/15/21 07:01:18 AM,101.434,25.610,-0.102
75,05/15/21 07:01:21 AM,101.436,25.708,-0.102
76,05/15/21 07:01:24 AM,101.420,25.708,-0.104
77,05/15/21 07:01:27 AM,101.439,25.805,-0.102
78,05/15/21 07:01:30 AM,101.441,25.902,-0.102
79,05/15/21 07:01:33 AM,101.425,25.902,-0.103
80,05/15/21 07:01:36 AM,101.428,26.000,-0.103
81,05/15/21 07:01:39 AM,101.411,26.000,-0.105
82,05/15/21 07:01:42 AM,101.398,26.097,-0.106
83,05/15/21 07:01:45 AM,101.414,26.097,-0.104
84,05/15/21 07:01:48 AM,101.414,26.097,-0.104
85,05/15/21 07:01:51 AM,101.416,26.195,-0.104
86,05/15/21 07:01:54 AM,101.400,26.195,-0.106
87,05/15/21 07:01:57 AM,101.400,26.195,-0.106
88,05/15/21 07:02:00 AM,101.400,26.195,-0.106
89,05/15/21 07:02:03 AM,101.403,26.292,-0.106
90,05/15/21 07:02:06 AM,101.387,26.292,-0.107
91,05/15/21 07:02:09 AM,101.403,26.292,-0.106
92,05/15/21 07:02:12 AM,101.403,26.292,-0.106
93,05/15/21 07:02:15 AM,101.387,26.292,-0.107
94,05/15/21 07:02:18 AM,101.405,26.390,-0.105
95,05/15/21 07:02:21 AM,101.405,26.390,-0.105
96,05/15/21 07:02:24 AM,101.405,26.390,-0.105
97,05/15/21 07:02:27 AM,101.405,26.390,-0.105
98,05/15/21 07:02:30 AM,101.405,26.390,-0.105
99,05/15/21 07:02:33 AM,101.405,26.390,-0.105
100,05/15/21 07:02:36 AM,101.405,26.390,-0.105
101,05/15/21 07:02:39 AM,101.405,26.390,-0.105
102,05/15/21 07:02:42 AM,101.405,26.390,-0.105
103,05/15/21 07:02:45 AM,101.421,26.390,-0.104
