"Plot Title: CT_738_051921"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494738, SEN S/N: 20494738, LBL: <Conduct_Hi>55,000)","Temp, °C (LGR S/N: 20494738, SEN S/N: 20494738, LBL: Temperature)","Specific Conductance, μS/cm (LGR S/N: 20494738)","Salinity, ppt (LGR S/N: 20494738)"
1,05/19/21 06:49:20 AM,0.0,24.05,0.0,0.0123
2,05/19/21 06:49:30 AM,0.0,24.04,0.0,0.0123
3,05/19/21 06:49:40 AM,0.0,24.04,0.0,0.0123
4,05/19/21 06:49:50 AM,0.0,24.04,0.0,0.0123
5,05/19/21 06:50:00 AM,0.0,24.06,0.0,0.0123
6,05/19/21 06:50:10 AM,0.0,24.06,0.0,0.0123
7,05/19/21 06:50:20 AM,0.0,24.07,0.0,0.0123
8,05/19/21 06:50:30 AM,0.0,24.08,0.0,0.0123
9,05/19/21 06:50:40 AM,0.0,24.09,0.0,0.0123
10,05/19/21 06:50:50 AM,0.0,24.10,0.0,0.0123
11,05/19/21 06:51:00 AM,0.0,24.10,0.0,0.0123
12,05/19/21 06:51:10 AM,0.0,24.13,0.0,0.0123
13,05/19/21 06:51:20 AM,0.0,24.13,0.0,0.0123
14,05/19/21 06:51:30 AM,0.0,24.15,0.0,0.0123
15,05/19/21 06:51:40 AM,0.0,24.17,0.0,0.0123
16,05/19/21 06:51:50 AM,0.0,24.16,0.0,0.0123
17,05/19/21 06:52:00 AM,0.0,24.17,0.0,0.0123
18,05/19/21 06:52:10 AM,0.0,24.16,0.0,0.0123
19,05/19/21 06:52:20 AM,0.0,24.16,0.0,0.0123
20,05/19/21 06:52:30 AM,0.0,24.17,0.0,0.0123
21,05/19/21 06:52:40 AM,0.0,24.17,0.0,0.0123
22,05/19/21 06:52:50 AM,0.0,24.18,0.0,0.0123
23,05/19/21 06:53:00 AM,0.0,24.18,0.0,0.0123
24,05/19/21 06:53:10 AM,0.0,24.19,0.0,0.0123
25,05/19/21 06:53:20 AM,0.0,24.19,0.0,0.0123
26,05/19/21 06:53:30 AM,0.0,24.20,0.0,0.0123
27,05/19/21 06:53:40 AM,0.0,24.20,0.0,0.0123
28,05/19/21 06:53:50 AM,0.0,24.20,0.0,0.0123
29,05/19/21 06:54:00 AM,0.0,24.22,0.0,0.0123
30,05/19/21 06:54:10 AM,0.0,24.20,0.0,0.0123
31,05/19/21 06:54:20 AM,0.0,24.22,0.0,0.0123
32,05/19/21 06:54:30 AM,0.0,24.22,0.0,0.0123
33,05/19/21 06:54:40 AM,0.0,24.22,0.0,0.0123
34,05/19/21 06:54:50 AM,0.0,24.23,0.0,0.0123
35,05/19/21 06:55:00 AM,0.0,24.23,0.0,0.0123
36,05/19/21 06:55:10 AM,0.0,24.23,0.0,0.0123
37,05/19/21 06:55:20 AM,0.0,24.23,0.0,0.0123
38,05/19/21 06:55:30 AM,0.0,24.23,0.0,0.0123
39,05/19/21 06:55:40 AM,0.0,24.23,0.0,0.0123
40,05/19/21 06:55:50 AM,0.0,24.23,0.0,0.0123
41,05/19/21 06:56:00 AM,0.0,24.23,0.0,0.0123
42,05/19/21 06:56:10 AM,0.0,24.23,0.0,0.0123
43,05/19/21 06:56:20 AM,0.0,24.23,0.0,0.0123
44,05/19/21 06:56:30 AM,0.0,24.23,0.0,0.0123
45,05/19/21 06:56:40 AM,0.0,24.23,0.0,0.0123
46,05/19/21 06:56:50 AM,0.0,24.23,0.0,0.0123
47,05/19/21 06:57:00 AM,0.0,24.23,0.0,0.0123
48,05/19/21 06:57:10 AM,0.0,24.23,0.0,0.0123
49,05/19/21 06:57:20 AM,0.0,24.23,0.0,0.0123
