"","date","Serial","TempInSitu_logger","E_Conductivity","EC_Cal.1","TempInSitu","EC_Cal.2","Salinity"
"1",2021-05-24 08:00:00,"CT_330_CTD_Casting_052421",23.89,0,40057.9803278688,25.6598360655738,NA,25.191080649622
"2",2021-05-24 08:01:00,"CT_330_CTD_Casting_052421",23.91,0,40057.9803278688,25.6798360655738,NA,25.1801091398475
"3",2021-05-24 08:02:00,"CT_330_CTD_Casting_052421",23.91,0,40057.9803278688,25.6798360655738,NA,25.1801091398475
"4",2021-05-24 08:03:00,"CT_330_CTD_Casting_052421",23.94,0,40057.9803278688,25.7098360655738,NA,25.163666812644
"5",2021-05-24 08:04:00,"CT_330_CTD_Casting_052421",23.95,0,40057.9803278688,25.7198360655738,NA,25.158190016422
"6",2021-05-24 08:05:00,"CT_330_CTD_Casting_052421",23.96,0,40057.9803278688,25.7298360655738,NA,25.1527152083707
"7",2021-05-24 08:06:00,"CT_330_CTD_Casting_052421",23.98,0,40057.9803278688,25.7498360655738,NA,25.1417715529777
"8",2021-05-24 08:07:00,"CT_330_CTD_Casting_052421",24,0,40057.9803278688,25.7698360655738,NA,25.1308358388672
"9",2021-05-24 08:08:00,"CT_330_CTD_Casting_052421",24,0,40057.9803278688,25.7698360655738,NA,25.1308358388672
"10",2021-05-24 08:09:00,"CT_330_CTD_Casting_052421",24.01,0,40057.9803278688,25.7798360655738,NA,25.1253709574208
"11",2021-05-24 08:10:00,"CT_330_CTD_Casting_052421",24.03,0,40057.9803278688,25.7998360655738,NA,25.1144471410071
"12",2021-05-24 08:11:00,"CT_330_CTD_Casting_052421",24.03,0,40057.9803278688,25.7998360655738,NA,25.1144471410071
"13",2021-05-24 08:12:00,"CT_330_CTD_Casting_052421",24.01,0,40057.9803278688,25.7798360655738,NA,25.1253709574208
"14",2021-05-24 08:13:00,"CT_330_CTD_Casting_052421",24.01,0,40057.9803278688,25.7798360655738,NA,25.1253709574208
"15",2021-05-24 08:14:00,"CT_330_CTD_Casting_052421",24.01,0,40057.9803278688,25.7798360655738,NA,25.1253709574208
"16",2021-05-24 08:15:00,"CT_330_CTD_Casting_052421",24.03,0,40057.9803278688,25.7998360655738,NA,25.1144471410071
"17",2021-05-24 08:16:00,"CT_330_CTD_Casting_052421",24.04,0,40057.9803278688,25.8098360655738,NA,25.1089882041457
"18",2021-05-24 08:17:00,"CT_330_CTD_Casting_052421",24.04,0,40057.9803278688,25.8098360655738,NA,25.1089882041457
"19",2021-05-24 08:18:00,"CT_330_CTD_Casting_052421",24.04,0,40057.9803278688,25.8098360655738,NA,25.1089882041457
"20",2021-05-24 08:19:00,"CT_330_CTD_Casting_052421",24.04,0,40057.9803278688,25.8098360655738,NA,25.1089882041457
