#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,03/20/2023 09:46:00,32.39,5939.20,,,,
2,03/20/2023 09:48:00,32.69,6044.16,,,,
3,03/20/2023 09:50:00,32.94,6123.52,,,,
4,03/20/2023 09:52:00,33.25,6218.24,,,,
5,03/20/2023 09:54:00,33.25,6379.52,,,,
6,03/20/2023 09:56:00,33.37,6656.00,,,,
7,03/20/2023 09:58:00,33.37,6845.44,,,,
8,03/20/2023 10:00:00,33.55,6858.24,,,,
9,03/20/2023 10:02:00,33.37,6978.56,,,,
10,03/20/2023 10:04:00,33.37,7242.24,,,,
11,03/20/2023 10:06:00,33.46,7242.24,,,,
12,03/20/2023 10:08:00,33.42,7636.48,,,,
13,03/20/2023 10:10:00,33.50,7746.56,,,,
14,03/20/2023 10:12:00,33.89,7902.72,,,,
15,03/20/2023 10:14:00,34.15,8261.12,,,,
16,03/20/2023 10:16:00,34.27,8622.08,,,,
17,03/20/2023 10:18:00,34.53,8768.00,,,,
18,03/20/2023 10:20:00,34.70,8591.36,,,,
19,03/20/2023 10:22:00,34.83,8657.92,,,,
20,03/20/2023 10:24:00,34.83,8834.56,,,,
21,03/20/2023 10:26:00,34.53,8496.64,,,,
22,03/20/2023 10:28:00,34.36,8350.72,,,,
23,03/20/2023 10:30:00,33.89,8245.76,,,,
24,03/20/2023 10:32:00,33.25,9018.88,,,,
25,03/20/2023 10:34:00,33.20,9607.68,,,,
26,03/20/2023 10:36:00,33.55,9584.64,,,,
27,03/20/2023 10:38:00,33.67,9364.48,,,,
28,03/20/2023 10:40:00,33.55,9474.56,,,,
29,03/20/2023 10:42:00,33.59,9525.76,,,,
30,03/20/2023 10:44:00,33.63,9203.20,,,,
31,03/20/2023 10:46:00,33.76,9694.72,,,,
32,03/20/2023 10:48:00,33.93,9702.40,,,,
33,03/20/2023 10:50:00,34.23,10091.52,,,,
34,03/20/2023 10:52:00,34.45,10429.44,,,,
35,03/20/2023 10:54:00,34.75,10437.12,,,,
36,03/20/2023 10:56:00,35.00,10283.52,,,,
37,03/20/2023 10:58:00,35.18,10460.16,,,,
38,03/20/2023 11:00:00,35.35,10437.12,,,,
39,03/20/2023 11:02:00,35.35,9651.20,,,,
40,03/20/2023 11:04:00,35.39,9945.60,,,,
41,03/20/2023 11:06:00,35.43,10150.40,,,,
42,03/20/2023 11:08:00,35.52,9914.88,,,,
43,03/20/2023 11:10:00,35.65,9600.00,,,,
44,03/20/2023 11:12:00,35.56,9164.80,,,,
45,03/20/2023 11:14:00,35.35,8857.60,,,,
46,03/20/2023 11:16:00,35.18,8645.12,,,,
47,03/20/2023 11:18:00,34.88,8268.80,,,,
48,03/20/2023 11:20:00,34.49,8532.48,,,,
49,03/20/2023 11:22:00,34.49,8952.32,,,,
50,03/20/2023 11:24:00,34.40,9218.56,,,,
51,03/20/2023 11:26:00,33.93,9489.92,,,,
52,03/20/2023 11:28:00,33.46,9569.28,,,,
53,03/20/2023 11:30:00,33.25,9489.92,,,,
54,03/20/2023 11:32:00,33.29,9159.68,,,,
55,03/20/2023 11:34:00,33.25,8931.84,,,,
56,03/20/2023 11:36:00,33.07,8724.48,,,,
57,03/20/2023 11:38:00,32.90,8622.08,,,,
58,03/20/2023 11:40:00,32.69,8599.04,,,,
59,03/20/2023 11:42:00,32.64,8460.80,,,,
60,03/20/2023 11:44:00,32.34,8115.20,,,,
61,03/20/2023 11:46:00,32.13,7989.76,,,,
62,03/20/2023 11:48:00,32.04,8547.84,,,,
63,03/20/2023 11:50:00,32.13,8363.52,,,,
64,03/20/2023 11:52:00,32.34,7672.32,,,,
