#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,03/20/2023 09:42:00,31.19,5803.52,,,,
2,03/20/2023 09:44:00,31.27,5798.40,,,,
3,03/20/2023 09:46:00,31.27,6540.80,,,,
4,03/20/2023 09:48:00,31.53,6648.32,,,,
5,03/20/2023 09:50:00,31.83,6709.76,,,,
6,03/20/2023 09:52:00,31.96,6812.16,,,,
7,03/20/2023 09:54:00,32.04,6955.52,,,,
8,03/20/2023 09:56:00,32.09,7216.64,,,,
9,03/20/2023 09:58:00,32.13,7375.36,,,,
10,03/20/2023 10:00:00,32.17,7421.44,,,,
11,03/20/2023 10:02:00,32.17,7505.92,,,,
12,03/20/2023 10:04:00,32.13,7787.52,,,,
13,03/20/2023 10:06:00,32.09,7843.84,,,,
14,03/20/2023 10:08:00,32.13,8261.12,,,,
15,03/20/2023 10:10:00,32.22,8325.12,,,,
16,03/20/2023 10:12:00,32.43,8537.60,,,,
17,03/20/2023 10:14:00,32.69,8844.80,,,,
18,03/20/2023 10:16:00,32.82,9164.80,,,,
19,03/20/2023 10:18:00,32.86,9420.80,,,,
20,03/20/2023 10:20:00,32.82,9274.88,,,,
21,03/20/2023 10:22:00,32.94,9397.76,,,,
22,03/20/2023 10:24:00,32.90,9602.56,,,,
23,03/20/2023 10:26:00,32.60,9141.76,,,,
24,03/20/2023 10:28:00,32.56,8967.68,,,,
25,03/20/2023 10:30:00,32.39,8801.28,,,,
26,03/20/2023 10:32:00,32.09,9034.24,,,,
27,03/20/2023 10:34:00,32.17,9566.72,,,,
28,03/20/2023 10:36:00,32.30,9500.16,,,,
29,03/20/2023 10:38:00,32.30,9420.80,,,,
30,03/20/2023 10:40:00,32.22,9405.44,,,,
31,03/20/2023 10:42:00,32.43,9405.44,,,,
32,03/20/2023 10:44:00,32.47,9259.52,,,,
33,03/20/2023 10:46:00,32.60,9594.88,,,,
34,03/20/2023 10:48:00,32.60,9551.36,,,,
35,03/20/2023 10:50:00,32.69,9922.56,,,,
36,03/20/2023 10:52:00,32.69,10280.96,,,,
37,03/20/2023 10:54:00,32.94,10280.96,,,,
38,03/20/2023 10:56:00,33.12,10119.68,,,,
39,03/20/2023 10:58:00,33.29,10229.76,,,,
40,03/20/2023 11:00:00,33.33,10186.24,,,,
41,03/20/2023 11:02:00,33.33,9566.72,,,,
42,03/20/2023 11:04:00,33.42,9733.12,,,,
43,03/20/2023 11:06:00,33.55,9953.28,,,,
44,03/20/2023 11:08:00,33.80,9674.24,,,,
45,03/20/2023 11:10:00,33.93,9377.28,,,,
46,03/20/2023 11:12:00,33.63,8983.04,,,,
47,03/20/2023 11:14:00,33.25,8675.84,,,,
48,03/20/2023 11:16:00,32.99,8407.04,,,,
49,03/20/2023 11:18:00,32.77,8033.28,,,,
50,03/20/2023 11:20:00,32.64,8304.64,,,,
51,03/20/2023 11:22:00,32.82,8755.20,,,,
52,03/20/2023 11:24:00,32.73,9003.52,,,,
53,03/20/2023 11:26:00,32.52,9172.48,,,,
54,03/20/2023 11:28:00,32.30,9244.16,,,,
55,03/20/2023 11:30:00,32.17,9090.56,,,,
56,03/20/2023 11:32:00,32.17,8801.28,,,,
57,03/20/2023 11:34:00,32.22,8565.76,,,,
58,03/20/2023 11:36:00,32.17,8368.64,,,,
59,03/20/2023 11:38:00,32.00,8268.80,,,,
60,03/20/2023 11:40:00,31.92,8296.96,,,,
61,03/20/2023 11:42:00,31.92,8151.04,,,,
62,03/20/2023 11:44:00,31.74,7882.24,,,,
63,03/20/2023 11:46:00,31.66,7859.20,,,,
64,03/20/2023 11:48:00,31.61,8261.12,,,,
65,03/20/2023 11:50:00,31.61,8033.28,,,,
66,03/20/2023 11:52:00,31.74,7293.44,,,,
67,03/20/2023 11:54:00,31.74,6863.36,,,,
68,03/20/2023 11:56:00,31.57,6044.16,,,,
69,03/20/2023 11:58:00,31.36,5803.52,,,,
70,03/20/2023 12:00:00,31.23,6464.00,,,,
71,03/20/2023 12:02:00,31.27,6630.40,,,,
72,03/20/2023 12:04:00,31.23,7057.92,,,,
73,03/20/2023 12:06:00,31.31,6781.44,,,,
74,03/20/2023 12:08:00,31.49,6955.52,,,,
75,03/20/2023 12:10:00,31.49,6976.00,,,,
76,03/20/2023 12:12:00,31.49,7045.12,,,,
77,03/20/2023 12:14:00,31.44,6845.44,,,,
78,03/20/2023 12:16:00,31.31,6786.56,,,,
79,03/20/2023 12:18:00,31.27,7006.72,,,,
80,03/20/2023 12:20:00,31.44,7564.80,,,,
81,03/20/2023 12:22:00,31.40,8122.88,,,,
82,03/20/2023 12:24:00,31.57,7882.24,,,,
83,03/20/2023 12:26:00,31.57,8174.08,,,,
84,03/20/2023 12:28:00,31.49,7779.84,,,,
85,03/20/2023 12:30:00,31.61,7454.72,,,,
86,03/20/2023 12:32:00,31.79,7557.12,,,,
87,03/20/2023 12:34:00,31.70,8020.48,,,,
88,03/20/2023 12:36:00,31.79,7969.28,,,,
89,03/20/2023 12:38:00,31.83,7669.76,,,,
90,03/20/2023 12:40:00,31.83,7216.64,,,,
91,03/20/2023 12:42:00,31.74,5898.24,,,,
92,03/20/2023 12:44:00,31.53,6405.12,,,,
93,03/20/2023 12:46:00,31.53,6786.56,,,,
94,03/20/2023 12:48:00,31.74,7091.20,,,,
95,03/20/2023 12:50:00,31.70,6896.64,,,,
96,03/20/2023 12:52:00,31.61,6243.84,,,,
97,03/20/2023 12:54:00,31.53,5857.28,,,,
98,03/20/2023 12:56:00,31.31,5634.56,,,,
99,03/20/2023 12:58:00,31.40,5409.28,,,,
100,03/20/2023 13:00:00,31.57,5324.80,,,,
101,03/20/2023 13:02:00,31.66,5198.08,,,,
102,03/20/2023 13:04:00,31.74,5194.24,,,,
103,03/20/2023 13:06:00,31.83,5034.24,,,,
104,03/20/2023 13:08:00,31.61,4702.72,,,,
105,03/20/2023 13:10:00,31.53,4651.52,,,,
106,03/20/2023 13:12:00,31.44,4578.56,,,,
107,03/20/2023 13:14:00,31.53,4695.04,,,,
108,03/20/2023 13:16:00,31.40,4659.20,,,,
109,03/20/2023 13:18:00,31.14,4663.04,,,,
110,03/20/2023 13:20:00,31.19,4542.72,,,,
111,03/20/2023 13:22:00,31.10,4659.20,,,,
112,03/20/2023 13:24:00,31.06,4720.64,,,,
113,03/20/2023 13:26:00,33.16,53186.56,,,,
114,03/20/2023 13:28:00,31.23,193.20,,,,
115,03/20/2023 13:30:00,27.80,135.56,,,,
116,03/20/2023 13:32:00,25.74,154.72,,,,
117,03/20/2023 13:34:00,24.41,154.72,,,,
118,03/20/2023 13:36:00,23.81,129.08,,,,
119,03/20/2023 13:38:00,23.38,149.24,,,,
120,03/20/2023 13:40:00,23.03,148.32,,,,
121,03/20/2023 13:42:00,22.73,148.32,,,,
122,03/20/2023 13:44:00,22.43,147.40,,,,
123,03/20/2023 13:46:00,22.22,147.40,,,,
124,03/20/2023 13:48:00,22.05,148.32,,,,
125,03/20/2023 13:50:00,21.92,147.40,,,,
126,03/20/2023 13:52:00,21.79,144.68,,,,
127,03/20/2023 13:54:00,21.62,127.24,,,,
128,03/20/2023 13:56:00,22.43,80547.84,,,,
129,03/20/2023 13:58:00,25.57,567.36,,,,
130,03/20/2023 14:00:00,26.38,309.44,,,,
131,03/20/2023 14:02:00,25.78,183.60,,,,
132,03/20/2023 14:04:00,25.27,374.56,,,,
133,03/20/2023 14:06:00,24.92,218.48,,,,
134,03/20/2023 14:08:00,24.66,828.80,,,,
135,03/20/2023 14:10:00,24.45,43.34,,,,
136,03/20/2023 14:12:00,24.88,44.96,,,,
137,03/20/2023 14:14:00,25.69,48.70,,,,
138,03/20/2023 14:16:00,26.04,483.20,,,,
