"Plot Title: Pressure_870_HighSGD"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810870, SEN S/N: 20810870)","Temp, °C (LGR S/N: 20810870, SEN S/N: 20810870)"
1,06/05/22 07:28:00 AM,101.214,28.655
2,06/05/22 07:32:00 AM,101.238,28.258
3,06/05/22 07:36:00 AM,101.229,27.961
4,06/05/22 07:40:00 AM,101.241,27.764
5,06/05/22 07:44:00 AM,101.523,27.567
6,06/05/22 07:48:00 AM,101.753,27.468
7,06/05/22 07:52:00 AM,101.747,27.272
8,06/05/22 07:56:00 AM,101.762,27.173
9,06/05/22 08:00:00 AM,101.777,27.075
10,06/05/22 08:04:00 AM,101.774,26.977
11,06/05/22 08:08:00 AM,101.484,26.879
12,06/05/22 08:12:00 AM,101.284,26.781
13,06/05/22 08:16:00 AM,101.801,26.683
14,06/05/22 08:20:00 AM,101.783,26.683
15,06/05/22 08:24:00 AM,101.727,26.585
16,06/05/22 08:28:00 AM,101.745,26.585
17,06/05/22 08:32:00 AM,101.709,26.585
18,06/05/22 08:36:00 AM,101.760,26.488
19,06/05/22 08:40:00 AM,101.760,26.488
20,06/05/22 08:44:00 AM,101.796,26.488
21,06/05/22 08:48:00 AM,101.789,26.879
22,06/05/22 08:52:00 AM,101.777,27.075
23,06/05/22 08:56:00 AM,101.798,27.173
24,06/05/22 09:00:00 AM,101.798,27.173
25,06/05/22 09:04:00 AM,101.789,27.468
26,06/05/22 09:08:00 AM,103.526,27.272
27,06/05/22 09:12:00 AM,103.714,26.977
28,06/05/22 09:16:00 AM,101.810,26.977
29,06/05/22 09:20:00 AM,101.819,27.272
30,06/05/22 09:24:00 AM,101.801,27.272
31,06/05/22 09:28:00 AM,103.897,27.075
32,06/05/22 09:32:00 AM,103.666,27.173
33,06/05/22 09:36:00 AM,103.918,27.173
34,06/05/22 09:40:00 AM,103.900,27.173
35,06/05/22 09:44:00 AM,103.759,27.272
36,06/05/22 09:48:00 AM,103.942,27.370
37,06/05/22 09:52:00 AM,103.999,27.468
38,06/05/22 09:56:00 AM,103.876,27.567
39,06/05/22 10:00:00 AM,101.702,27.567
40,06/05/22 10:04:00 AM,101.803,28.555
41,06/05/22 10:08:00 AM,101.782,29.652
42,06/05/22 10:12:00 AM,103.913,30.558
43,06/05/22 10:16:00 AM,104.470,28.159
44,06/05/22 10:20:00 AM,104.371,27.862
45,06/05/22 10:24:00 AM,104.839,27.862
46,06/05/22 10:28:00 AM,104.479,27.862
47,06/05/22 10:32:00 AM,104.497,27.862
48,06/05/22 10:36:00 AM,104.677,27.862
49,06/05/22 10:40:00 AM,104.551,27.862
