7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1628481180, +2.97, +25.570,  +2.29674, -96.000, -1104.000, -352.000
1628481240, +2.97, +25.670,  +1.34608, -80.000, -1120.000, -320.000
1628481300, +2.97, +25.695,  +2.86341, +1020.000, -36.000, +324.000
1628481360, +2.97, +25.745,  +2.26577, +1049.000, -25.000, +291.000
1628481420, +2.97, +25.745,  +2.11713, +1006.000, -32.000, +336.000
1628481480, +2.97, +25.745,  +1.82296, +1007.000, -33.000, +335.000
1628481540, +2.97, +25.686,  +1.47304, +1072.000, -16.000, +292.000
1628481600, +2.97, +25.661,  +1.13861, +1007.000, -36.000, +335.000
1628481660, +2.97, +25.620,  +0.84444, +1063.000, -20.000, +308.000
1628481720, +2.97, +25.578,  +0.02384, +1024.000, +176.000, +281.000
1628481780, +2.97, +25.520,  +0.01146, +1032.000, +212.000, +316.000
1628481840, +2.97, +25.470,  -0.01951, +1063.000, +232.000, +259.000
1628481900, +2.97, +25.462,  -0.02261, +1038.000, +232.000, +268.000
1628481960, +2.97, +25.437,  +0.05171, +1080.000, +200.000, +344.000
1628482020, +2.97, +25.412,  -0.09383, +1020.000, +134.000, +368.000
1628482080, +2.97, +25.404,  -0.03189, +1030.000, +62.000, +268.000
1628482140, +2.97, +25.412,  +0.07029, +993.000, +275.000, +206.000
1628482200, +2.97, +25.404,  +0.03004, +1072.000, +184.000, +392.000
1628482260, +2.97, +25.404,  -0.00712, +1043.000, +208.000, +310.000
1628482320, +2.97, +25.387,  +0.01765, +1016.000, +206.000, +291.000
1628482380, +2.97, +25.396,  -0.00712, +1075.000, +240.000, +216.000
1628482440, +2.97, +25.404,  -0.08144, +1072.000, +240.000, +272.000
1628482500, +2.97, +25.404,  +0.05791, +1112.000, -120.000, +152.000
1628482560, +2.97, +25.396,  -0.06905, +1088.000, +96.000, +227.000
1628482620, +2.97, +25.421,  +0.10126, +1040.000, +64.000, +332.000
1628482680, +2.97, +25.462,  -0.03189, +1044.000, +70.000, +321.000
1628482740, +2.97, +25.553,  -0.04428, +1001.000, +56.000, +335.000
1628482800, +2.97, +25.637,  -0.04118, +1028.000, +64.000, +336.000
1628482860, +2.97, +25.736,  -0.03189, +1006.000, +56.000, +335.000
1628482920, +2.97, +25.828,  -0.00403, +1006.000, +57.000, +334.000
1628482980, +2.97, +25.944,  -0.07215, +1001.000, +57.000, +332.000
1628483040, +2.97, +26.018,  +0.00217, +1110.000, +55.000, +223.000
1628483100, +2.97, +26.110,  -0.07834, +1103.000, +100.000, +176.000
1628483160, +2.97, +26.193,  -0.07834, +1095.000, +96.000, +204.000
1628483220, +2.97, +26.242,  -0.00403, +1000.000, -124.000, +216.000
