7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1628567580, +2.96, +27.597,  +1.37395, +1004.000, +116.000, +316.000
1628567640, +2.96, +27.589,  +1.11694, +1073.000, +152.000, +232.000
1628567700, +2.96, +27.597,  +0.94663, +996.000, +118.000, +313.000
1628567760, +2.96, +27.597,  +0.83825, +1060.000, +144.000, +268.000
1628567820, +2.96, +27.573,  +0.64626, +1091.000, +164.000, +184.000
1628567880, +2.96, +27.589,  +0.49762, +1054.000, +140.000, +280.000
1628567940, +2.96, +27.581,  +0.42950, +996.000, +120.000, +312.000
1628568000, +2.96, +27.573,  +0.34279, +1064.000, +144.000, +257.000
1628568060, +2.96, +27.581,  +0.30254, +1062.000, +144.000, +264.000
1628568120, +2.96, +27.573,  +0.23131, +1016.000, +124.000, +316.000
1628568180, +2.96, +27.556,  +0.25299, +1062.000, +144.000, +263.000
1628568240, +2.96, +27.565,  +0.06720, +1070.000, +152.000, +244.000
1628568300, +2.96, +27.581,  +0.11984, +1063.000, +147.000, +262.000
1628568360, +2.96, +27.573,  -0.03809, +1072.000, +152.000, +246.000
1628568420, +2.96, +27.548,  +0.03623, +1063.000, +147.000, +259.000
1628568480, +2.96, +27.523,  +0.00217, +1080.000, +158.000, +224.000
1628568540, +2.96, +27.548,  -0.00093, +1083.000, +156.000, +208.000
1628568600, +2.96, +27.532,  +0.03313, +1059.000, +144.000, +272.000
1628568660, +2.96, +27.540,  -0.02880, +1067.000, +152.000, +248.000
1628568720, +2.96, +27.548,  -0.12789, +1059.000, +144.000, +271.000
1628568780, +2.96, +27.532,  +0.02694, +1081.000, +161.000, +208.000
1628568840, +2.96, +27.548,  -0.02880, +1048.000, +136.000, +295.000
1628568900, +2.96, +27.523,  +0.02384, +1095.000, +166.000, +168.000
1628568960, +2.96, +27.523,  -0.07215, +1105.000, +156.000, +142.000
1628569020, +2.96, +27.523,  -0.08763, +1096.000, +167.000, +163.000
1628569080, +2.96, +27.532,  -0.01332, +1088.000, +163.000, +195.000
1628569140, +2.96, +27.515,  +0.07649, +1063.000, +147.000, +260.000
1628569200, +2.96, +27.515,  -0.04738, +1055.000, +140.000, +281.000
1628569260, +2.96, +27.523,  +0.00217, +1080.000, +158.000, +219.000
1628569320, +2.96, +27.507,  -0.06596, +1063.000, +144.000, +264.000
1628569380, +2.96, +27.507,  -0.04428, +1065.000, +152.000, +256.000
1628569440, +2.96, +27.523,  -0.07525, +1080.000, +160.000, +214.000
1628569500, +2.96, +27.499,  +0.00217, +1080.000, +153.000, +220.000
1628569560, +2.96, +27.515,  -0.06286, +1072.000, +152.000, +238.000
1628569620, +2.96, +27.515,  -0.02880, +1072.000, +152.000, +240.000
1628569680, +2.96, +27.490,  -0.01641, +1072.000, +152.000, +240.000
1628569740, +2.96, +27.507,  -0.03189, +1100.000, +163.000, +156.000
1628569800, +2.96, +27.515,  +0.02694, +1065.000, +147.000, +260.000
1628569860, +2.96, +27.507,  -0.05047, +1063.000, +144.000, +264.000
1628569920, +2.96, +27.515,  -0.02261, +1052.000, +140.000, +284.000
1628569980, +2.96, +27.499,  -0.13408, +1052.000, +140.000, +286.000
1628570040, +2.96, +27.499,  -0.04428, +1084.000, +160.000, +204.000
1628570100, +2.96, +27.507,  -0.13718, +1080.000, +158.000, +220.000
1628570160, +2.96, +27.499,  -0.01332, +1072.000, +152.000, +249.000
1628570220, +2.96, +27.490,  -0.03189, +1081.000, +160.000, +216.000
1628570280, +2.96, +27.499,  -0.01022, +1080.000, +156.000, +220.000
1628570340, +2.96, +27.482,  +0.04862, +1075.000, +152.000, +231.000
1628570400, +2.96, +27.490,  +0.00526, +1075.000, +156.000, +227.000
1628570460, +2.96, +27.507,  -0.01951, +1076.000, +152.000, +230.000
1628570520, +2.96, +27.482,  -0.02261, +1086.000, +160.000, +200.000
1628570580, +2.96, +27.474,  +0.02075, +1065.000, +150.000, +252.000
1628570640, +2.96, +27.490,  -0.10931, +1072.000, +152.000, +243.000
1628570700, +2.96, +27.490,  -0.03809, +1084.000, +160.000, +208.000
1628570760, +2.96, +27.482,  -0.05976, +1075.000, +152.000, +236.000
1628570820, +2.96, +27.490,  -0.06286, +1086.000, +160.000, +208.000
1628570880, +2.96, +27.474,  +0.01146, +1078.000, +156.000, +227.000
1628570940, +2.96, +27.466,  -0.06286, +1059.000, +144.000, +271.000
1628571000, +2.96, +27.482,  -0.04118, +1080.000, +160.000, +206.000
1628571060, +2.96, +27.466,  -0.07215, +1096.000, +168.000, +160.000
1628571120, +2.96, +27.466,  -0.02261, +1080.000, +160.000, +211.000
1628571180, +2.96, +27.474,  -0.04118, +1078.000, +156.000, +224.000
1628571240, +2.96, +27.474,  +0.03623, +1107.000, +156.000, +144.000
1628571300, +2.96, +27.449,  -0.02261, +1099.000, +168.000, +168.000
1628571360, +2.96, +27.466,  -0.04738, +1081.000, +160.000, +208.000
1628571420, +2.96, +27.457,  -0.02880, +999.000, +120.000, +313.000
1628571480, +2.96, +27.457,  -0.03189, +1008.000, +120.000, +320.000
1628571540, +2.96, +27.466,  -0.03499, +1102.000, +166.000, +156.000
1628571600, +2.96, +27.457,  -0.11550, +1039.000, +131.000, +304.000
1628571660, +2.96, +27.449,  -0.02261, +1100.000, +166.000, +158.000
1628571720, +2.96, +27.466,  -0.06286, +1080.000, +156.000, +224.000
1628571780, +2.96, +27.466,  -0.04428, +1088.000, +161.000, +192.000
1628571840, +2.96, +27.466,  -0.04118, +1089.000, +166.000, +180.000
1628571900, +2.96, +27.449,  +0.00836, +1078.000, +158.000, +225.000
1628571960, +2.96, +27.457,  +0.01455, +999.000, +115.000, +316.000
1628572020, +2.96, +27.457,  +0.06410, +999.000, +120.000, +312.000
