7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1628462820, +2.97, +27.770, +220.47581, +975.000, +224.000, +179.000
1628462880, +2.97, +27.787, +211.21084, +975.000, +224.000, +179.000
1628462940, +2.97, +27.787, +211.28206, +1004.000, +238.000, +176.000
1628463000, +2.97, +27.779, +201.73529, +979.000, +225.000, +184.000
1628463060, +2.97, +27.787, +194.76488, +1030.000, +248.000, +144.000
1628463120, +2.97, +27.795, +206.40494, +1080.000, +231.000, +55.000
1628463180, +2.97, +27.787, +258.39038, +972.000, +224.000, +182.000
1628463240, +2.97, +27.803, +265.77264, +976.000, +224.000, +180.000
1628463300, +2.97, +27.820, +231.33863, +1015.000, +243.000, +160.000
1628463360, +2.97, +27.820, +231.98272, +988.000, +231.000, +182.000
1628463420, +2.97, +27.820, +232.75686, +975.000, +225.000, +182.000
1628463480, +2.97, +27.828, +242.50800, +992.000, +230.000, +179.000
1628463540, +2.97, +27.828, +305.78359, +1084.000, +256.000,  +0.000
1628463600, +2.97, +27.844, +296.25850, +975.000, +224.000, +179.000
1628463660, +2.97, +27.836, +286.60955, +979.000, +225.000, +179.000
1628463720, +2.97, +27.861, +307.35356, +975.000, +224.000, +179.000
1628463780, +2.97, +27.836, +351.71212, +976.000, +224.000, +177.000
1628463840, +2.97, +27.853, +424.47563, +975.000, +224.000, +179.000
1628463900, +2.97, +27.836, +279.95189, +979.000, +224.000, +179.000
1628463960, +2.97, +27.861, +255.32476, +1064.000, +278.000, +44.000
1628464020, +2.97, +27.877, +275.11193, +975.000, +224.000, +182.000
1628464080, +2.97, +27.894, +281.69217, +975.000, +223.000, +176.000
1628464140, +2.97, +27.894, +285.60625, +976.000, +224.000, +182.000
1628464200, +2.97, +27.902, +304.50161, +975.000, +224.000, +182.000
1628464260, +2.97, +27.910, +274.46475, +975.000, +224.000, +179.000
1628464320, +2.97, +27.918, +254.68067, +1064.000, +278.000, +48.000
1628464380, +2.97, +27.910, +184.09405, +1084.000, +249.000,  +6.000
1628464440, +2.97, +27.918, +161.33726, +975.000, +224.000, +179.000
1628464500, +2.97, +27.918, +145.47347, +975.000, +224.000, +179.000
1628464560, +2.97, +27.927, +240.49213, +975.000, +224.000, +179.000
1628464620, +2.97, +27.935, +293.64808, +975.000, +224.000, +182.000
1628464680, +2.97, +27.943, +172.73579, +1080.000, +232.000, +47.000
1628464740, +2.97, +27.959, +180.58872, +975.000, +224.000, +179.000
1628464800, +2.97, +27.959, +169.17781, +974.000, +224.000, +179.000
1628464860, +2.97, +27.951, +167.12168, +974.000, +227.000, +179.000
1628464920, +2.97, +27.968, +152.87120, +975.000, +224.000, +182.000
1628464980, +2.97, +27.984, +146.26000, +975.000, +224.000, +179.000
1628465040, +2.97, +27.984, +151.86791, +976.000, +224.000, +182.000
1628465100, +2.97, +27.984, +153.83114, +1080.000, +248.000, +12.000
1628465160, +2.97, +27.984, +165.53933, +984.000, +227.000, +180.000
1628465220, +2.97, +28.009, +150.29485, +1083.000, +235.000, +46.000
1628465280, +2.97, +28.017, +138.66408, +974.000, +224.000, +182.000
1628465340, +2.97, +28.025, +139.74169, +975.000, +224.000, +179.000
1628465400, +2.97, +28.033, +134.00062, +975.000, +224.000, +184.000
1628465460, +2.97, +28.050, +140.86265, +976.000, +222.000, +182.000
1628465520, +2.97, +28.042, +153.20873, +1048.000, +264.000, +92.000
1628465580, +2.97, +28.066, +158.37693, +1054.000, +270.000, +72.000
1628465640, +2.97, +28.074, +159.18204, +1072.000, +280.000, +28.000
1628465700, +2.97, +28.083, +155.33608, +975.000, +224.000, +180.000
1628465760, +2.97, +28.083, +151.76882, +1080.000, +256.000,  +6.000
1628465820, +2.97, +28.099, +162.50467, +1064.000, +275.000, +40.000
1628465880, +2.97, +28.058, +167.45921, +1080.000, +230.000, +47.000
1628465940, +2.97, +28.091, +172.10718, +977.000, +224.000, +179.000
1628466000, +2.97, +28.099, +185.23360, +1048.000, +262.000, +99.000
1628466060, +2.97, +28.099, +236.31484, +1059.000, +272.000, +67.000
1628466120, +2.97, +28.091, +257.40567, +975.000, +225.000, +177.000
1628466180, +2.97, +28.091, +264.40085, +1080.000, +264.000,  +0.000
1628466240, +2.97, +28.099, +235.64907, +1080.000, +280.000,  +1.000
1628466300, +2.97, +28.099, +232.95195, +1064.000, +276.000, +40.000
1628466360, +2.97, +28.115, +229.65718, +1072.000, +284.000, +12.000
1628466420, +2.97, +28.107, +196.31317, +1080.000, +272.000,  +0.000
1628466480, +2.97, +28.132, +188.94950, +1055.000, +271.000, +76.000
1628466540, +2.97, +28.107, +210.90737, +1052.000, +268.000, +80.000
1628466600, +2.97, +28.107, +227.59486, +979.000, +227.000, +182.000
1628466660, +2.97, +28.115, +233.11916, +1080.000, +272.000,  +0.000
1628466720, +2.97, +28.107, +227.05296, +1081.000, +259.000,  +6.000
1628466780, +2.97, +28.107, +233.06033, +1084.000, +260.000,  +0.000
1628466840, +2.97, +28.115, +232.13135, +1068.000, +280.000, +28.000
1628466900, +2.97, +28.132, +238.53818, +1056.000, +272.000, +72.000
1628466960, +2.97, +28.124, +229.48687, +1068.000, +276.000, +30.000
1628467020, +2.97, +28.107, +240.01835, +1055.000, +270.000, +76.000
1628467080, +2.97, +28.124, +263.66077, +975.000, +223.000, +179.000
1628467140, +2.97, +28.132, +259.16453, +1080.000, +232.000, +43.000
1628467200, +2.97, +28.132, +225.80194, +1048.000, +268.000, +88.000
1628467260, +2.97, +28.140, +199.73799, +1084.000, +256.000,  +2.000
1628467320, +2.97, +28.124, +187.88118, +1080.000, +259.000,  +4.000
1628467380, +2.97, +28.148, +200.54620, +975.000, +224.000, +182.000
1628467440, +2.97, +28.156, +217.46593, +975.000, +224.000, +182.000
1628467500, +2.97, +28.156, +223.99353, +1080.000, +272.000,  -8.000
1628467560, +2.97, +28.165, +206.25940, +1084.000, +248.000,  +6.000
1628467620, +2.97, +28.156, +186.13780, +1080.000, +264.000,  +0.000
1628467680, +2.97, +28.148, +168.57707, +975.000, +224.000, +179.000
1628467740, +2.97, +28.165, +153.01674, +1062.000, +275.000, +56.000
1628467800, +2.97, +28.165, +143.81989, +975.000, +224.000, +179.000
1628467860, +2.97, +28.165, +146.95054, +1080.000, +256.000,  +2.000
1628467920, +2.97, +28.165, +163.53274, +1075.000, +280.000, +12.000
1628467980, +2.97, +28.156, +180.74665, +1063.000, +278.000, +48.000
1628468040, +2.97, +28.148, +190.38631, +1080.000, +272.000,  +0.000
1628468100, +2.97, +28.156, +225.21359, +1009.000, +240.000, +166.000
1628468160, +2.97, +28.156, +244.36595, +1008.000, +240.000, +168.000
1628468220, +2.97, +28.148, +241.66573, +1062.000, +272.000, +56.000
1628468280, +2.97, +28.148, +241.00616, +974.000, +224.000, +179.000
1628468340, +2.97, +28.156, +239.59412, +1080.000, +275.000,  +0.000
1628468400, +2.97, +28.132, +229.89562, +1056.000, +270.000, +78.000
1628468460, +2.97, +28.148, +225.99702, +1067.000, +280.000, +34.000
1628468520, +2.97, +28.140, +238.54438, +1078.000, +280.000,  +4.000
1628468580, +2.97, +28.140, +237.61540, +1054.000, +272.000, +76.000
1628468640, +2.97, +28.140, +235.19387, +1055.000, +268.000, +80.000
1628468700, +2.97, +28.148, +246.39422, +1055.000, +270.000, +78.000
1628468760, +2.97, +28.140, +256.04627, +975.000, +224.000, +177.000
1628468820, +2.97, +28.148, +243.16138, +1048.000, +264.000, +96.000
1628468880, +2.97, +28.124, +236.69881, +1084.000, +272.000,  +0.000
1628468940, +2.97, +28.140, +229.28869, +1075.000, +280.000,  +8.000
1628469000, +2.97, +28.148, +209.72448, +1071.000, +284.000, +24.000
1628469060, +2.97, +28.148, +213.41251, +1052.000, +268.000, +88.000
1628469120, +2.97, +28.124, +220.85669, +1049.000, +268.000, +88.000
1628469180, +2.97, +28.140, +217.55574, +1059.000, +272.000, +64.000
1628469240, +2.97, +28.132, +216.57721, +1064.000, +280.000, +48.000
1628469300, +2.97, +28.132, +210.54197, +1084.000, +260.000,  +0.000
1628469360, +2.97, +28.115, +216.70108, +1084.000, +240.000, +19.000
1628469420, +2.97, +28.107, +217.33897, +1059.000, +272.000, +62.000
1628469480, +2.97, +28.132, +206.89110, +1059.000, +272.000, +60.000
1628469540, +2.97, +28.132, +193.04008, +1072.000, +280.000, +16.000
1628469600, +2.97, +28.132, +201.96134, +1080.000, +263.000,  +0.000
1628469660, +2.97, +28.115, +206.55357, +1072.000, +280.000, +19.000
1628469720, +2.97, +28.124, +212.36896, +977.000, +224.000, +182.000
1628469780, +2.97, +28.124, +221.10442, +1075.000, +280.000, +14.000
1628469840, +2.97, +28.124, +227.88284, +1063.000, +275.000, +48.000
1628469900, +2.97, +28.124, +227.75278, +1080.000, +272.000,  +0.000
1628469960, +2.97, +28.115, +258.77745, +1080.000, +240.000, +28.000
1628470020, +2.97, +28.107, +266.24022, +1064.000, +278.000, +40.000
1628470080, +2.97, +28.107, +270.08927, +1075.000, +235.000, +59.000
1628470140, +2.97, +28.099, +258.00640, +1084.000, +263.000,  +0.000
1628470200, +2.97, +28.099, +270.74885, +974.000, +224.000, +184.000
1628470260, +2.97, +28.115, +266.92147, +1049.000, +263.000, +96.000
1628470320, +2.97, +28.099, +260.91100, +1064.000, +276.000, +44.000
1628470380, +2.97, +28.091, +259.88293, +1080.000, +280.000,  +0.000
1628470440, +2.97, +28.074, +259.19240, +1081.000, +264.000,  +0.000
1628470500, +2.97, +28.074, +256.28161, +1052.000, +270.000, +80.000
1628470560, +2.97, +28.083, +231.53062, +995.000, +232.000, +176.000
1628470620, +2.97, +28.066, +210.12703, +1084.000, +243.000, +16.000
1628470680, +2.97, +28.074, +186.73234, +975.000, +224.000, +180.000
1628470740, +2.97, +28.058, +164.94788, +1072.000, +280.000, +16.000
1628470800, +2.97, +28.074, +156.86580, +1079.000, +280.000,  +8.000
1628470860, +2.97, +28.066, +143.79821, +1081.000, +256.000,  +4.000
1628470920, +2.97, +28.066, +138.07263, +975.000, +224.000, +184.000
1628470980, +2.97, +28.042, +129.75830, +1080.000, +259.000,  +3.000
1628471040, +2.97, +28.058, +123.59301, +1039.000, +259.000, +120.000
1628471100, +2.97, +28.050, +128.68379, +1048.000, +264.000, +96.000
1628471160, +2.97, +28.050, +124.81616, +975.000, +227.000, +179.000
1628471220, +2.97, +28.050, +117.94484, +1048.000, +268.000, +92.000
1628471280, +2.97, +28.066, +120.70699, +1084.000, +256.000,  +8.000
1628471340, +2.97, +28.050, +110.10739, +1080.000, +268.000,  +0.000
1628471400, +2.97, +28.058, +100.45843, +1080.000, +276.000,  +3.000
1628471460, +2.97, +28.033, +97.66222, +975.000, +224.000, +182.000
1628471520, +2.97, +28.058, +95.65253, +975.000, +225.000, +179.000
1628471580, +2.97, +28.033, +92.64575, +975.000, +224.000, +183.000
1628471640, +2.97, +28.058, +91.87470, +977.000, +223.000, +179.000
1628471700, +2.97, +28.058, +89.53678, +1055.000, +268.000, +72.000
1628471760, +2.97, +28.050, +84.93836, +975.000, +224.000, +179.000
1628471820, +2.97, +28.033, +84.77114, +975.000, +227.000, +179.000
1628471880, +2.97, +28.050, +90.81257, +1080.000, +231.000, +47.000
1628471940, +2.97, +28.050, +94.94651, +1080.000, +276.000,  +0.000
1628472000, +2.97, +28.025, +95.45435, +1075.000, +280.000,  +3.000
1628472060, +2.97, +28.025, +100.00014, +1076.000, +278.000,  +0.000
1628472120, +2.97, +28.017, +100.06517, +1080.000, +233.000, +47.000
1628472180, +2.97, +28.033, +104.81223, +1080.000, +278.000,  +0.000
1628472240, +2.97, +28.009, +116.53589, +1081.000, +270.000,  +0.000
1628472300, +2.97, +27.992, +134.77787, +1052.000, +268.000, +88.000
1628472360, +2.97, +28.000, +139.59305, +1080.000, +264.000,  +0.000
1628472420, +2.97, +27.992, +138.46280, +975.000, +224.000, +180.000
1628472480, +2.97, +27.976, +136.14036, +975.000, +224.000, +179.000
1628472540, +2.97, +27.959, +139.89962, +1059.000, +272.000, +64.000
1628472600, +2.97, +27.984, +128.02422, +974.000, +224.000, +182.000
1628472660, +2.97, +27.959, +114.18559, +1084.000, +240.000, +24.000
1628472720, +2.97, +27.976, +112.83857, +975.000, +224.000, +183.000
1628472780, +2.97, +27.976, +112.44840, +975.000, +224.000, +179.000
1628472840, +2.97, +27.968, +119.05651, +975.000, +224.000, +182.000
1628472900, +2.97, +27.959, +125.41070, +1055.000, +270.000, +72.000
1628472960, +2.97, +27.951, +120.37256, +1072.000, +280.000,  +8.000
1628473020, +2.97, +27.951, +107.77875, +977.000, +224.000, +182.000
1628473080, +2.97, +27.951, +106.07873, +979.000, +224.000, +180.000
1628473140, +2.97, +27.943, +99.59448, +1059.000, +272.000, +64.000
1628473200, +2.97, +27.918, +88.15880, +975.000, +224.000, +182.000
1628473260, +2.97, +27.943, +81.22555, +976.000, +224.000, +179.000
1628473320, +2.97, +27.927, +76.14715, +1063.000, +278.000, +48.000
1628473380, +2.97, +27.943, +67.07417, +975.000, +224.000, +182.000
1628473440, +2.97, +27.935, +63.34278, +1081.000, +248.000, +12.000
1628473500, +2.97, +27.927, +60.33600, +975.000, +224.000, +184.000
1628473560, +2.97, +27.935, +63.27156, +975.000, +224.000, +182.000
1628473620, +2.97, +27.943, +60.84384, +975.000, +224.000, +182.000
1628473680, +2.97, +27.943, +59.41012, +1081.000, +240.000, +15.000
1628473740, +2.97, +27.935, +58.60811, +974.000, +227.000, +184.000
1628473800, +2.97, +27.918, +58.73816, +975.000, +224.000, +179.000
1628473860, +2.97, +27.918, +60.64566, +974.000, +224.000, +176.000
1628473920, +2.97, +27.918, +60.94293, +1080.000, +234.000, +47.000
1628473980, +2.97, +27.935, +60.28336, +975.000, +224.000, +177.000
1628474040, +2.97, +27.935, +60.54966, +975.000, +224.000, +182.000
1628474100, +2.97, +27.935, +61.67682, +975.000, +224.000, +179.000
1628474160, +2.97, +27.935, +61.34858, +975.000, +224.000, +179.000
1628474220, +2.97, +27.951, +60.68591, +976.000, +224.000, +179.000
1628474280, +2.97, +27.943, +59.76004, +975.000, +224.000, +179.000
1628474340, +2.97, +27.943, +60.17188, +1080.000, +232.000, +47.000
1628474400, +2.97, +27.951, +59.70430, +974.000, +224.000, +179.000
1628474460, +2.97, +27.951, +58.77223, +1081.000, +260.000,  +3.000
1628474520, +2.97, +27.951, +59.69501, +976.000, +225.000, +180.000
1628474580, +2.97, +27.959, +59.15930, +974.000, +224.000, +182.000
1628474640, +2.97, +27.959, +59.52469, +975.000, +224.000, +182.000
1628474700, +2.97, +27.968, +59.63308, +975.000, +224.000, +182.000
1628474760, +2.97, +27.968, +59.56805, +1080.000, +231.000, +47.000
1628474820, +2.97, +27.976, +60.70140, +1080.000, +265.000,  +0.000
1628474880, +2.97, +27.951, +63.27156, +975.000, +224.000, +182.000
1628474940, +2.97, +27.968, +65.56923, +993.000, +231.000, +176.000
1628475000, +2.97, +27.976, +68.25087, +975.000, +224.000, +182.000
1628475060, +2.97, +27.984, +70.61046, +975.000, +224.000, +180.000
1628475120, +2.97, +27.951, +78.15993, +975.000, +225.000, +177.000
1628475180, +2.97, +27.992, +86.58574, +1000.000, +240.000, +176.000
1628475240, +2.97, +27.984, +91.56504, +976.000, +224.000, +179.000
1628475300, +2.97, +27.984, +94.33029, +975.000, +224.000, +182.000
1628475360, +2.97, +27.984, +97.64983, +975.000, +224.000, +183.000
1628475420, +2.97, +27.992, +91.09127, +1072.000, +280.000, +20.000
1628475480, +2.97, +28.009, +84.46458, +975.000, +224.000, +180.000
1628475540, +2.97, +28.000, +81.25961, +1081.000, +232.000, +47.000
1628475600, +2.97, +27.992, +75.64860, +975.000, +224.000, +179.000
1628475660, +2.97, +28.000, +70.43086, +975.000, +224.000, +179.000
1628475720, +2.97, +28.000, +67.18255, +975.000, +224.000, +182.000
1628475780, +2.97, +27.992, +66.13590, +1079.000, +280.000,  +0.000
1628475840, +2.97, +28.009, +65.07997, +975.000, +225.000, +179.000
1628475900, +2.97, +28.000, +62.91855, +1084.000, +230.000, +39.000
1628475960, +2.97, +27.984, +63.63076, +975.000, +224.000, +179.000
1628476020, +2.97, +27.992, +62.07009, +1080.000, +236.000, +47.000
1628476080, +2.97, +28.000, +61.79759, +975.000, +225.000, +180.000
1628476140, +2.97, +27.992, +64.38633, +975.000, +225.000, +182.000
1628476200, +2.97, +27.984, +66.96888, +974.000, +224.000, +179.000
1628476260, +2.97, +28.000, +71.20810, +1054.000, +270.000, +72.000
1628476320, +2.97, +28.000, +75.20579, +976.000, +224.000, +180.000
1628476380, +2.97, +27.992, +78.92169, +975.000, +224.000, +183.000
1628476440, +2.97, +27.992, +85.94784, +1080.000, +232.000, +47.000
1628476500, +2.97, +28.000, +92.75104, +1081.000, +272.000,  +0.000
1628476560, +2.97, +28.009, +101.48030, +1073.000, +280.000,  +8.000
1628476620, +2.97, +27.976, +112.06133, +975.000, +224.000, +179.000
1628476680, +2.97, +27.992, +129.45174, +999.000, +236.000, +176.000
1628476740, +2.97, +27.992, +128.09544, +975.000, +224.000, +184.000
1628476800, +2.97, +27.968, +133.37821, +1078.000, +228.000, +55.000
1628476860, +2.97, +27.984, +128.02112, +1080.000, +264.000,  +0.000
1628476920, +2.97, +27.992, +127.95300, +974.000, +224.000, +182.000
1628476980, +2.97, +27.976, +125.40451, +1080.000, +227.000, +47.000
1628477040, +2.97, +27.984, +130.74921, +1072.000, +280.000, +24.000
1628477100, +2.97, +27.984, +125.99905, +974.000, +224.000, +179.000
1628477160, +2.97, +27.976, +117.51751, +975.000, +224.000, +179.000
1628477220, +2.97, +27.959, +109.59026, +974.000, +224.000, +176.000
1628477280, +2.97, +27.959, +99.29721, +975.000, +224.000, +183.000
1628477340, +2.97, +27.968, +89.88670, +974.000, +224.000, +180.000
1628477400, +2.97, +27.951, +79.85686, +982.000, +227.000, +182.000
1628477460, +2.97, +27.968, +74.00742, +975.000, +225.000, +182.000
1628477520, +2.97, +27.968, +69.48640, +975.000, +224.000, +176.000
1628477580, +2.97, +27.968, +96.43597, +1016.000, +243.000, +161.000
