Serial Number:20555841 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2023-02-08 17:04:00,28.35,36, , , , 
2023-02-08 17:06:00,27.50,16, , , , 
2023-02-08 17:08:00,26.51,198, , , , 
2023-02-08 17:10:00,25.82,50, , , , 
2023-02-08 17:12:00,25.91,76, , , , 
2023-02-08 17:14:00,25.18,158, , , , 
2023-02-08 17:16:00,24.75,182, , , , 
2023-02-08 17:18:00,24.62,175, , , , 
2023-02-08 17:20:00,24.45,184, , , , 
2023-02-08 17:22:00,24.41,114, , , , 
2023-02-08 17:24:00,24.32,15, , , , 
2023-02-08 17:26:00,24.62,150, , , , 
2023-02-08 17:28:00,24.36,134, , , , 
2023-02-08 17:30:00,24.06,169, , , , 
2023-02-08 17:32:00,23.94,117, , , , 
2023-02-08 17:34:00,24.32,178, , , , 
2023-02-08 17:36:00,24.15,3, , , , 
2023-02-08 17:38:00,23.85,3, , , , 
2023-02-08 17:40:00,23.64,3, , , , 
2023-02-08 17:42:00,23.55,3, , , , 
2023-02-08 17:44:00,23.46,2, , , , 
2023-02-08 17:46:00,23.34,2, , , , 
2023-02-08 17:48:00,23.29,2, , , , 
2023-02-08 17:50:00,23.29,2, , , , 
2023-02-08 17:52:00,23.21,2, , , , 
2023-02-08 17:54:00,23.12,2, , , , 
2023-02-08 17:56:00,23.08,2, , , , 
2023-02-08 17:58:00,23.08,2, , , , 
2023-02-08 18:00:00,23.03,1, , , , 
2023-02-08 18:02:00,22.95,2, , , , 
2023-02-08 18:04:00,22.95,2, , , , 
2023-02-08 18:06:00,22.99,1, , , , 
2023-02-08 18:08:00,22.95,1, , , , 
2023-02-08 18:10:00,22.86,1, , , , 
2023-02-08 18:12:00,22.91,1, , , , 
2023-02-08 18:14:00,22.95,1, , , , 
2023-02-08 18:16:00,22.91,1, , , , 
2023-02-08 18:18:00,22.86,0, , , , 
2023-02-08 18:20:00,22.82,1, , , , 
2023-02-08 18:22:00,22.91,0, , , , 
2023-02-08 18:24:00,22.91,0, , , , 
2023-02-08 18:26:00,22.82,0, , , , 
2023-02-08 18:28:00,22.91,161, , , , 
2023-02-08 18:30:00,22.91,0, , , , 
2023-02-08 18:32:00,22.86,0, , , , 
2023-02-08 18:34:00,22.82,0, , , , 
2023-02-08 18:36:00,22.86,0, , , , 
2023-02-08 18:38:00,22.86,0, , , , 
