"Plot Title: CT_320_052221_CG"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739320, SEN S/N: 20739320)","Temp, °C (LGR S/N: 20739320, SEN S/N: 20739320)","Specific Conductance, μS/cm (LGR S/N: 20739320)","Salinity, ppt (LGR S/N: 20739320)","Specific Conductance, μS/cm (LGR S/N: 20739320)","Salinity, ppt (LGR S/N: 20739320)","Coupler Detached (LGR S/N: 20739320)","Coupler Attached (LGR S/N: 20739320)","Host Connected (LGR S/N: 20739320)","Stopped (LGR S/N: 20739320)","End Of File (LGR S/N: 20739320)"
1,05/22/21 12:05:30 PM,0.0,23.32,0.0,0.0123,0.0,0.0123,Logged,,,,
2,05/22/21 12:06:00 PM,0.0,23.31,0.0,0.0123,0.0,0.0123,,,,,
3,05/22/21 12:06:30 PM,0.0,23.32,0.0,0.0123,0.0,0.0123,,,,,
4,05/22/21 12:07:00 PM,0.0,23.35,0.0,0.0123,0.0,0.0123,,,,,
5,05/22/21 12:07:30 PM,0.0,23.36,0.0,0.0123,0.0,0.0123,,,,,
6,05/22/21 12:08:00 PM,0.0,23.37,0.0,0.0123,0.0,0.0123,,,,,
7,05/22/21 12:08:30 PM,0.0,23.37,0.0,0.0123,0.0,0.0123,,,,,
8,05/22/21 12:09:00 PM,0.0,23.38,0.0,0.0123,0.0,0.0123,,,,,
9,05/22/21 12:09:30 PM,0.0,23.41,0.0,0.0123,0.0,0.0123,,,,,
10,05/22/21 12:10:00 PM,0.0,23.43,0.0,0.0123,0.0,0.0123,,,,,
11,05/22/21 12:10:30 PM,0.0,23.46,0.0,0.0123,0.0,0.0123,,,,,
12,05/22/21 12:11:00 PM,0.0,23.47,0.0,0.0123,0.0,0.0123,,,,,
13,05/22/21 12:11:30 PM,0.0,23.48,0.0,0.0123,0.0,0.0123,,,,,
14,05/22/21 12:12:00 PM,0.0,23.49,0.0,0.0123,0.0,0.0123,,,,,
15,05/22/21 12:12:30 PM,0.0,23.49,0.0,0.0123,0.0,0.0123,,,,,
16,05/22/21 12:13:00 PM,0.0,23.50,0.0,0.0123,0.0,0.0123,,,,,
17,05/22/21 12:13:30 PM,0.0,23.50,0.0,0.0123,0.0,0.0123,,,,,
18,05/22/21 12:14:00 PM,0.0,23.52,0.0,0.0123,0.0,0.0123,,,,,
19,05/22/21 12:14:30 PM,0.0,23.52,0.0,0.0123,0.0,0.0123,,,,,
20,05/22/21 12:15:00 PM,0.0,23.52,0.0,0.0123,0.0,0.0123,,,,,
21,05/22/21 12:15:30 PM,0.0,23.52,0.0,0.0123,0.0,0.0123,,,,,
22,05/22/21 12:16:00 PM,0.0,23.52,0.0,0.0123,0.0,0.0123,,,,,
23,05/22/21 12:16:30 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
24,05/22/21 12:17:00 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
25,05/22/21 12:17:30 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
26,05/22/21 12:18:00 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
27,05/22/21 12:18:30 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
28,05/22/21 12:19:00 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
29,05/22/21 12:19:30 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
30,05/22/21 12:20:00 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
31,05/22/21 12:20:30 PM,0.0,23.54,0.0,0.0123,0.0,0.0123,,,,,
32,05/22/21 12:21:00 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
33,05/22/21 12:21:30 PM,0.0,23.54,0.0,0.0123,0.0,0.0123,,,,,
34,05/22/21 12:22:00 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
35,05/22/21 12:22:30 PM,0.0,23.54,0.0,0.0123,0.0,0.0123,,,,,
36,05/22/21 12:23:00 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
37,05/22/21 12:23:30 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
38,05/22/21 12:24:00 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
39,05/22/21 12:24:30 PM,0.0,23.53,0.0,0.0123,0.0,0.0123,,,,,
40,05/22/21 12:25:00 PM,0.0,23.52,0.0,0.0123,0.0,0.0123,,,,,
41,05/22/21 12:25:30 PM,0.0,23.52,0.0,0.0123,0.0,0.0123,,,,,
42,05/22/21 12:26:00 PM,0.0,23.52,0.0,0.0123,0.0,0.0123,,,,,
43,05/22/21 12:26:30 PM,0.0,23.52,0.0,0.0123,0.0,0.0123,,,,,
44,05/22/21 12:27:00 PM,0.0,23.52,0.0,0.0123,0.0,0.0123,,,,,
45,05/22/21 12:27:30 PM,0.0,23.50,0.0,0.0123,0.0,0.0123,,,,,
46,05/22/21 12:28:00 PM,0.0,23.58,0.0,0.0123,0.0,0.0123,,,,,
47,05/22/21 12:28:30 PM,0.0,23.67,0.0,0.0123,0.0,0.0123,,,,,
48,05/22/21 12:29:00 PM,0.0,23.73,0.0,0.0123,0.0,0.0123,,,,,
49,05/22/21 12:29:30 PM,0.0,23.84,0.0,0.0123,0.0,0.0123,,,,,
50,05/22/21 12:30:00 PM,0.0,24.07,0.0,0.0123,0.0,0.0123,,,,,
51,05/22/21 12:30:30 PM,0.0,24.09,0.0,0.0123,0.0,0.0123,,,,,
52,05/22/21 12:31:00 PM,0.0,24.23,0.0,0.0123,0.0,0.0123,,,,,
53,05/22/21 12:31:30 PM,0.0,24.64,0.0,0.0123,0.0,0.0123,,,,,
54,05/22/21 12:32:00 PM,37920.9,28.82,56093.1,37.2589,56093.1,37.2589,,,,,
55,05/22/21 12:32:30 PM,37799.0,28.88,55849.4,37.0763,55849.4,37.0763,,,,,
56,05/22/21 12:33:00 PM,37687.9,28.91,55653.6,36.9296,55653.6,36.9296,,,,,
57,05/22/21 12:33:30 PM,37617.4,28.92,55538.9,36.8438,55538.9,36.8438,,,,,
58,05/22/21 12:34:00 PM,37604.0,28.93,55508.6,36.8211,55508.6,36.8211,,,,,
59,05/22/21 12:34:30 PM,37587.3,28.93,55483.9,36.8027,55483.9,36.8027,,,,,
60,05/22/21 12:35:00 PM,37487.1,28.93,55335.8,36.6919,55335.8,36.6919,,,,,
61,05/22/21 12:35:30 PM,37493.8,28.91,55366.5,36.7148,55366.5,36.7148,,,,,
62,05/22/21 12:36:00 PM,37497.1,28.91,55371.4,36.7185,55371.4,36.7185,,,,,
63,05/22/21 12:36:30 PM,37443.9,28.91,55292.7,36.6596,55292.7,36.6596,,,,,
64,05/22/21 12:37:00 PM,37460.5,28.90,55327.7,36.6858,55327.7,36.6858,,,,,
65,05/22/21 12:37:30 PM,37437.2,28.88,55314.0,36.6756,55314.0,36.6756,,,,,
66,05/22/21 12:38:00 PM,37400.7,28.88,55260.0,36.6352,55260.0,36.6352,,,,,
67,05/22/21 12:38:30 PM,37404.0,28.87,55275.3,36.6466,55275.3,36.6466,,,,,
68,05/22/21 12:39:00 PM,37390.7,28.88,55245.2,36.6241,55245.2,36.6241,,,,,
69,05/22/21 12:39:30 PM,37360.9,28.88,55201.1,36.5912,55201.1,36.5912,,,,,
70,05/22/21 12:40:00 PM,37360.9,28.88,55201.1,36.5912,55201.1,36.5912,,,,,
71,05/22/21 12:40:30 PM,37354.3,28.88,55191.4,36.5839,55191.4,36.5839,,,,,
72,05/22/21 12:41:00 PM,37360.9,28.90,55180.4,36.5756,55180.4,36.5756,,,,,
73,05/22/21 12:41:30 PM,37301.3,28.91,55081.8,36.5020,55081.8,36.5020,,,,,
74,05/22/21 12:42:00 PM,37354.3,28.92,55149.8,36.5528,55149.8,36.5528,,,,,
75,05/22/21 12:42:30 PM,37307.9,28.92,55081.2,36.5016,55081.2,36.5016,,,,,
76,05/22/21 12:43:00 PM,37327.8,28.93,55100.3,36.5158,55100.3,36.5158,,,,,
77,05/22/21 12:43:30 PM,37334.4,28.94,55099.7,36.5153,55099.7,36.5153,,,,,
78,05/22/21 12:44:00 PM,37248.5,28.94,54972.7,36.4205,54972.7,36.4205,,,,,
79,05/22/21 12:44:30 PM,37281.5,28.96,55000.8,36.4415,55000.8,36.4415,,,,,
80,05/22/21 12:45:00 PM,37268.3,28.96,54981.3,36.4269,54981.3,36.4269,,,,,
81,05/22/21 12:45:30 PM,37235.3,28.96,54932.5,36.3905,54932.5,36.3905,,,,,
82,05/22/21 12:46:00 PM,37228.7,28.94,54943.4,36.3986,54943.4,36.3986,,,,,
83,05/22/21 12:46:30 PM,37248.5,28.94,54972.7,36.4205,54972.7,36.4205,,,,,
84,05/22/21 12:47:00 PM,37218.8,28.94,54928.8,36.3877,54928.8,36.3877,,,,,
85,05/22/21 12:47:30 PM,37222.1,28.96,54913.0,36.3759,54913.0,36.3759,,,,,
86,05/22/21 12:48:00 PM,37182.6,28.94,54875.3,36.3477,54875.3,36.3477,,,,,
87,05/22/21 12:48:30 PM,37169.5,28.93,54866.3,36.3410,54866.3,36.3410,,,,,
88,05/22/21 12:49:00 PM,37169.5,28.94,54855.9,36.3333,54855.9,36.3333,,,,,
89,05/22/21 12:49:30 PM,37169.5,28.96,54835.3,36.3179,54835.3,36.3179,,,,,
