"Plot Title: CT_333_052221_CG"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739333, SEN S/N: 20739333)","Temp, °C (LGR S/N: 20739333, SEN S/N: 20739333)","Specific Conductance, μS/cm (LGR S/N: 20739333)","Salinity, ppt (LGR S/N: 20739333)","Coupler Detached (LGR S/N: 20739333)","Coupler Attached (LGR S/N: 20739333)","Host Connected (LGR S/N: 20739333)","Stopped (LGR S/N: 20739333)","End Of File (LGR S/N: 20739333)"
1,05/22/21 12:17:00 PM,0.0,23.61,0.0,0.0123,,,,,
2,05/22/21 12:17:30 PM,0.0,23.62,0.0,0.0123,,,,,
3,05/22/21 12:18:00 PM,0.0,23.63,0.0,0.0123,,,,,
4,05/22/21 12:18:30 PM,0.0,23.66,0.0,0.0123,,,,,
5,05/22/21 12:19:00 PM,0.0,23.67,0.0,0.0123,,,,,
6,05/22/21 12:19:30 PM,0.0,23.67,0.0,0.0123,,,,,
7,05/22/21 12:20:00 PM,0.0,23.67,0.0,0.0123,,,,,
8,05/22/21 12:20:07 PM,,,,,Logged,,,,
9,05/22/21 12:20:30 PM,0.0,23.66,0.0,0.0123,,,,,
10,05/22/21 12:21:00 PM,0.0,23.66,0.0,0.0123,,,,,
11,05/22/21 12:21:30 PM,0.0,23.67,0.0,0.0123,,,,,
12,05/22/21 12:22:00 PM,0.0,23.67,0.0,0.0123,,,,,
13,05/22/21 12:22:30 PM,0.0,23.67,0.0,0.0123,,,,,
14,05/22/21 12:23:00 PM,0.0,23.65,0.0,0.0123,,,,,
15,05/22/21 12:23:30 PM,0.0,23.65,0.0,0.0123,,,,,
16,05/22/21 12:24:00 PM,0.0,23.65,0.0,0.0123,,,,,
17,05/22/21 12:24:30 PM,0.0,23.63,0.0,0.0123,,,,,
18,05/22/21 12:25:00 PM,0.0,23.62,0.0,0.0123,,,,,
19,05/22/21 12:25:30 PM,0.0,23.61,0.0,0.0123,,,,,
20,05/22/21 12:26:00 PM,0.0,23.60,0.0,0.0123,,,,,
