DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(0.100m);Dir#1(0.100m);Speed#2(0.150m);Dir#2(0.150m);Speed#3(0.200m);Dir#3(0.200m);Speed#4(0.250m);Dir#4(0.250m);Speed#5(0.300m);Dir#5(0.300m);Speed#6(0.350m);Dir#6(0.350m);Speed#7(0.400m);Dir#7(0.400m);Speed#8(0.450m);Dir#8(0.450m);Speed#9(0.500m);Dir#9(0.500m);Speed#10(0.550m);Dir#10(0.550m);Speed#11(0.600m);Dir#11(0.600m);Speed#12(0.650m);Dir#12(0.650m);Speed#13(0.700m);Dir#13(0.700m);Speed#14(0.750m);Dir#14(0.750m);Speed#15(0.800m);Dir#15(0.800m);Speed#16(0.850m);Dir#16(0.850m);Speed#17(0.900m);Dir#17(0.900m);Speed#18(0.950m);Dir#18(0.950m);Speed#19(1.000m);Dir#19(1.000m);Speed#20(1.050m);Dir#20(1.050m);Speed#21(1.100m);Dir#21(1.100m);Speed#22(1.150m);Dir#22(1.150m);Speed#23(1.200m);Dir#23(1.200m);Speed#24(1.250m);Dir#24(1.250m);Speed#25(1.300m);Dir#25(1.300m);Speed#26(1.350m);Dir#26(1.350m);Speed#27(1.400m);Dir#27(1.400m);Speed#28(1.450m);Dir#28(1.450m);
8/3/2021 17:43:00; 11.6;272.4;  1.1;  8.4;  0.088; 27.08;    0;    0;  0.554; 152.93;  0.887; 163.42;  0.712; 166.10;  0.619; 153.52;  0.704; 167.70;  0.813; 162.01;  0.867; 165.31;  0.763; 158.55;  0.882; 159.43;  0.760; 152.59;  0.728; 171.22;  0.843; 165.72;  0.974; 156.65;  0.810; 161.34;  0.744; 170.32;  0.629; 147.19;  0.751; 153.33;  0.833; 164.83;  0.712; 152.64;  0.692; 159.97;  0.809; 164.95;  0.740; 152.57;  0.652; 143.80;  0.714; 164.56;  0.647; 168.67;  0.890; 167.07;  0.829; 174.26;  0.852; 154.28;
8/3/2021 17:44:00; 11.6;176.8;  8.7; 17.4;  0.205; 26.99;    0;    0;  0.004; 243.43;  0.019; 231.34;  0.007;  98.13;  0.019;   6.01;  0.033; 324.87;  0.029; 290.32;  0.041; 271.40;  0.063; 277.35;  0.061; 275.62;  0.046; 274.97;  0.032; 251.57;  0.016; 150.26;  0.013;  32.47;  0.023;  85.03;  0.035; 318.50;  0.063; 331.39;  0.027; 357.88;  0.007; 135.00;  0.046; 288.82;  0.069; 273.32;  0.053; 299.48;  0.041; 260.07;  0.019; 288.43;  0.025; 270.00;  0.023; 274.97;  0.035; 256.76;  0.029; 236.31;  0.017; 107.35;
8/3/2021 17:45:00; 11.5;213.4;  0.4; 10.2;  0.744; 27.01;    0;    0;  0.012; 335.56;  0.018; 330.64;  0.018; 333.43;  0.016; 320.19;  0.018; 296.57;  0.015; 298.30;  0.010; 299.05;  0.012; 250.02;  0.017; 225.00;  0.023; 189.87;  0.036; 175.24;  0.038; 169.29;  0.030; 197.24;  0.034; 211.83;  0.022; 200.85;  0.021; 221.19;  0.023; 214.38;  0.024; 207.65;  0.009; 220.60;  0.015; 277.59;  0.014; 294.78;  0.006;   9.46;  0.010; 336.04;  0.031; 128.37;  0.019; 143.75;  0.028; 282.53;  0.053; 290.81;  0.025;  68.63;
8/3/2021 17:46:00; 11.5;212.9; -0.2;  1.5;  0.749; 27.08;    0;    0;  0.009; 290.56;  0.009; 302.01;  0.007; 315.00;  0.009; 319.40;  0.010; 270.00;  0.010; 246.04;  0.012; 228.37;  0.018; 227.29;  0.027; 231.01;  0.031; 215.75;  0.034; 210.38;  0.060; 204.44;  0.033; 132.51;  0.074;  32.83;  0.065; 264.73;  0.051; 200.56;  0.206; 194.31;  0.087; 320.11;  0.054; 341.57;  0.179; 238.71;  0.031;  14.93;  0.094;  30.65;  0.160; 245.20;  0.210; 157.95;  0.050; 221.73;  0.113; 278.13;  0.229; 308.97;  0.171; 103.55;
8/3/2021 17:47:00; 11.5;212.9; -0.2;  1.5;  0.742; 27.13;    0;    0;  0.020; 243.43;  0.020; 237.09;  0.020; 229.09;  0.016; 235.30;  0.013; 231.34;  0.013; 237.53;  0.014; 236.31;  0.014; 230.71;  0.013; 218.66;  0.014; 213.69;  0.015; 195.95;  0.014; 192.09;  0.006;   9.46;  0.043; 227.82;  0.025; 338.63;  0.041; 281.31;  0.024; 308.29;  0.017; 256.76;  0.008;   0.00;  0.026; 332.45;  0.116; 229.88;  0.109; 233.97;  0.025; 263.16;  0.082; 131.05;  0.029; 180.00;  0.052; 304.90;  0.123; 338.63;  0.089; 303.51;
8/3/2021 17:48:00; 11.5;212.9; -0.2;  1.5;  0.731; 27.15;    0;    0;  0.013; 208.61;  0.015; 203.20;  0.018; 196.39;  0.020; 197.53;  0.023; 195.26;  0.022; 185.19;  0.022; 185.19;  0.022; 185.19;  0.021; 180.00;  0.023; 180.00;  0.027; 167.01;  0.027; 158.20;  0.026; 177.80;  0.022; 182.60;  0.020; 197.53;  0.018; 183.18;  0.023; 162.35;  0.023; 154.54;  0.022; 169.70;  0.010; 156.04;  0.013; 161.57;  0.010; 203.96;  0.014; 175.91;  0.078; 124.09;  0.002; 180.00;  0.080; 309.44;  0.148; 301.76;  0.282; 300.75;
8/3/2021 17:49:00; 11.5;212.8; -0.2;  1.5;  0.728; 27.16;    0;    0;  0.019; 297.90;  0.018; 299.36;  0.021; 299.05;  0.023; 285.26;  0.024; 277.13;  0.024; 272.39;  0.024; 265.24;  0.022; 264.81;  0.016; 262.87;  0.012; 255.96;  0.009; 220.60;  0.011; 221.19;  0.015; 258.69;  0.015; 266.19;  0.020; 287.53;  0.024; 267.61;  0.014; 265.91;  0.022; 264.81;  0.021; 275.44;  0.022; 288.43;  0.018; 279.46;  0.017; 290.56;  0.020; 162.47;  0.080; 126.87;  0.015; 203.20;  0.071; 302.35;  0.095; 310.73;  0.070; 324.94;
8/3/2021 17:50:00; 11.5;213.1; -0.2;  1.5;  0.739; 27.17;    0;    0;  0.013; 308.66;  0.013; 318.01;  0.013; 308.66;  0.012; 304.99;  0.014; 306.03;  0.011; 307.87;  0.009; 302.01;  0.009; 302.01;  0.006; 279.46;  0.005; 201.80;  0.005; 201.80;  0.009; 215.54;  0.013; 298.61;  0.015; 285.95;  0.010; 293.96;  0.008; 309.81;  0.011; 322.13;  0.010; 323.13;  0.012; 304.99;  0.014; 329.74;  0.017; 334.98;  0.017; 339.44;  0.010; 323.13;  0.045; 128.66;  0.023; 162.35;  0.024; 299.74;  0.040; 325.12;  0.029; 330.75;
8/3/2021 17:51:00; 11.5;213.0; -0.2;  1.5;  0.738; 27.17;    0;    0;  0.018; 308.16;  0.020; 300.47;  0.018; 292.38;  0.016; 284.93;  0.015; 277.59;  0.015; 277.59;  0.013; 282.99;  0.010; 293.96;  0.008; 299.74;  0.004; 270.00;  0.005; 201.80;  0.012; 170.54;  0.006; 231.34;  0.008; 270.00;  0.011; 322.13;  0.013; 318.01;  0.011; 322.13;  0.014; 315.00;  0.013; 318.01;  0.016; 296.57;  0.014; 323.97;  0.011; 307.87;  0.005;   0.00;  0.084; 139.33;  0.044; 169.46;  0.043; 302.57;  0.084; 338.33;  0.085; 349.88;
8/3/2021 17:52:00; 11.5;212.9; -0.2;  1.5;  0.743; 27.17;    0;    0;  0.013; 355.60;  0.014; 323.97;  0.013; 308.66;  0.012; 304.99;  0.009; 276.34;  0.009; 263.66;  0.012; 274.76;  0.008; 277.13;  0.002; 180.00;  0.007; 123.69;  0.009; 122.01;  0.011; 116.57;  0.009;  77.47;  0.008;  75.96;  0.006;  30.96;  0.005; 323.13;  0.006; 315.00;  0.005; 291.80;  0.008; 293.20;  0.010; 293.96;  0.011; 296.57;  0.010; 336.04;  0.011; 349.70;  0.025;  96.84;  0.018;  93.18;  0.013; 282.99;  0.029; 279.78;  0.012; 265.24;
