Block,Plate,Top_Bottom,SampleMoment,SampleName,TA,Salinity,Chamber,notes
A4,C9,B,L,A4_C9_B_L_Ch6,2313.78925,37.97,6,
A4,blank,B,L,A4_blank_B_L_Ch7,2312.882245,37.9,7,
A4,C4,B,L,A4_C4_B_L_Ch8,2314.334547,37.89,8,
A4,C11,B,L,A4_C11_B_L_Ch9,2299.283996,37.79,9,
A4,C13,B,L,A4_C13_B_L_Ch10,2305.428369,37.75,10,
A4,C7,B,D,A4_C7_B_D_Ch1,2319.66721,37.81,1,
A4,C12,B,D,A4_C12_B_D_Ch2,2324.33772,37.69,2,
A4,C14,B,D,A4_C14_B_D_Ch3,2313.304997,37.93,3,
A4,C10,B,D,A4_C10_B_D_Ch5,2370.277709,37.91,5,
A4,C9,B,D,A4_C9_B_D_Ch6,2377.398451,38.06,6,
A4,blank,B,D,A4_blank_B_D_Ch7,2367.969728,37.88,7,
A4,C4,B,D,A4_C4_B_D_Ch8,2445.241596,37.97,8,
A4,C11,B,D,A4_C11_B_D_Ch9,2308.474079,37.84,9,
A4,C13,B,D,A4_C13_B_D_Ch10,2337.267255,37.53,10,
A5,,T,T0,A5_T_T0_Ch5,2348.539544,37.23,5,
A5,,T,T0,A5_T_T0_Ch7,2329.361975,37.2,7,
A5,,T,T0,A5_T_T0_Ch8,2322.748273,37.24,8,
A5,C3,T,L,A5_C3_T_L_Ch3,2286.259517,37.33,3,
A5,blank,T,L,A5_blank_T_L_Ch5,2294.694886,37.36,5,
A5,C5,T,L,A5_C5_T_L_Ch6,2277.491874,37.24,6,
A5,C6,T,L,A5_C6_T_L_Ch7,2271.837187,37.24,7,
A5,C8,T,L,A5_C8_T_L_Ch8,2294.704019,37.25,8,
A5,C3,T,D,A5_C3_T_D_Ch3,2290.751426,37.38,3,
A5,blank,T,D,A5_blank_T_D_Ch5,2275.472098,37.32,5,
A5,C5,T,D,A5_C5_T_D_Ch6,2277.244631,37.15,6,
A5,C6,T,D,A5_C6_T_D_Ch7,2273.62618,37.31,7,
A5,C8,T,D,A5_C8_T_D_Ch8,2337.987012,37.39,8,
A6,,B,T0,A6_B_T0_Ch5,2303.487965,37.24,5,
A6,,B,T0,A6_B_T0_Ch7,2299.72501,37.38,7,
A6,,B,T0,A6_B_T0_Ch8,2305.287836,37.36,8,
A6,C23,B,L,A6_C23_B_L_Ch3,2362.188972,37.42,3,
A6,blank,B,L,A6_blank_B_L_Ch5,2405.914629,37.35,5,
A6,C25,B,L,A6_C25_B_L_Ch6,2375.601089,37.38,6,
A6,C26,B,L,A6_C26_B_L_Ch7,2376.036194,37.44,7,
A6,C28,B,L,A6_C28_B_L_Ch8,2308.553241,37.29,8,
A6,C23,B,D,A6_C23_B_D_Ch3,2352.387411,37.36,3,
A6,blank,B,D,A6_blank_B_D_Ch5,2274.262749,37.43,5,
A6,C25,B,D,A6_C25_B_D_Ch6,2348.933893,37.39,6,
A6,C26,B,D,A6_C26_B_D_Ch7,2365.594752,37.5,7,
A6,C28,B,D,A6_C28_B_D_Ch8,2378.112701,37.52,8,
A7,,T,T0,A7_T_T0_Ch5,2353.598958,36.95,5,
A7,,T,T0,A7_T_T0_Ch8,2321.217079,36.84,8,
A7,,T,T0,A7_T_T0_Ch10,2340.173896,36.85,10,
A7,V13,T,L,A7_V13_T_L_Ch1,2319.868356,36.91,1,
A7,V3,T,L,A7_V3_T_L_Ch2,2303.607093,36.8,2,
A7,V19,T,L,A7_V19_T_L_Ch3,2343.725982,36.85,3,
A7,V15,T,L,A7_V15_T_L_Ch5,2327.281544,36.97,5,
A7,blank,T,L,A7_blank_T_L_Ch6,2363.077513,36.95,6,
A7,V16,T,L,A7_V16_T_L_Ch7,2308.069,36.98,7,
A7,V4,T,L,A7_V4_T_L_Ch8,2322.463546,36.92,8,
A7,V5,T,L,A7_V5_T_L_Ch9,2313.915103,36.89,9,
A7,V12,T,L,A7_V12_T_L_Ch10,2297.977892,36.83,10,
A7,V13,T,D,A7_V13_T_D_Ch1,2292.740877,36.88,1,
A7,V3,T,D,A7_V3_T_D_Ch2,2291.670658,37.24,2,
A7,V19,T,D,A7_V19_T_D_Ch3,2327.096068,36.95,3,
A7,V15,T,D,A7_V15_T_D_Ch5,2321.667153,36.95,5,
A7,blank,T,D,A7_blank_T_D_Ch6,2353.513083,37,6,
A7,V16,T,D,A7_V16_T_D_Ch7,2314.72498,37.04,7,
A7,V4,T,D,A7_V4_T_D_Ch8,2304.16988,37.03,8,
A7,V5,T,D,A7_V5_T_D_Ch9,2295.852231,36.84,9,
A7,V12,T,D,A7_V12_T_D_Ch10,2274.431469,36.74,10,
A8,,B,T0,A8_B_T0_Ch5,2344.820975,37.18,5,
A8,,B,T0,A8_B_T0_Ch8,2335.862869,37.28,8,
A8,,B,T0,A8_B_T0_Ch10,2336.757738,36.99,10,
A8,V33,B,L,A8_V33_B_L_Ch1,2335.738148,37.23,1,
A8,V23,B,L,A8_V23_B_L_Ch2,2336.64739,37.13,2,
A8,V39,B,L,A8_V39_B_L_Ch3,2390.38451,37.25,3,
A8,V35,B,L,A8_V35_B_L_Ch5,2352.792666,37.19,5,
A8,blank,B,L,A8_blank_B_L_Ch6,2352.720168,37.3,6,
A8,V36,B,L,A8_V36_B_L_Ch7,2331.539624,37.26,7,
A8,V24,B,L,A8_V24_B_L_Ch8,2353.507887,37.04,8,
A8,V25,B,L,A8_V25_B_L_Ch9,2331.942499,37.18,9,
A8,V32,B,L,A8_V32_B_L_Ch10,2333.5467,37.19,10,
A8,V33,B,D,A8_V33_B_D_Ch1,2341.007451,37.19,1,
A8,V23,B,D,A8_V23_B_D_Ch2,2294.766713,37.09,2,
A8,V39,B,D,A8_V39_B_D_Ch3,2326.414662,37.25,3,
A8,V35,B,D,A8_V35_B_D_Ch5,2350.24496,37.26,5,
A8,blank,B,D,A8_blank_B_D_Ch6,2303.190638,37.34,6,
A8,V36,B,D,A8_V36_B_D_Ch7,2317.676513,37.12,7,
A8,V24,B,D,A8_V24_B_D_Ch8,2273.296564,37.26,8,
A8,V25,B,D,A8_V25_B_D_Ch9,2343.963584,37.17,9,
A8,V32,B,D,A8_V32_B_D_Ch10,2342.176333,37.19,10,
A9,,T,T0,A9_T_T0_Ch1,2367.2528,37.35,1,
A9,,T,T0,A9_T_T0_Ch3,2355.711155,37.3,3,
A9,,T,T0,A9_T_T0_Ch7,2371.23622,37.31,7,
A9,V1,T,L,A9_V1_T_L_Ch1,2297.760174,37.41,1,
A9,V2,T,L,A9_V2_T_L_Ch2,2350.233577,37.36,2,
A9,V6,T,L,A9_V6_T_L_Ch3,2354.044427,37.33,3,
A9,V7,T,L,A9_V7_T_L_Ch5,2332.802537,37.27,5,
A9,V18,T,L,A9_V18_T_L_Ch6,2350.184323,37.45,6,
A9,V11,T,L,A9_V11_T_L_Ch7,2348.980198,37.47,7,
A9,V8,T,L,A9_V8_T_L_Ch8,2296.201316,37.32,8,
A9,blank,T,L,A9_blank_T_L_Ch9,2365.019604,37.4,9,
A9,V10,T,L,A9_V10_T_L_Ch10,2342.334772,37.34,10,
A9,V1,T,D,A9_V1_T_D_Ch1,2254.974148,37.4,1,
A9,V2,T,D,A9_V2_T_D_Ch2,2349.265532,37.41,2,
A9,V6,T,D,A9_V6_T_D_Ch3,2320.644426,37.32,3,
A9,V7,T,D,A9_V7_T_D_Ch5,2321.250569,37.3,5,
A9,V18,T,D,A9_V18_T_D_Ch6,2358.462536,37.46,6,
A9,V11,T,D,A9_V11_T_D_Ch7,2347.510608,37.42,7,
A9,V8,T,D,A9_V8_T_D_Ch8,2259.343582,37.48,8,
A9,blank,T,D,A9_blank_T_D_Ch9,2363.900892,37.29,9,
A9,V10,T,D,A9_V10_T_D_Ch10,2348.60552,37.46,10,
A10,,T,T0,A10_T_T0_Ch1,2366.290715,37.41,1,
A10,,T,T0,A10_T_T0_Ch3,2370.230001,37.45,3,
A10,,T,T0,A10_T_T0_Ch7,2376.58974,37.48,7,
A10,V21,B,L,A10_V21_B_L_Ch1,2349.122921,37.58,1,
A10,V22,B,L,A10_V22_B_L_Ch2,2306.874725,37.49,2,
A10,V26,B,L,A10_V26_B_L_Ch3,2346.317538,37.56,3,
A10,V27,B,L,A10_V27_B_L_Ch5,2365.773253,37.55,5,
A10,V38,B,L,A10_V38_B_L_Ch6,2365.105541,37.62,6,
A10,V31,B,L,A10_V31_B_L_Ch7,2367.905469,37.64,7,
A10,V28,B,L,A10_V28_B_L_Ch8,2364.045982,37.53,8,
A10,blank,B,L,A10_blank_B_L_Ch9,2374.115594,37.58,9,
A10,V30,B,L,A10_V30_B_L_Ch10,2359.375632,37.61,10,
A10,V21,B,D,A10_V21_B_D_Ch1,2349.212573,37.54,1,
A10,V22,B,D,A10_V22_B_D_Ch2,2335.025301,37.56,2,
A10,V26,B,D,A10_V26_B_D_Ch3,2342.520905,37.62,3,
A10,V27,B,D,A10_V27_B_D_Ch5,2357.695944,37.62,5,
A10,V38,B,D,A10_V38_B_D_Ch6,2294.97312,37.69,6,
A10,V31,B,D,A10_V31_B_D_Ch7,2366.809845,37.53,7,
A10,V28,B,D,A10_V28_B_D_Ch8,2305.623256,37.7,8,
A10,blank,B,D,A10_blank_B_D_Ch9,2370.796486,37.56,9,
A10,V30,B,D,A10_V30_B_D_Ch10,2360.27131,37.61,10,
A11,,T,T0,A11_T_T0_Ch7,2373.139066,37.36,7,
A11,,T,T0,A11_T_T0_Ch8,2369.190406,37.2,8,
A11,,T,T0,A11_T_T0_Ch10,2449.369655,37.39,10,
A11,blank,T,L,A11_blank_T_L_Ch6,2365.386542,37.44,6,
A11,V9,T,L,A11_V9_T_L_Ch7,2316.294569,37.45,7,
A11,V20,T,L,A11_V20_T_L_Ch8,2276.636398,37.39,8,
A11,V17,T,L,A11_V17_T_L_Ch9,2310.616055,37.42,9,
A11,V14,T,L,A11_V14_T_L_Ch10,2334.923649,37.42,10,
A11,blank,T,D,A11_blank_T_D_Ch6,2365.235352,37.45,6,
A11,V9,T,D,A11_V9_T_D_Ch7,2215.329657,37.48,7,
A11,V20,T,D,A11_V20_T_D_Ch8,2222.217711,37.49,8,
A11,V17,T,D,A11_V17_T_D_Ch9,2285.704063,37.47,9,
A11,V14,T,D,A11_V14_T_D_Ch10,2278.832524,37.4,10,
A12,,B,T0,A12_B_T0_Ch7,2380.819599,37.63,7,
A12,,B,T0,A12_B_T0_Ch8,2370.625595,37.6,8,
A12,,B,T0,A12_B_T0_Ch10,2366.689249,37.55,10,
A12,blank,B,L,A12_blank_B_L_Ch6,2370.260157,37.65,6,
A12,V29,B,L,A12_V29_B_L_Ch7,2373.728681,37.59,7,
A12,V40,B,L,A12_V40_B_L_Ch8,2368.486217,37.57,8,
A12,V37,B,L,A12_V37_B_L_Ch9,2362.203755,37.63,9,
A12,V34,B,L,A12_V34_B_L_Ch10,2333.85056,37.52,10,
A12,blank,B,D,A12_blank_B_D_Ch6,2373.337892,37.64,6,
A12,V29,B,D,A12_V29_B_D_Ch7,2368.412242,37.59,7,
A12,V40,B,D,A12_V40_B_D_Ch8,2360.761584,37.63,8,
A12,V37,B,D,A12_V37_B_D_Ch9,2303.140718,37.61,9,
A12,V34,B,D,A12_V34_B_D_Ch10,2301.496014,37.56,10,
