"Plot Title: CT_739_CTD_Cabral"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494739, SEN S/N: 20494739, LBL: <Enter label here>55,000)","Temp, °C (LGR S/N: 20494739, SEN S/N: 20494739)"
1,06/06/21 03:20:00 PM,0.0,24.56
2,06/06/21 03:40:00 PM,0.0,26.13
3,06/06/21 04:00:00 PM,0.0,27.95
4,06/06/21 04:20:00 PM,0.0,28.07
5,06/06/21 04:40:00 PM,37548.5,28.85
6,06/06/21 05:00:00 PM,40250.7,28.61
7,06/06/21 05:20:00 PM,39430.6,28.78
8,06/06/21 05:40:00 PM,38992.3,28.75
9,06/06/21 06:00:00 PM,37685.8,29.30
10,06/06/21 06:20:00 PM,906.7,27.03
11,06/06/21 06:40:00 PM,575.5,25.21
12,06/06/21 07:00:00 PM,0.0,23.89
13,06/06/21 07:20:00 PM,0.0,22.88
14,06/06/21 07:40:00 PM,0.0,22.73
15,06/06/21 08:00:00 PM,0.0,22.75
16,06/06/21 08:20:00 PM,0.0,22.84
17,06/06/21 08:40:00 PM,0.0,22.93
18,06/06/21 09:00:00 PM,0.0,23.03
19,06/06/21 09:20:00 PM,0.0,23.09
20,06/06/21 09:40:00 PM,0.0,23.11
21,06/06/21 10:00:00 PM,0.0,21.97
22,06/06/21 10:20:00 PM,0.0,21.38
23,06/06/21 10:40:00 PM,0.0,21.81
24,06/06/21 11:00:00 PM,0.0,22.27
25,06/06/21 11:20:00 PM,0.0,22.54
26,06/06/21 11:40:00 PM,0.0,22.75
27,06/07/21 12:00:00 AM,0.0,22.93
28,06/07/21 12:20:00 AM,0.0,23.06
29,06/07/21 12:40:00 AM,0.0,23.15
30,06/07/21 01:00:00 AM,0.0,23.25
31,06/07/21 01:20:00 AM,0.0,23.34
32,06/07/21 01:40:00 AM,0.0,23.50
33,06/07/21 02:00:00 AM,0.0,23.59
34,06/07/21 02:20:00 AM,0.0,23.65
35,06/07/21 02:40:00 AM,0.0,23.69
36,06/07/21 03:00:00 AM,0.0,23.74
37,06/07/21 03:20:00 AM,0.0,23.77
38,06/07/21 03:40:00 AM,0.0,23.82
39,06/07/21 04:00:00 AM,0.0,23.86
40,06/07/21 04:20:00 AM,0.0,23.91
41,06/07/21 04:40:00 AM,0.0,23.49
42,06/07/21 05:00:00 AM,0.0,22.81
43,06/07/21 05:20:00 AM,0.0,22.71
44,06/07/21 05:40:00 AM,0.0,22.98
45,06/07/21 06:00:00 AM,0.0,23.24
46,06/07/21 06:20:00 AM,0.0,23.43
47,06/07/21 06:40:00 AM,0.0,23.59
48,06/07/21 07:00:00 AM,0.0,23.73
49,06/07/21 07:20:00 AM,0.0,23.85
50,06/07/21 07:40:00 AM,0.0,24.09
51,06/07/21 08:00:00 AM,0.0,25.06
52,06/07/21 08:20:00 AM,0.0,24.71
53,06/07/21 08:40:00 AM,0.0,24.21
54,06/07/21 09:00:00 AM,0.0,24.16
55,06/07/21 09:20:00 AM,0.0,24.09
56,06/07/21 09:40:00 AM,0.0,23.85
57,06/07/21 10:00:00 AM,0.0,23.80
58,06/07/21 10:20:00 AM,0.0,23.96
59,06/07/21 10:40:00 AM,0.0,23.89
60,06/07/21 11:00:00 AM,0.0,23.66
61,06/07/21 11:20:00 AM,0.0,23.70
62,06/07/21 11:40:00 AM,0.0,23.74
63,06/07/21 12:00:00 PM,0.0,23.52
64,06/07/21 12:20:00 PM,0.0,23.72
65,06/07/21 12:40:00 PM,0.0,24.09
66,06/07/21 01:00:00 PM,0.0,23.81
67,06/07/21 01:20:00 PM,0.0,23.76
68,06/07/21 01:40:00 PM,0.0,24.22
69,06/07/21 02:00:00 PM,0.0,23.70
70,06/07/21 02:20:00 PM,0.0,23.69
71,06/07/21 02:40:00 PM,0.0,24.08
72,06/07/21 03:00:00 PM,0.0,23.74
73,06/07/21 03:20:00 PM,0.0,23.57
74,06/07/21 03:40:00 PM,0.0,23.84
75,06/07/21 04:00:00 PM,0.0,23.84
76,06/07/21 04:20:00 PM,0.0,23.55
77,06/07/21 04:40:00 PM,0.0,23.76
78,06/07/21 05:00:00 PM,0.0,23.96
79,06/07/21 05:20:00 PM,0.0,23.68
80,06/07/21 05:40:00 PM,0.0,23.37
81,06/07/21 06:00:00 PM,0.0,23.53
82,06/07/21 06:20:00 PM,0.0,23.65
83,06/07/21 06:40:00 PM,0.0,23.84
84,06/07/21 07:00:00 PM,0.0,24.05
85,06/07/21 07:20:00 PM,0.0,23.55
86,06/07/21 07:40:00 PM,0.0,23.18
87,06/07/21 08:00:00 PM,0.0,23.33
88,06/07/21 08:20:00 PM,0.0,23.49
89,06/07/21 08:40:00 PM,0.0,23.62
90,06/07/21 09:00:00 PM,0.0,23.70
91,06/07/21 09:20:00 PM,0.0,23.78
92,06/07/21 09:40:00 PM,0.0,23.84
93,06/07/21 10:00:00 PM,0.0,23.91
94,06/07/21 10:20:00 PM,0.0,23.97
95,06/07/21 10:40:00 PM,0.0,24.01
96,06/07/21 11:00:00 PM,0.0,24.06
97,06/07/21 11:20:00 PM,0.0,24.10
98,06/07/21 11:40:00 PM,0.0,24.14
99,06/08/21 12:00:00 AM,0.0,24.17
100,06/08/21 12:20:00 AM,0.0,24.19
101,06/08/21 12:40:00 AM,0.0,24.23
102,06/08/21 01:00:00 AM,0.0,24.26
103,06/08/21 01:20:00 AM,0.0,24.29
104,06/08/21 01:40:00 AM,0.0,24.31
105,06/08/21 02:00:00 AM,0.0,24.33
106,06/08/21 02:20:00 AM,0.0,24.35
107,06/08/21 02:40:00 AM,0.0,24.38
108,06/08/21 03:00:00 AM,0.0,24.13
