Serial,Surf_Benth,Latitude,Longitude,Sal_min,Sal_med,Sal_mean
CT_320_052421,Cabral,-17.51604603,-149.91316,35.3710845407349,36.0701351969177,36.007917993878166
CT_321_052421,Cabral,-17.51588803,-149.913295,35.4207869360002,35.9345532874304,35.94884293373962
CT_322_052421,Cabral,-17.51567303,-149.913173,35.7889940126587,36.3199779320431,36.349167648360726
CT_325_052421,Cabral,-17.51644199,-149.9129,35.7230000387712,36.1089692252045,36.117974190906374
CT_327_052421,Cabral,-17.51608601,-149.913056,21.6608863969286,35.0934196938324,34.197162006173734
CT_329_052421,Cabral,-17.51572198,-149.913277,35.8045312697573,36.1593108029159,36.13674347016031
CT_332_052421,Cabral,-17.51660904,-149.912721,35.7341988615227,36.157114071309,36.166735467052575
CT_334_052421,Cabral,-17.51609196,-149.912929,32.0904972899824,35.3112627495972,35.22059212222923
CT_337_052421,Cabral,-17.51670501,-149.91313,34.7072028161347,35.7268048805082,35.7411642459659
CT_338_052421,Cabral,-17.516128,-149.912702,33.7001248462361,36.0147012949246,35.9978848795617
CT_339_052421,Cabral,-17.51598501,-149.913335,33.971058983015,36.1061100306739,36.06314671196631
CT_341_052421,Cabral,-17.51652497,-149.912555,27.6943823368154,36.0571341275424,36.056022791399904
CT_343_052421,Cabral,-17.51633897,-149.91291,32.5920735107251,35.90205785551,35.901009933632515
CT_345_052421,Cabral,-17.51683502,-149.912627,35.0039760736787,35.8532245692314,35.87300021890643
CT_354_052421,Cabral,-17.51682999,-149.912827,33.3268738614854,36.6419805146223,36.62267511817296
CT_355_052421,Cabral,-17.51642698,-149.913222,35.6581803493807,36.1815834232042,36.154041740407564
CT_740_052421,Cabral,-17.51628198,-149.912866,31.9141277090023,35.4474097670968,35.4421891291135
