date,E_Conductivity,TempInSitu,Serial,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,E_Conductivity_cal,E_Conductivity_cal.drift,drift.correction,SalinityInSitu_1pCal
2021-01-17T08:27:00Z,1666.4,23.7,316,NA,NA,NA,NA,0,1582.4198336656486,1582.4198336656486,NA,0.8177889459321719
2021-01-17T08:28:00Z,1667,23.7,316,NA,NA,NA,NA,0,1583.178514969089,1583.178514969089,NA,0.8181997499079728
2021-01-17T08:29:00Z,1667,23.7,316,NA,NA,NA,NA,0,1583.178514969089,1583.178514969089,NA,0.8181997499079728
2021-01-17T08:30:00Z,1667.5,23.71,316,NA,NA,NA,NA,0,1583.8107493886228,1583.8107493886228,NA,0.8183634478660613
2021-01-17T08:31:00Z,1667.5,23.71,316,NA,NA,NA,NA,0,1583.8107493886228,1583.8107493886228,NA,0.8183634478660613
2021-01-17T08:32:00Z,1667.5,23.71,316,NA,NA,NA,NA,0,1583.8107493886228,1583.8107493886228,NA,0.8183634478660613
2021-01-17T08:20:00Z,38702.7,23.79,316,NA,NA,NA,NA,0,48413.667098026315,48413.667098026315,NA,32.434506540520516
2021-01-17T08:21:00Z,38683.8,23.79,316,NA,NA,NA,NA,0,48389.76863696795,48389.76863696795,NA,32.41656817001361
2021-01-17T08:22:00Z,38683.8,23.79,316,NA,NA,NA,NA,0,48389.76863696795,48389.76863696795,NA,32.41656817001361
2021-01-17T08:23:00Z,38649.1,23.79,316,NA,NA,NA,NA,0,48345.89156825229,48345.89156825229,NA,32.383637640999126
2021-01-19T13:50:00Z,1528.9,23.08,316,NA,NA,NA,NA,0,1408.5553682938487,1787.8960200141453,NA,0.7338774452206787
2021-01-19T13:51:00Z,1505.8,23.1,316,NA,NA,NA,NA,0,1379.3461381113862,1758.6867898316827,NA,0.7176511679264839
2021-01-19T13:52:00Z,1492.7,23.11,316,NA,NA,NA,NA,0,1362.7815963196,1742.1222480398967,NA,0.7084855358875463
2021-01-19T13:53:00Z,1485.6,23.13,316,NA,NA,NA,NA,0,1353.8038675622197,1733.1445192825163,NA,0.7032968424371885
