date,E_Conductivity,TempInSitu,Serial,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,E_Conductivity_cal,E_Conductivity_cal.drift,drift.correction,SalinityInSitu_1pCal
2021-01-18T06:42:00Z,1734.5,23.65,331,NA,NA,NA,NA,0,1587.982586911646,1587.982586911646,NA,0.8216980288765556
2021-01-18T06:43:00Z,1732.6,23.63,331,NA,NA,NA,NA,0,1585.40115306995,1585.40115306995,NA,0.8206570434551187
2021-01-18T06:44:00Z,1732,23.6,331,NA,NA,NA,NA,0,1584.5859634357303,1584.5859634357303,NA,0.820752942034559
2021-01-18T06:45:00Z,1732,23.6,331,NA,NA,NA,NA,0,1584.5859634357303,1584.5859634357303,NA,0.820752942034559
2021-01-18T06:46:00Z,1732.6,23.59,331,NA,NA,NA,NA,0,1585.40115306995,1585.40115306995,NA,0.8213749278005458
2021-01-18T06:47:00Z,1733.2,23.59,331,NA,NA,NA,NA,0,1586.2163427041698,1586.2163427041698,NA,0.8218174540486631
2021-01-18T06:48:00Z,1733.2,23.58,331,NA,NA,NA,NA,0,1586.2163427041698,1586.2163427041698,NA,0.8219971899856696
2021-01-18T06:49:00Z,1733.8,23.58,331,NA,NA,NA,NA,0,1587.0315323383895,1587.0315323383895,NA,0.8224398280786667
2021-01-18T06:50:00Z,1733.8,23.58,331,NA,NA,NA,NA,0,1587.0315323383895,1587.0315323383895,NA,0.8224398280786667
2021-01-18T06:30:00Z,35949.3,23.72,331,NA,NA,NA,NA,0,48073.89974841415,48073.89974841415,NA,32.23032123613879
2021-01-18T06:31:00Z,35906.1,23.74,331,NA,NA,NA,NA,0,48015.20609475033,48015.20609475033,NA,32.171769721000125
2021-01-18T06:32:00Z,35929.3,23.78,331,NA,NA,NA,NA,0,48046.72676060683,48046.72676060683,NA,32.16647577750653
2021-01-18T06:33:00Z,35889.5,23.78,331,NA,NA,NA,NA,0,47992.65251487025,47992.65251487025,NA,32.12593265825634
2021-01-18T06:34:00Z,35866.3,23.77,331,NA,NA,NA,NA,0,47961.13184901375,47961.13184901375,NA,32.10952170490418
2021-01-18T06:35:00Z,35810.1,23.77,331,NA,NA,NA,NA,0,47884.775753275164,47884.775753275164,NA,32.05227880454892
2021-01-18T06:36:00Z,35773.8,23.77,331,NA,NA,NA,NA,0,47835.45678040487,47835.45678040487,NA,32.01531341292457
2021-01-18T06:37:00Z,35780.4,23.75,331,NA,NA,NA,NA,0,47844.42386638129,47844.42386638129,NA,32.03643901082243
2021-01-18T06:38:00Z,35773.8,23.75,331,NA,NA,NA,NA,0,47835.45678040487,47835.45678040487,NA,32.02971541790647
2021-01-18T06:39:00Z,35747.4,23.74,331,NA,NA,NA,NA,0,47799.58843649921,47799.58843649921,NA,32.01002202535152
2021-01-20T13:13:00Z,1561,22.94,331,NA,NA,NA,NA,0,1352.256917683105,1588.0300318109921,NA,0.70540137147731
