Lat,Lon,ID,SiteID
-17.49065096,-149.8681188,Nutrients,4
-17.49316067,-149.8673732,Nutrients,6
-17.53815631,-149.9044886,Nutrients,19
-17.53413,-149.905488,Nutrients,20
-17.654436,-149.600315,Habler,24
-17.654436,-149.600315,Habler,26
-17.6326,-149.6209,Habler,29
-17.6338,-149.61985,Habler,32
-17.557305,-149.873554,Habler,33
-17.556492,-149.874042,Habler,34
-17.574187,-149.862734,Habler,35
-17.572767,-149.864147,Habler,36
-17.574187,-149.862734,Habler,37
-17.527798,-149.775604,Habler,38
-17.52713289,-149.7754957,Fisher,40
-17.5726665,-149.8655049,Fisher,45
-17.53583517,-149.9043026,Fisher,46
-17.49211028,-149.8693169,Fisher,51
